,``,bairn,'',and,``,hyem,'',have,origins,from,what,culture,?
``,1.0,0.007205347064882517,-0.09173435717821121,0.036644238978624344,1.0,0.17491385340690613,-0.09173435717821121,0.1022237241268158,-0.002278135856613517,0.02677825279533863,0.008517155423760414,0.01757078990340233,0.0685480609536171
bairn,0.007205347064882517,1.0000001192092896,0.05585511773824692,0.3159812390804291,0.007205347064882517,0.2673810124397278,0.05585511773824692,0.24548262357711792,0.08036646991968155,0.17305400967597961,0.17934194207191467,0.20852768421173096,0.13065044581890106
'',-0.09173435717821121,0.05585511773824692,1.0,0.021612688899040222,-0.09173435717821121,-0.0073464070446789265,1.0,0.0312618687748909,0.06510860472917557,-0.011389154009521008,0.08143015950918198,-0.02524700202047825,0.018684765323996544
and,0.036644238978624344,0.3159812390804291,0.021612688899040222,1.0,0.036644238978624344,0.22113987803459167,0.021612688899040222,0.4711785912513733,0.21966230869293213,0.3601827025413513,0.31309178471565247,0.2617773115634918,0.20544172823429108
``,1.0,0.007205347064882517,-0.09173435717821121,0.036644238978624344,1.0,0.17491385340690613,-0.09173435717821121,0.1022237241268158,-0.002278135856613517,0.02677825279533863,0.008517155423760414,0.01757078990340233,0.0685480609536171
hyem,0.17491385340690613,0.2673810124397278,-0.0073464070446789265,0.22113987803459167,0.17491385340690613,1.0,-0.0073464070446789265,0.20581035315990448,0.13687658309936523,0.1800699681043625,0.220244362950325,0.24840304255485535,0.30561748147010803
'',-0.09173435717821121,0.05585511773824692,1.0,0.021612688899040222,-0.09173435717821121,-0.0073464070446789265,1.0,0.0312618687748909,0.06510860472917557,-0.011389154009521008,0.08143015950918198,-0.02524700202047825,0.018684765323996544
",",0.09681109338998795,0.29626548290252686,-0.037358131259679794,0.6633074283599854,0.09681109338998795,0.24656334519386292,-0.037358131259679794,0.3541618287563324,0.257002055644989,0.39760664105415344,0.3087472915649414,0.23807421326637268,0.31091248989105225
meaning,0.1370125412940979,0.18362446129322052,-0.004718669690191746,0.20612139999866486,0.1370125412940979,0.28180256485939026,-0.004718669690191746,0.29970523715019226,0.3394787907600403,0.2275310903787613,0.24135559797286987,0.2347322255373001,0.20420892536640167
``,1.0,0.007205347064882517,-0.09173435717821121,0.036644238978624344,1.0,0.17491385340690613,-0.09173435717821121,0.1022237241268158,-0.002278135856613517,0.02677825279533863,0.008517155423760414,0.01757078990340233,0.0685480609536171
child,-0.05988221988081932,0.1341293901205063,0.005308784544467926,0.22121839225292206,-0.05988221988081932,0.21534354984760284,0.005308784544467926,0.19710594415664673,0.12082285434007645,0.16519580781459808,0.21805857121944427,0.22702762484550476,0.1979578584432602
'',-0.09173435717821121,0.05585511773824692,1.0,0.021612688899040222,-0.09173435717821121,-0.0073464070446789265,1.0,0.0312618687748909,0.06510860472917557,-0.011389154009521008,0.08143015950918198,-0.02524700202047825,0.018684765323996544
and,0.036644238978624344,0.3159812390804291,0.021612688899040222,1.0,0.036644238978624344,0.22113987803459167,0.021612688899040222,0.4711785912513733,0.21966230869293213,0.3601827025413513,0.31309178471565247,0.2617773115634918,0.20544172823429108
``,1.0,0.007205347064882517,-0.09173435717821121,0.036644238978624344,1.0,0.17491385340690613,-0.09173435717821121,0.1022237241268158,-0.002278135856613517,0.02677825279533863,0.008517155423760414,0.01757078990340233,0.0685480609536171
home,-0.08306030929088593,0.2151828408241272,-0.02645508386194706,0.24667192995548248,-0.08306030929088593,0.13495056331157684,-0.02645508386194706,0.18206730484962463,0.11159805208444595,0.29297688603401184,0.1608789712190628,0.16886186599731445,0.0757145956158638
'',-0.09173435717821121,0.05585511773824692,1.0,0.021612688899040222,-0.09173435717821121,-0.0073464070446789265,1.0,0.0312618687748909,0.06510860472917557,-0.011389154009521008,0.08143015950918198,-0.02524700202047825,0.018684765323996544
",",0.09681109338998795,0.29626548290252686,-0.037358131259679794,0.6633074283599854,0.09681109338998795,0.24656334519386292,-0.037358131259679794,0.3541618287563324,0.257002055644989,0.39760664105415344,0.3087472915649414,0.23807421326637268,0.31091248989105225
respectively,0.12686359882354736,0.17642486095428467,0.03081740066409111,0.4110310673713684,0.12686359882354736,0.08969444781541824,0.03081740066409111,0.32511430978775024,0.20826049149036407,0.21251878142356873,0.13204659521579742,0.13890428841114044,0.1307799071073532
",",0.09681109338998795,0.29626548290252686,-0.037358131259679794,0.6633074283599854,0.09681109338998795,0.24656334519386292,-0.037358131259679794,0.3541618287563324,0.257002055644989,0.39760664105415344,0.3087472915649414,0.23807421326637268,0.31091248989105225
