,the,majority,of,building,construction,jobs,are,what,?
the,1.0,0.28757327795028687,0.733189046382904,0.3159640431404114,0.2671978175640106,0.25216126441955566,0.40399202704429626,0.42745697498321533,0.22068053483963013
majority,0.28757327795028687,0.9999998807907104,0.29706597328186035,0.13307428359985352,0.15728861093521118,0.2525655925273895,0.3146342635154724,0.25967487692832947,0.220119908452034
of,0.733189046382904,0.29706597328186035,1.0,0.26200541853904724,0.2815735340118408,0.27215415239334106,0.39081433415412903,0.33290785551071167,0.1826142966747284
building,0.3159640431404114,0.13307428359985352,0.26200541853904724,0.9999998807907104,0.5609999895095825,0.18725591897964478,0.1904018670320511,0.23529528081417084,0.13549931347370148
construction,0.2671978175640106,0.15728861093521118,0.2815735340118408,0.5609999895095825,1.0,0.18698839843273163,0.18089833855628967,0.20329850912094116,0.13494056463241577
jobs,0.25216126441955566,0.2525655925273895,0.27215415239334106,0.18725591897964478,0.18698839843273163,1.0000001192092896,0.2759162187576294,0.24064965546131134,0.15148547291755676
are,0.40399202704429626,0.3146342635154724,0.39081433415412903,0.1904018670320511,0.18089833855628967,0.2759162187576294,1.0,0.29724663496017456,0.24591213464736938
small,0.39655908942222595,0.26829928159713745,0.353353351354599,0.22012944519519806,0.19078275561332703,0.2234705686569214,0.3959871232509613,0.2504110634326935,0.13914890587329865
renovations,0.27610263228416443,0.14207112789154053,0.20888841152191162,0.4680878818035126,0.48108941316604614,0.2929333448410034,0.17975673079490662,0.13841453194618225,0.17685642838478088
",",0.4933079481124878,0.30214112997055054,0.4946078956127167,0.2374238669872284,0.23704268038272858,0.29151952266693115,0.4062570035457611,0.3087472915649414,0.31091248989105225
such,0.3575236201286316,0.25068002939224243,0.3209529519081116,0.21135058999061584,0.1646624356508255,0.2310681939125061,0.4654397666454315,0.23989605903625488,0.17851735651493073
as,0.48381632566452026,0.27021417021751404,0.3886612355709076,0.23924584686756134,0.22668303549289703,0.2768229842185974,0.3826591968536377,0.31749409437179565,0.27043893933296204
addition,0.32955414056777954,0.24939143657684326,0.27503931522369385,0.20481546223163605,0.222861647605896,0.23935472965240479,0.37216028571128845,0.20643717050552368,0.19187232851982117
of,0.733189046382904,0.29706597328186035,1.0,0.26200541853904724,0.2815735340118408,0.27215415239334106,0.39081433415412903,0.33290785551071167,0.1826142966747284
a,0.5829201340675354,0.227370023727417,0.5052502155303955,0.2576078176498413,0.25036895275115967,0.23724274337291718,0.265255331993103,0.3320399522781372,0.23916715383529663
room,0.2031363844871521,0.03956029564142227,0.15195634961128235,0.30295535922050476,0.0866694375872612,0.20817621052265167,0.16457562148571014,0.22132179141044617,0.1769251674413681
",",0.4933079481124878,0.30214112997055054,0.4946078956127167,0.2374238669872284,0.23704268038272858,0.29151952266693115,0.4062570035457611,0.3087472915649414,0.31091248989105225
or,0.4174870550632477,0.26763081550598145,0.3792596757411957,0.21519747376441956,0.20974527299404144,0.2146802544593811,0.5374364256858826,0.33867141604423523,0.32389625906944275
renovation,0.2849007248878479,0.13216087222099304,0.20900149643421173,0.49219903349876404,0.4957824647426605,0.2339629828929901,0.07908833771944046,0.14667826890945435,0.1660868376493454
of,0.733189046382904,0.29706597328186035,1.0,0.26200541853904724,0.2815735340118408,0.27215415239334106,0.39081433415412903,0.33290785551071167,0.1826142966747284
a,0.5829201340675354,0.227370023727417,0.5052502155303955,0.2576078176498413,0.25036895275115967,0.23724274337291718,0.265255331993103,0.3320399522781372,0.23916715383529663
bathroom,0.1815098524093628,0.16024594008922577,0.15446685254573822,0.2863319218158722,0.22027035057544708,0.25542041659355164,0.13253521919250488,0.22075018286705017,0.21474428474903107
.,0.5934505462646484,0.30306822061538696,0.5352458953857422,0.275610089302063,0.23682771623134613,0.27586984634399414,0.3452940285205841,0.3567904531955719,0.4130953550338745
