,who,would,decide,on,the,curricula,that,is,consistent,and,standard,?
a,0.36608949303627014,0.398599237203598,0.3188471794128418,0.3848365545272827,0.5829201340675354,0.1977459341287613,0.47537946701049805,0.658733606338501,0.2838171720504761,0.3739250600337982,0.2876655161380768,0.23916715383529663
teacher,0.35707929730415344,0.18345347046852112,0.23402062058448792,0.1997784823179245,0.17760860919952393,0.3486440181732178,0.1985531747341156,0.2001669555902481,0.13812534511089325,0.27571162581443787,0.1608148068189621,0.1797819435596466
may,0.23082798719406128,0.4155452847480774,0.2753564715385437,0.3428080081939697,0.2694292366504669,0.1760512739419937,0.4234136641025543,0.322792649269104,0.27493932843208313,0.34598252177238464,0.15729862451553345,0.2768254578113556
follow,0.3009907007217407,0.32576870918273926,0.3851139545440674,0.24946705996990204,0.3197029232978821,0.24990814924240112,0.428226113319397,0.23358136415481567,0.4176347255706787,0.34642475843429565,0.2628118395805359,0.26102155447006226
standardized,0.17722274363040924,0.26723116636276245,0.2812330424785614,0.15698152780532837,0.2841286361217499,0.2531678080558777,0.3150653541088104,0.20888830721378326,0.437519371509552,0.2532564401626587,0.7408902645111084,0.16858142614364624
curricula,0.16065643727779388,0.1942131519317627,0.18698571622371674,0.19065998494625092,0.2117113620042801,1.0,0.16227443516254425,0.17554807662963867,0.22540272772312164,0.23619407415390015,0.21205247938632965,0.2641845941543579
as,0.3923053741455078,0.3824005722999573,0.27422115206718445,0.36047765612602234,0.48381632566452026,0.23292405903339386,0.4735107421875,0.43216490745544434,0.2980707287788391,0.49487000703811646,0.22084009647369385,0.27043893933296204
determined,0.2246977984905243,0.4001385271549225,0.4716068208217621,0.2385551929473877,0.3632190227508545,0.14829088747501373,0.3871386647224426,0.2253464162349701,0.4056069552898407,0.2569243013858795,0.21333566308021545,0.19379007816314697
by,0.39727845788002014,0.28394925594329834,0.20229306817054749,0.33887791633605957,0.4408751428127289,0.13026830554008484,0.37496164441108704,0.3899846076965332,0.1985674351453781,0.4289871156215668,0.14653390645980835,0.17966607213020325
the,0.3733934462070465,0.4133751392364502,0.35331496596336365,0.5107308030128479,1.0,0.2117113620042801,0.5473989248275757,0.5823672413825989,0.2685734033584595,0.5171257257461548,0.29008856415748596,0.22068053483963013
relevant,0.23095163702964783,0.3269939124584198,0.3651081621646881,0.2981732487678528,0.3216378390789032,0.24761416018009186,0.3857395648956299,0.2515393793582916,0.45966601371765137,0.2616584897041321,0.31722497940063477,0.37889617681503296
authority,0.17199470102787018,0.2504693567752838,0.21556814014911652,0.17171882092952728,0.2645063102245331,0.20741945505142212,0.29481130838394165,0.20664075016975403,0.20547039806842804,0.22905389964580536,0.2169104963541031,0.18404170870780945
.,0.3541337847709656,0.35067233443260193,0.26475638151168823,0.49257001280784607,0.5934505462646484,0.2118563950061798,0.4460422694683075,0.4569662809371948,0.21758654713630676,0.588965117931366,0.2521037757396698,0.4130953550338745
