,what,powers,does,the,court,of,justice,of,the,european,union,have,in,regards,to,treaties,?
the,0.42745697498321533,0.25233519077301025,0.35928019881248474,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.40389683842658997,0.6662389636039734,0.2506358325481415,0.535392165184021,0.28970760107040405,0.22068053483963013
court,0.23440583050251007,0.23923133313655853,0.14233313500881195,0.2812081575393677,1.0,0.28835242986679077,0.5483176112174988,0.28835242986679077,0.2812081575393677,0.18487446010112762,0.23186643421649933,0.1848815530538559,0.2793687880039215,0.18787972629070282,0.24824365973472595,0.3028410077095032,0.17100423574447632
of,0.33290785551071167,0.22709226608276367,0.3119818866252899,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.3802283704280853,0.5696388483047485,0.19263862073421478,0.41548454761505127,0.3281906247138977,0.1826142966747284
justice,0.21462921798229218,0.26548826694488525,0.16091451048851013,0.23470892012119293,0.5483176112174988,0.2658293545246124,1.0,0.2658293545246124,0.23470892012119293,0.18444514274597168,0.17461003363132477,0.11963403224945068,0.2678598463535309,0.2367355227470398,0.19197677075862885,0.2528023421764374,0.19269752502441406
of,0.33290785551071167,0.22709226608276367,0.3119818866252899,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.3802283704280853,0.5696388483047485,0.19263862073421478,0.41548454761505127,0.3281906247138977,0.1826142966747284
the,0.42745697498321533,0.25233519077301025,0.35928019881248474,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.40389683842658997,0.6662389636039734,0.2506358325481415,0.535392165184021,0.28970760107040405,0.22068053483963013
european,0.15324164927005768,0.23075592517852783,0.11488570272922516,0.3423081040382385,0.18487446010112762,0.2507138252258301,0.18444514274597168,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.19048169255256653,0.23319172859191895,0.08684355020523071,0.21011990308761597,0.30161675810813904,0.14560863375663757
union,0.1396910548210144,0.15366482734680176,0.10697764903306961,0.24421639740467072,0.23186643421649933,0.2642118036746979,0.17461003363132477,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.16471676528453827,0.22726479172706604,0.16056673228740692,0.16926777362823486,0.34353530406951904,0.07797172665596008
can,0.34502777457237244,0.1965104341506958,0.5156301856040955,0.312528520822525,0.14211946725845337,0.2603091299533844,0.08705738186836243,0.2603091299533844,0.312528520822525,0.14084136486053467,0.1335739940404892,0.5489245653152466,0.26527702808380127,0.3157448470592499,0.4979398250579834,0.18203625082969666,0.3226337134838104
interpret,0.4321536123752594,0.23402515053749084,0.292889803647995,0.26474055647850037,0.3229181170463562,0.20744526386260986,0.24660049378871918,0.20744526386260986,0.26474055647850037,0.14577873051166534,0.19159476459026337,0.3325541317462921,0.17396794259548187,0.32023924589157104,0.3078547716140747,0.2518601715564728,0.26576000452041626
the,0.42745697498321533,0.25233519077301025,0.35928019881248474,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.40389683842658997,0.6662389636039734,0.2506358325481415,0.535392165184021,0.28970760107040405,0.22068053483963013
treaties,0.2403455525636673,0.3897460699081421,0.18945413827896118,0.28970760107040405,0.3028410077095032,0.3281906247138977,0.2528023421764374,0.3281906247138977,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.2842963933944702,0.2564578652381897,0.2631046175956726,0.30276235938072205,0.9999998807907104,0.1693580597639084
",",0.3087472915649414,0.24735067784786224,0.28617382049560547,0.4933079481124878,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.3541618287563324,0.5201468467712402,0.3487640917301178,0.44245919585227966,0.2152065634727478,0.31091248989105225
but,0.5029441118240356,0.2660807967185974,0.4353378415107727,0.4859698414802551,0.23877191543579102,0.39942997694015503,0.1704159528017044,0.39942997694015503,0.4859698414802551,0.20225681364536285,0.25711774826049805,0.5920813083648682,0.48674455285072327,0.33089596033096313,0.5542377829551697,0.29910993576049805,0.27921953797340393
it,0.45803478360176086,0.2074449062347412,0.34188351035118103,0.6251175999641418,0.22090588510036469,0.38761502504348755,0.15127094089984894,0.38761502504348755,0.6251175999641418,0.16905969381332397,0.20087021589279175,0.40974161028862,0.5130809545516968,0.2984791696071625,0.513711154460907,0.22302496433258057,0.25732165575027466
can,0.34502777457237244,0.1965104341506958,0.5156301856040955,0.312528520822525,0.14211946725845337,0.2603091299533844,0.08705738186836243,0.2603091299533844,0.312528520822525,0.14084136486053467,0.1335739940404892,0.5489245653152466,0.26527702808380127,0.3157448470592499,0.4979398250579834,0.18203625082969666,0.3226337134838104
not,0.5449194312095642,0.25354844331741333,0.6355478763580322,0.4310511648654938,0.21835780143737793,0.3307090103626251,0.12427773326635361,0.3307090103626251,0.4310511648654938,0.20631356537342072,0.22089463472366333,0.5619372129440308,0.3403114080429077,0.3601541817188263,0.5149973034858704,0.2920204997062683,0.41942933201789856
rule,0.30539435148239136,0.3043040633201599,0.21355147659778595,0.29894936084747314,0.2673744857311249,0.25175079703330994,0.1936732977628708,0.25175079703330994,0.29894936084747314,0.10815529525279999,0.18355792760849,0.22925151884555817,0.2128441035747528,0.2560451030731201,0.2587790787220001,0.37580782175064087,0.1955260932445526
on,0.34226128458976746,0.15752583742141724,0.2568802833557129,0.5107308030128479,0.23630931973457336,0.3966929316520691,0.1708904355764389,0.3966929316520691,0.5107308030128479,0.19710737466812134,0.15769828855991364,0.36494916677474976,0.46853652596473694,0.2900480628013611,0.41031414270401,0.25548097491264343,0.2714994251728058
their,0.35142919421195984,0.20907387137413025,0.29094186425209045,0.516537070274353,0.18032172322273254,0.4329940676689148,0.15262901782989502,0.4329940676689148,0.516537070274353,0.2223954051733017,0.1686946004629135,0.523270845413208,0.34976133704185486,0.22469453513622284,0.44619059562683105,0.2464694082736969,0.1898253709077835
validity,0.36067017912864685,0.2380450814962387,0.37359482049942017,0.22486650943756104,0.28361186385154724,0.24193468689918518,0.27820584177970886,0.24193468689918518,0.22486650943756104,0.14786335825920105,0.17017869651317596,0.31886550784111023,0.14900526404380798,0.4151613116264343,0.2693976163864136,0.33277177810668945,0.272421270608902
