,in,which,direction,did,the,water,on,the,eastern,side,flow,?
during,0.4627237319946289,0.3590145409107208,0.12427221238613129,0.30679523944854736,0.4838213622570038,0.2296343296766281,0.3347817361354828,0.4838213622570038,0.2630176842212677,0.20010770857334137,0.18422433733940125,0.1325719803571701
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.314039409160614,0.22068053483963013
mid-eocene,0.24613057076931,0.284488707780838,0.18346910178661346,0.2021455317735672,0.25416916608810425,0.22219102084636688,0.1774086207151413,0.25416916608810425,0.31024643778800964,0.13864293694496155,0.2134154587984085,0.16638007760047913
",",0.5201468467712402,0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.26706066727638245,0.49057599902153015,0.4933079481124878,0.3081906735897064,0.24522119760513306,0.23027558624744415,0.31091248989105225
it,0.5130809545516968,0.616637647151947,0.2525825798511505,0.2993364930152893,0.6251175999641418,0.31979092955589294,0.4529881477355957,0.6251175999641418,0.2745799422264099,0.2936079800128937,0.30727410316467285,0.25732165575027466
is,0.5394441485404968,0.4457404911518097,0.2159055918455124,0.19247472286224365,0.5823672413825989,0.2879090905189514,0.3635730445384979,0.5823672413825989,0.2375388890504837,0.27624061703681946,0.26788079738616943,0.22961433231830597
believed,0.2605416774749756,0.3179844319820404,0.19018104672431946,0.3807709813117981,0.324635773897171,0.25237250328063965,0.18893791735172272,0.324635773897171,0.17995263636112213,0.21180786192417145,0.1790451854467392,0.17606885731220245
that,0.435920387506485,0.6894589066505432,0.2797742784023285,0.47518548369407654,0.5473989248275757,0.3326379060745239,0.42569106817245483,0.5473989248275757,0.23358812928199768,0.27619752287864685,0.2618546485900879,0.32716336846351624
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.314039409160614,0.22068053483963013
drainage,0.19508583843708038,0.2801785469055176,0.20536309480667114,0.14962373673915863,0.2736852467060089,0.4616989493370056,0.20072072744369507,0.2736852467060089,0.26789388060569763,0.2703191339969635,0.5122188329696655,0.160207137465477
basin,0.22316701710224152,0.24229559302330017,0.20091962814331055,0.13325946033000946,0.24553915858268738,0.4041157364845276,0.16209472715854645,0.24553915858268738,0.3975660800933838,0.21856440603733063,0.37692660093307495,0.14685653150081635
of,0.5696388483047485,0.5011631846427917,0.18922415375709534,0.2513895630836487,0.733189046382904,0.2741255462169647,0.3966929316520691,0.733189046382904,0.33281487226486206,0.2452700436115265,0.2407451719045639,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.314039409160614,0.22068053483963013
amazon,0.12227833271026611,0.1877625584602356,0.09712766110897064,0.15553738176822662,0.260541707277298,0.23088304698467255,0.27227091789245605,0.260541707277298,0.22832134366035461,0.1897348016500473,0.22163920104503632,0.18144656717777252
was,0.45514053106307983,0.2830964922904968,0.1429082751274109,0.41399896144866943,0.48711544275283813,0.18750394880771637,0.3909217119216919,0.48711544275283813,0.23346775770187378,0.16857531666755676,0.16647294163703918,0.18412111699581146
split,0.24171817302703857,0.3304376006126404,0.1233987808227539,0.11566226184368134,0.2967630624771118,0.09426998347043991,0.1750887930393219,0.2967630624771118,0.24757970869541168,0.17702920734882355,0.1445128172636032,0.16133880615234375
along,0.3603311777114868,0.33404073119163513,0.2770944833755493,0.18832118809223175,0.39495137333869934,0.2521761655807495,0.41361382603645325,0.39495137333869934,0.31553247570991516,0.35618627071380615,0.2806922495365143,0.17134909331798553
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.314039409160614,0.22068053483963013
middle,0.26767921447753906,0.22406704723834991,0.18529288470745087,0.17732174694538116,0.3405749201774597,0.15047138929367065,0.22140929102897644,0.3405749201774597,0.31986919045448303,0.2184469997882843,0.12509842216968536,0.13139553368091583
of,0.5696388483047485,0.5011631846427917,0.18922415375709534,0.2513895630836487,0.733189046382904,0.2741255462169647,0.3966929316520691,0.733189046382904,0.33281487226486206,0.2452700436115265,0.2407451719045639,0.1826142966747284
