,which,successor,to,henry,resumed,persecution,of,the,huguenots,?
his,0.32283493876457214,0.2260759174823761,0.3715193271636963,0.32655900716781616,0.3165163993835449,0.3395061194896698,0.38364991545677185,0.4394008219242096,0.3053867816925049,0.18075084686279297
successor,0.07593902200460434,0.9999999403953552,0.11769062280654907,0.16643846035003662,0.1895076036453247,0.23289386928081512,0.10859241336584091,0.14193344116210938,0.05822216346859932,0.0913006067276001
louis,0.14282557368278503,0.17962495982646942,0.16961874067783356,0.351474791765213,0.21715280413627625,0.1686439961194992,0.22437675297260284,0.22078758478164673,0.3942606449127197,0.09819188714027405
xiii,0.1936657875776291,0.26775693893432617,0.2205180823802948,0.2541857659816742,0.17505206167697906,0.26224952936172485,0.2645610570907593,0.26722919940948486,0.32171908020973206,0.20429791510105133
",",0.3658004403114319,0.1759623885154724,0.44245919585227966,0.25662001967430115,0.19196142256259918,0.2632662355899811,0.4946078956127167,0.4933079481124878,0.23394492268562317,0.31091248989105225
under,0.3235377371311188,0.1444445699453354,0.27177539467811584,0.12228608131408691,0.18648499250411987,0.2144865244626999,0.32766106724739075,0.3348022699356079,0.19957789778709412,0.18233340978622437
the,0.6521818041801453,0.14193344116210938,0.535392165184021,0.2542637586593628,0.25934097170829773,0.26699647307395935,0.733189046382904,1.0,0.30745792388916016,0.22068053483963013
regency,0.21842710673809052,0.3037043809890747,0.205677330493927,0.17910175025463104,0.29602959752082825,0.23214317858219147,0.34460464119911194,0.2973644733428955,0.21353282034397125,0.0692441463470459
of,0.5011631846427917,0.10859241336584091,0.41548454761505127,0.2390729784965515,0.1770191788673401,0.2776307165622711,1.0,0.733189046382904,0.27577435970306396,0.1826142966747284
his,0.32283493876457214,0.2260759174823761,0.3715193271636963,0.32655900716781616,0.3165163993835449,0.3395061194896698,0.38364991545677185,0.4394008219242096,0.3053867816925049,0.18075084686279297
italian,0.19053605198860168,0.11638389527797699,0.12072206288576126,0.17498447000980377,0.08502974361181259,0.19893549382686615,0.20819662511348724,0.19855095446109772,0.2717338800430298,0.1156633123755455
catholic,0.1894230842590332,0.14385466277599335,0.2619607746601105,0.3047826588153839,0.12680990993976593,0.444656103849411,0.3452084958553314,0.26391419768333435,0.47188425064086914,0.16609853506088257
mother,0.21146570146083832,0.2410573810338974,0.2733205258846283,0.25723880529403687,0.22701600193977356,0.2170451283454895,0.2170739620923996,0.22516992688179016,0.2423488050699234,0.15180644392967224
marie,0.10840078443288803,0.13583600521087646,0.19801916182041168,0.2875380218029022,0.14938820898532867,0.2056402862071991,0.19820886850357056,0.16959457099437714,0.36040785908699036,0.164384126663208
de,0.13585758209228516,0.12879875302314758,0.15903331339359283,0.23150543868541718,0.0826169028878212,0.1304054707288742,0.26292696595191956,0.23491892218589783,0.33059367537498474,0.11064168810844421
',0.32852497696876526,0.26419124007225037,0.34544456005096436,0.18133513629436493,0.10078874230384827,0.17235419154167175,0.39136970043182373,0.474788099527359,0.06491873413324356,0.330942302942276
medici,0.1536334604024887,0.21178707480430603,0.23355939984321594,0.37625423073768616,0.13618668913841248,0.22569425404071808,0.2867802679538727,0.22409579157829285,0.36306121945381165,0.1984531581401825
",",0.3658004403114319,0.1759623885154724,0.44245919585227966,0.25662001967430115,0.19196142256259918,0.2632662355899811,0.4946078956127167,0.4933079481124878,0.23394492268562317,0.31091248989105225
became,0.17613163590431213,0.26560667157173157,0.20401327311992645,0.2317832112312317,0.24416188895702362,0.17412298917770386,0.3638904094696045,0.36325156688690186,0.22311078011989594,0.11374033987522125
more,0.4639437198638916,0.08418438583612442,0.47084665298461914,0.11787213385105133,0.19478477537631989,0.21625235676765442,0.30478984117507935,0.39758381247520447,0.2068241387605667,0.27894994616508484
intolerant,0.285352885723114,0.1708754301071167,0.2109462469816208,0.16929805278778076,0.18188855051994324,0.43849411606788635,0.20194457471370697,0.22658556699752808,0.30144742131233215,0.24219101667404175
of,0.5011631846427917,0.10859241336584091,0.41548454761505127,0.2390729784965515,0.1770191788673401,0.2776307165622711,1.0,0.733189046382904,0.27577435970306396,0.1826142966747284
protestantism,0.22246071696281433,0.21237453818321228,0.2578659951686859,0.25708097219467163,0.13269798457622528,0.5453722476959229,0.31892913579940796,0.2780466079711914,0.5389429926872253,0.1824951469898224
.,0.45942068099975586,0.11615859717130661,0.4645031690597534,0.3065545856952667,0.2500452399253845,0.24054285883903503,0.5352458953857422,0.5934505462646484,0.2170230895280838,0.4130953550338745
