,who,is,an,example,of,the,diversity,of,leadership,in,the,mongol,empire,?
many,0.4149286150932312,0.2649032473564148,0.2465583086013794,0.43096116185188293,0.37253960967063904,0.4335206151008606,0.3054061233997345,0.37253960967063904,0.2143079787492752,0.41474202275276184,0.4335206151008606,0.1816871017217636,0.22804687917232513,0.2124512493610382
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.733189046382904,0.30036839842796326,1.0,0.26711535453796387,0.5696388483047485,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,1.0,0.27198487520217896,0.733189046382904,0.2857116758823395,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
empire,0.18977859616279602,0.18343110382556915,0.16588738560676575,0.15432226657867432,0.30522286891937256,0.32532164454460144,0.12055545300245285,0.30522286891937256,0.2805441617965698,0.24110576510429382,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.14909450709819794
's,0.05599616840481758,0.02396530658006668,0.025255560874938965,-0.045060764998197556,-0.03817026689648628,-0.01540423184633255,0.02489376813173294,-0.03817026689648628,-0.03238004073500633,-0.037580832839012146,-0.01540423184633255,-0.05976467952132225,-0.011798231862485409,-0.023395681753754616
nomadic,0.3000648021697998,0.077722929418087,0.12677261233329773,0.1058371514081955,0.16259200870990753,0.21071060001850128,0.23926061391830444,0.16259200870990753,0.24869056046009064,0.19509127736091614,0.21071060001850128,0.3401831388473511,0.24829524755477905,0.10854141414165497
inhabitants,0.1886354237794876,0.26456496119499207,0.11588553339242935,0.1601245105266571,0.26628780364990234,0.2644902467727661,0.22076267004013062,0.26628780364990234,0.16493184864521027,0.29904377460479736,0.2644902467727661,0.2046496868133545,0.22128193080425262,0.1312350630760193
considered,0.2708154320716858,0.4096149802207947,0.3028697371482849,0.3231664299964905,0.4190242290496826,0.4028765559196472,0.24721167981624603,0.4190242290496826,0.2312668412923813,0.28591203689575195,0.4028765559196472,0.08445995301008224,0.23529143631458282,0.19909770786762238
themselves,0.42025554180145264,0.16502061486244202,0.1979273408651352,0.2773352265357971,0.2638634443283081,0.3444426357746124,0.19865988194942474,0.2638634443283081,0.19808708131313324,0.17596714198589325,0.3444426357746124,0.17934909462928772,0.2218063622713089,0.20170879364013672
mongols,0.2709572911262512,0.15584324300289154,0.07991112023591995,0.12014317512512207,0.23517343401908875,0.310281366109848,0.17782296240329742,0.23517343401908875,0.30141955614089966,0.22694018483161926,0.310281366109848,0.905461847782135,0.47929102182388306,0.11517509818077087
