,when,was,the,last,plague,outbreak,?
over,0.36642953753471375,0.24486446380615234,0.39856547117233276,0.29127854108810425,0.2382458746433258,0.25866279006004333,0.25742942094802856
60,0.0413321778178215,-0.003859133692458272,0.04635925963521004,0.01942582242190838,0.04895224794745445,0.0784786120057106,0.06999651342630386
%,0.1723080277442932,0.11743833869695663,0.21490740776062012,0.18150827288627625,0.13837918639183044,0.1645248681306839,0.21441808342933655
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3052992522716522,0.27455615997314453,0.22559921443462372,0.1826142966747284
norway,0.18879380822181702,0.17472463846206665,0.20952337980270386,0.1334322839975357,0.1878090351819992,0.19849221408367157,0.12105534970760345
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.03682802617549896,-0.0006555641302838922,-0.03297324851155281,-0.023395681753754616
population,0.19297641515731812,0.1935066133737564,0.32044094800949097,0.1259494423866272,0.28463682532310486,0.32483869791030884,0.14449454843997955
died,0.20204433798789978,0.4570699632167816,0.18710990250110626,0.22533872723579407,0.3328428268432617,0.26605287194252014,0.15254227817058563
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.2488756626844406,0.27757999300956726,0.20430970191955566
1348–50,0.27472618222236633,-0.00870779063552618,0.18776410818099976,0.1105208769440651,0.08811144530773163,0.06274791061878204,0.3853617310523987
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.2547653317451477,0.23181170225143433,0.4130953550338745
,when,was,the,last,plague,outbreak,?
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.2537761330604553,0.28401845693588257,0.22068053483963013
last,0.3294509947299957,0.32424551248550415,0.3698786795139313,1.0,0.1814889907836914,0.23729386925697327,0.22371746599674225
plague,0.25819700956344604,0.24312011897563934,0.2537761330604553,0.1814889907836914,0.9999999403953552,0.5057891011238098,0.11872942000627518
outbreak,0.26577407121658325,0.27254146337509155,0.28401845693588257,0.23729386925697327,0.5057891011238098,1.0,0.1898726373910904
ravaged,0.24473166465759277,0.31376177072525024,0.2522768974304199,0.19376520812511444,0.32626473903656006,0.30065062642097473,0.0958469808101654
oslo,0.18552377820014954,0.2262096107006073,0.1999056190252304,0.0897616297006607,0.25269922614097595,0.17843280732631683,0.08398713916540146
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.2488756626844406,0.27757999300956726,0.20430970191955566
1654,0.039700523018836975,0.14188788831233978,0.0038978385273367167,0.0608707033097744,0.10537122935056686,0.05227382481098175,0.08027880638837814
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.2547653317451477,0.23181170225143433,0.4130953550338745
