,where,was,abc,marine,world,opened,?
in,0.5344807505607605,0.45514053106307983,0.1697147786617279,0.24858763813972473,0.3038199245929718,0.2972770035266876,0.20430970191955566
july,0.18378832936286926,0.40724116563796997,0.15350030362606049,0.11880291253328323,0.17290803790092468,0.19572360813617706,0.2897891402244568
1968,-0.012262645177543163,0.07066072523593903,-0.036682769656181335,-0.12997831404209137,0.07624384015798569,0.08727388828992844,-0.08543776720762253
",",0.3149496018886566,0.45456063747406006,0.2097204476594925,0.231239914894104,0.26091980934143066,0.24598844349384308,0.31091248989105225
abc,0.08676808327436447,0.21565799415111542,1.0000001192092896,0.1257125735282898,0.16711202263832092,0.2054978907108307,0.19065172970294952
continued,0.15841558575630188,0.40578481554985046,0.18273437023162842,0.12922559678554535,0.2165815383195877,0.24217131733894348,0.10404038429260254
its,0.27530840039253235,0.3518870174884796,0.19045390188694,0.1839611977338791,0.23953673243522644,0.2527921199798584,0.15103481709957123
acquisitions,0.24400748312473297,0.1884748339653015,0.12702473998069763,0.17916618287563324,0.2547968626022339,0.18928003311157227,0.13937270641326904
in,0.5344807505607605,0.45514053106307983,0.1697147786617279,0.24858763813972473,0.3038199245929718,0.2972770035266876,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,0.2068762183189392,0.2547752857208252,0.33604270219802856,0.28544309735298157,0.22068053483963013
amusement,0.2105364054441452,0.17419029772281647,0.12468957901000977,0.17947040498256683,0.2788074314594269,0.39578256011009216,0.20262110233306885
parks,0.22348999977111816,0.1504514515399933,0.1435646265745163,0.28228759765625,0.24015022814273834,0.2553136646747589,0.18846100568771362
sector,0.1870671659708023,0.23579141497612,0.027307584881782532,0.25480228662490845,0.2611820101737976,0.23759396374225616,0.06294605135917664
with,0.4142743945121765,0.27411898970603943,0.17432008683681488,0.19302231073379517,0.2832821011543274,0.16281741857528687,0.2433311939239502
the,0.5003893971443176,0.48711544275283813,0.2068762183189392,0.2547752857208252,0.33604270219802856,0.28544309735298157,0.22068053483963013
opening,0.2515875995159149,0.20817555487155914,0.13095395267009735,0.14997634291648865,0.2053900808095932,0.5178986191749573,0.16502447426319122
of,0.38066378235816956,0.4069072902202606,0.14607268571853638,0.24999871850013733,0.2828933000564575,0.16720551252365112,0.1826142966747284
abc,0.08676808327436447,0.21565799415111542,1.0000001192092896,0.1257125735282898,0.16711202263832092,0.2054978907108307,0.19065172970294952
marine,0.18294478952884674,0.14990459382534027,0.1257125735282898,0.9999999403953552,0.2146293669939041,0.12049394100904465,0.1407923698425293
