,what,is,the,gender,income,inequality,in,bahrain,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24119289219379425,0.23699946701526642,0.23508106172084808,0.6662389636039734,0.26649004220962524,0.22068053483963013
income,0.21837803721427917,0.14559021592140198,0.23699946701526642,0.2183011770248413,1.0,0.46967795491218567,0.1795814335346222,0.23201490938663483,0.14935168623924255
gap,0.17691411077976227,0.19868990778923035,0.27986636757850647,0.14767587184906006,0.24564556777477264,0.255584180355072,0.1954546719789505,0.13073579967021942,0.09251954406499863
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20639578998088837,0.1795814335346222,0.19402410089969635,1.0,0.20764829218387604,0.20430970191955566
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.2856695055961609,0.23439402878284454,0.23700791597366333,0.39989137649536133,0.172612726688385,0.24682199954986572
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.2715521454811096,0.2989959716796875,0.2820434868335724,0.3027990758419037,0.321719229221344,0.15128466486930847
ranges,0.20017047226428986,0.26551249623298645,0.2618407607078552,0.12718817591667175,0.1658473014831543,0.11512171477079391,0.19038642942905426,0.09391231089830399,0.10840721428394318
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.09627526253461838,0.17458222806453705,0.06381086260080338,0.4274188280105591,0.15800875425338745,0.19969791173934937
53,0.17928816378116608,0.2136807143688202,0.23184166848659515,0.15380656719207764,0.07488648593425751,0.14068149030208588,0.2449575811624527,0.2812832295894623,0.24864983558654785
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.18052072823047638,0.29531732201576233,0.2651303708553314,0.19465309381484985,0.12035734206438065,0.21441808342933655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20639578998088837,0.1795814335346222,0.19402410089969635,1.0,0.20764829218387604,0.20430970191955566
botswana,0.15850311517715454,0.2142167091369629,0.20599515736103058,0.17969708144664764,0.2607247233390808,0.22734014689922333,0.1863333135843277,0.35310283303260803,0.196000874042511
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.23450952768325806,0.27188464999198914,0.24361056089401245,0.45010748505592346,0.2141263633966446,0.29463258385658264
-40,0.09968777745962143,0.13272927701473236,0.06222689524292946,0.10192979127168655,0.03735942021012306,0.10104235261678696,-0.011053298600018024,0.009607885964214802,0.0032168636098504066
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.18052072823047638,0.29531732201576233,0.2651303708553314,0.19465309381484985,0.12035734206438065,0.21441808342933655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20639578998088837,0.1795814335346222,0.19402410089969635,1.0,0.20764829218387604,0.20430970191955566
bahrain,0.17038606107234955,0.19359727203845978,0.26649004220962524,0.217768594622612,0.23201490938663483,0.29657649993896484,0.20764829218387604,1.0,0.12445306032896042
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2381640076637268,0.26448529958724976,0.22563500702381134,0.5591574311256409,0.2182970643043518,0.4130953550338745
