,how,man,of,grainger,town,'s,450,buildings,are,listed,?
of,0.2480744868516922,0.16490690410137177,1.0,0.19878338277339935,0.26585668325424194,-0.03817026689648628,0.01127620693296194,0.2829168736934662,0.39081433415412903,0.28872668743133545,0.1826142966747284
grainger,0.17322956025600433,0.260776162147522,0.19878338277339935,0.9999999403953552,0.11897199600934982,0.05577683821320534,0.0225650817155838,0.11962953954935074,0.1393309384584427,0.0825575590133667,0.14470532536506653
town,0.08823008835315704,0.15002083778381348,0.26585668325424194,0.11897199600934982,1.0,-0.0385698527097702,0.14109547436237335,0.3699302673339844,0.18265709280967712,0.13449259102344513,0.09902279824018478
's,-0.026164190843701363,-0.04544515535235405,-0.03817026689648628,0.05577683821320534,-0.0385698527097702,0.9999999403953552,0.06986870616674423,0.036561012268066406,-0.008927806280553341,-0.03281519562005997,-0.023395681753754616
450,-0.09073229879140854,-0.07660378515720367,0.01127620693296194,0.0225650817155838,0.14109547436237335,0.06986870616674423,1.0000001192092896,-0.02697545848786831,-0.030653277412056923,-0.08751817792654037,-0.08385547250509262
buildings,0.15449079871177673,0.14665819704532623,0.2829168736934662,0.11962953954935074,0.3699302673339844,0.036561012268066406,-0.02697545848786831,1.0,0.27261707186698914,0.3225797712802887,0.11192528158426285
",",0.22659391164779663,0.26654794812202454,0.4946078956127167,0.40289974212646484,0.27598801255226135,-0.0016132977325469255,0.07596368342638016,0.272444486618042,0.4062570035457611,0.30069199204444885,0.31091248989105225
244,0.22821277379989624,0.15455566346645355,0.24650247395038605,0.20620182156562805,0.0702328085899353,0.046749912202358246,-0.21249982714653015,0.1329164355993271,0.22926415503025055,0.07876645773649216,0.020726049318909645
are,0.311818927526474,0.13773006200790405,0.39081433415412903,0.1393309384584427,0.18265709280967712,-0.008927806280553341,-0.030653277412056923,0.27261707186698914,1.0,0.37825334072113037,0.24591213464736938
listed,0.19256755709648132,0.09207262843847275,0.28872668743133545,0.0825575590133667,0.13449259102344513,-0.03281519562005997,-0.08751817792654037,0.3225797712802887,0.37825334072113037,1.0000001192092896,0.2152968794107437
",",0.22659391164779663,0.26654794812202454,0.4946078956127167,0.40289974212646484,0.27598801255226135,-0.0016132977325469255,0.07596368342638016,0.272444486618042,0.4062570035457611,0.30069199204444885,0.31091248989105225
of,0.2480744868516922,0.16490690410137177,1.0,0.19878338277339935,0.26585668325424194,-0.03817026689648628,0.01127620693296194,0.2829168736934662,0.39081433415412903,0.28872668743133545,0.1826142966747284
which,0.4852597713470459,0.20038147270679474,0.5011631846427917,0.1897866427898407,0.20332901179790497,0.03856118768453598,-0.007733028847724199,0.2618054151535034,0.42922598123550415,0.23637156188488007,0.25814583897590637
29,0.36119353771209717,0.22248467803001404,0.3091129958629608,0.37000006437301636,0.33130505681037903,0.07449276745319366,0.10939736664295197,0.2641010880470276,0.3589058816432953,0.26825761795043945,0.38368016481399536
are,0.311818927526474,0.13773006200790405,0.39081433415412903,0.1393309384584427,0.18265709280967712,-0.008927806280553341,-0.030653277412056923,0.27261707186698914,1.0,0.37825334072113037,0.24591213464736938
grade,0.22027473151683807,0.1416291892528534,0.1790352761745453,0.23534038662910461,0.0868065133690834,0.035208266228437424,-0.009975780732929707,0.21466080844402313,0.22973433136940002,0.38322439789772034,0.12344983220100403
i,0.3186261057853699,0.14858919382095337,0.25849398970603943,0.1256132274866104,0.17250823974609375,0.09143294394016266,-0.02697625383734703,0.16915832459926605,0.21339178085327148,0.22198793292045593,0.4695145785808563
and,0.33647966384887695,0.22261469066143036,0.5116966962814331,0.34008583426475525,0.2459200918674469,0.06895173341035843,0.04046407341957092,0.3477250337600708,0.48576638102531433,0.2351783663034439,0.20544172823429108
49,0.09959059953689575,0.035684984177351,0.12329956889152527,0.034715548157691956,-0.02782437577843666,-0.008606315590441227,0.12318330258131027,0.05349966883659363,0.3257688581943512,0.1526651382446289,-0.019234824925661087
are,0.311818927526474,0.13773006200790405,0.39081433415412903,0.1393309384584427,0.18265709280967712,-0.008927806280553341,-0.030653277412056923,0.27261707186698914,1.0,0.37825334072113037,0.24591213464736938
grade,0.22027473151683807,0.1416291892528534,0.1790352761745453,0.23534038662910461,0.0868065133690834,0.035208266228437424,-0.009975780732929707,0.21466080844402313,0.22973433136940002,0.38322439789772034,0.12344983220100403
ii*,0.16234152019023895,0.11211348325014114,0.2549603283405304,0.1835111379623413,0.1556003838777542,-0.007864581421017647,-0.05341750755906105,0.19777576625347137,0.13558609783649445,0.188082754611969,0.192304328083992
.,0.3287222981452942,0.27014487981796265,0.5352458953857422,0.28335756063461304,0.28254011273384094,-0.003708066651597619,0.14962585270404816,0.2799520492553711,0.3452940285205841,0.2932872176170349,0.4130953550338745
