,what,is,a,lower,rate,of,social,goods,an,effect,of,?
effects,0.22572848200798035,0.1956818550825119,0.20917339622974396,0.16256918013095856,0.25506511330604553,0.21244898438453674,0.257942795753479,0.1752348095178604,0.23655571043491364,0.7429079413414001,0.21244898438453674,0.16749060153961182
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.31757521629333496,0.24132871627807617,1.0,0.2605111300945282,0.18927626311779022,0.32280945777893066,0.24129827320575714,1.0,0.1826142966747284
inequality,0.30072227120399475,0.1953488290309906,0.1783585250377655,0.260497123003006,0.31061500310897827,0.27910974621772766,0.48126378655433655,0.29952314496040344,0.17885848879814148,0.3300517201423645,0.27910974621772766,0.23619021475315094
researchers,0.29493099451065063,0.23568220436573029,0.23162437975406647,0.19614183902740479,0.21193179488182068,0.23457743227481842,0.25659921765327454,0.16040746867656708,0.18744920194149017,0.20570628345012665,0.23457743227481842,0.14480042457580566
have,0.39808809757232666,0.3613572418689728,0.338716596364975,0.2959109842777252,0.22157570719718933,0.3802283704280853,0.2098868191242218,0.21092981100082397,0.22897054255008698,0.27919867634773254,0.3802283704280853,0.32991164922714233
found,0.1796332150697708,0.3526395261287689,0.2869448959827423,0.20702838897705078,0.15961512923240662,0.2982911467552185,0.17261944711208344,0.1329466998577118,0.11655625700950623,0.16350887715816498,0.2982911467552185,0.16790300607681274
include,0.1535889357328415,0.28863582015037537,0.18765322864055634,0.1439075767993927,0.09259652346372604,0.37431180477142334,0.18803253769874573,0.17661850154399872,0.14737801253795624,0.1940673440694809,0.37431180477142334,0.14925788342952728
higher,0.2538340389728546,0.24683357775211334,0.2608921229839325,0.5770463347434998,0.3718094527721405,0.3096220791339874,0.26766929030418396,0.21340057253837585,0.18592587113380432,0.27006834745407104,0.3096220791339874,0.15679465234279633
rates,0.2148645967245102,0.24308988451957703,0.24341748654842377,0.33435893058776855,0.7312538027763367,0.2585311233997345,0.23757560551166534,0.32603979110717773,0.1565859019756317,0.31913235783576965,0.2585311233997345,0.13808594644069672
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.31757521629333496,0.24132871627807617,1.0,0.2605111300945282,0.18927626311779022,0.32280945777893066,0.24129827320575714,1.0,0.1826142966747284
health,0.21460163593292236,0.1864514946937561,0.21166443824768066,0.2023916244506836,0.22486552596092224,0.28076469898223877,0.3956437110900879,0.24970610439777374,0.1369510293006897,0.2699953615665436,0.28076469898223877,0.16094304621219635
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2802542746067047,0.17405889928340912,0.5116966962814331,0.38231831789016724,0.2947494387626648,0.2838519215583801,0.23508284986019135,0.5116966962814331,0.20544172823429108
social,0.22217629849910736,0.15944984555244446,0.2286769598722458,0.242025226354599,0.17135904729366302,0.2605111300945282,1.0,0.21236930787563324,0.1521279513835907,0.26389285922050476,0.2605111300945282,0.1615191102027893
problems,0.3306994140148163,0.16985496878623962,0.21523453295230865,0.1928171068429947,0.2241341471672058,0.2450421154499054,0.24665296077728271,0.20311063528060913,0.1804785281419754,0.2976492941379547,0.2450421154499054,0.2638136148452759
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.236776202917099,0.18156792223453522,0.4946078956127167,0.2674078345298767,0.21030361950397491,0.3581022024154663,0.2150653600692749,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2802542746067047,0.17405889928340912,0.5116966962814331,0.38231831789016724,0.2947494387626648,0.2838519215583801,0.23508284986019135,0.5116966962814331,0.20544172823429108
lower,0.20079238712787628,0.20806168019771576,0.2221667766571045,1.0,0.2670515477657318,0.31757521629333496,0.242025226354599,0.2004191279411316,0.0962325856089592,0.21439076960086823,0.31757521629333496,0.08471795171499252
