,which,country,rationed,gasoline,and,heating,gas,?
the,0.6521818041801453,0.30432501435279846,0.33562132716178894,0.1487564593553543,0.5171257257461548,0.2242104858160019,0.2339978665113449,0.22068053483963013
uk,0.1906050443649292,0.19472895562648773,0.1622934341430664,0.19420278072357178,0.2701246440410614,0.16519586741924286,0.06071002408862114,0.20222434401512146
",",0.3658004403114319,0.27878350019454956,0.31431320309638977,0.20517177879810333,0.6633074283599854,0.2541029453277588,0.22298859059810638,0.31091248989105225
germany,0.2479574829339981,0.3162744343280792,0.21470630168914795,0.22114568948745728,0.29381805658340454,0.17065684497356415,0.18369944393634796,0.1388660967350006
",",0.3658004403114319,0.27878350019454956,0.31431320309638977,0.20517177879810333,0.6633074283599854,0.2541029453277588,0.22298859059810638,0.31091248989105225
italy,0.23020818829536438,0.2792383134365082,0.12436594814062119,0.21818749606609344,0.25207585096359253,0.15691639482975006,0.16588491201400757,0.11567100137472153
",",0.3658004403114319,0.27878350019454956,0.31431320309638977,0.20517177879810333,0.6633074283599854,0.2541029453277588,0.22298859059810638,0.31091248989105225
switzerland,0.19017893075942993,0.32163169980049133,0.13954055309295654,0.1177804246544838,0.20231366157531738,0.1327059119939804,0.08539651334285736,0.13347817957401276
and,0.506277859210968,0.30884742736816406,0.3006035387516022,0.16440029442310333,1.0,0.2968790829181671,0.20214606821537018,0.20544172823429108
norway,0.1809166967868805,0.2543697953224182,0.16141094267368317,0.15158000588417053,0.23708364367485046,0.14381349086761475,0.15933790802955627,0.12105534970760345
banned,0.25998979806900024,0.14772377908229828,0.3580631911754608,0.21845589578151703,0.23775780200958252,0.17697854340076447,0.18388250470161438,0.3147534728050232
flying,0.2501256465911865,0.14115209877490997,0.25490251183509827,0.1852305829524994,0.2049180567264557,0.17913049459457397,0.11091496795415878,0.15733514726161957
",",0.3658004403114319,0.27878350019454956,0.31431320309638977,0.20517177879810333,0.6633074283599854,0.2541029453277588,0.22298859059810638,0.31091248989105225
driving,0.22367464005947113,0.17830264568328857,0.21317549049854279,0.35417503118515015,0.24490134418010712,0.27071768045425415,0.15571947395801544,0.0902169942855835
and,0.506277859210968,0.30884742736816406,0.3006035387516022,0.16440029442310333,1.0,0.2968790829181671,0.20214606821537018,0.20544172823429108
boating,0.2921832203865051,0.1533566415309906,0.15898282825946808,0.2552003264427185,0.27700677514076233,0.3619707524776459,0.188897043466568,0.13251009583473206
on,0.4245251417160034,0.21584933996200562,0.28494399785995483,0.15767134726047516,0.4077630043029785,0.18887418508529663,0.14262238144874573,0.2714994251728058
sundays,0.2564515769481659,0.12746424973011017,0.20733687281608582,0.19737419486045837,0.22147157788276672,0.23069359362125397,0.1348598599433899,0.20735390484333038
.,0.45942068099975586,0.26130348443984985,0.2980237305164337,0.24363358318805695,0.588965117931366,0.2768857181072235,0.24812045693397522,0.4130953550338745
