,who,assembles,the,authors,',contributions,?
a,0.36608949303627014,0.23099032044410706,0.5829201340675354,0.12876835465431213,0.48837921023368835,0.26384657621383667,0.23916715383529663
chapter,0.16993574798107147,0.2535845637321472,0.29158273339271545,0.3061886727809906,0.18634487688541412,0.23277434706687927,0.20212359726428986
typically,0.2390000820159912,0.26426923274993896,0.33345210552215576,0.1482873558998108,0.15855248272418976,0.15604442358016968,0.14485043287277222
has,0.2558172643184662,0.1283997744321823,0.4177538752555847,0.14586897194385529,0.27390268445014954,0.22851254045963287,0.15994466841220856
two,0.2791741192340851,0.26167604327201843,0.43858039379119873,0.17777800559997559,0.23614099621772766,0.16861572861671448,0.19645625352859497
``,0.02397952415049076,0.04773229733109474,0.029072100296616554,0.0897427350282669,0.0022648978047072887,0.05461921542882919,0.0685480609536171
coordinating,0.13873086869716644,0.2476290464401245,0.2802852392196655,0.1953067034482956,0.19757986068725586,0.24734848737716675,0.16846343874931335
lead,0.19455209374427795,0.13382171094417572,0.21995973587036133,0.11187088489532471,0.17378568649291992,0.1233721524477005,0.14552436769008636
authors,0.20428071916103363,0.19058583676815033,0.198689267039299,1.0000001192092896,0.19493339955806732,0.3626900017261505,0.19121912121772766
'',0.024401003494858742,0.09947811812162399,0.041273195296525955,0.1298305243253708,0.05904744192957878,-0.051057543605566025,0.018684765323996544
",",0.3365725874900818,0.2309543788433075,0.4933079481124878,0.2319156676530838,0.5178600549697876,0.3066929578781128,0.31091248989105225
ten,0.23325704038143158,0.1448550522327423,0.3256247341632843,0.1040210872888565,0.1630202829837799,0.1355455219745636,0.14471080899238586
to,0.42656609416007996,0.25533246994018555,0.535392165184021,0.21663688123226166,0.34544456005096436,0.26259103417396545,0.29463258385658264
fifteen,0.21953484416007996,0.21450233459472656,0.32743558287620544,0.20803500711917877,0.13896852731704712,0.15638259053230286,0.14574173092842102
``,0.02397952415049076,0.04773229733109474,0.029072100296616554,0.0897427350282669,0.0022648978047072887,0.05461921542882919,0.0685480609536171
