,which,region,of,california,is,palm,springs,located,in,?
many,0.5168171525001526,0.17234529554843903,0.37253960967063904,0.24571245908737183,0.2649032473564148,0.20877130329608917,0.2192389816045761,0.17394456267356873,0.41474202275276184,0.2124512493610382
locals,0.2675532400608063,0.26199355721473694,0.20127134025096893,0.1157366931438446,0.2034311294555664,0.1982392519712448,0.20202653110027313,0.2983599305152893,0.26870858669281006,0.19693240523338318
and,0.506277859210968,0.2372262328863144,0.5116966962814331,0.2441616654396057,0.3859752118587494,0.21356837451457977,0.30992886424064636,0.24183952808380127,0.4954058527946472,0.20544172823429108
tourists,0.23210245370864868,0.25327831506729126,0.21494702994823456,0.14638403058052063,0.24758118391036987,0.1868164986371994,0.2940997779369354,0.3060578405857086,0.26775842905044556,0.10706513375043869
frequent,0.24845978617668152,0.10592376440763474,0.17798742651939392,0.1497996747493744,0.19669964909553528,0.10700921714305878,0.17694853246212006,0.08725085854530334,0.20610728859901428,0.13923750817775726
the,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.5823672413825989,0.23239637911319733,0.2626856863498688,0.407527357339859,0.6662389636039734,0.22068053483963013
southern,0.2648681700229645,0.35965695977211,0.31933003664016724,0.2983402609825134,0.2419366091489792,0.24601362645626068,0.24729172885417938,0.3350563645362854,0.3190481662750244,0.11225555837154388
california,0.17128102481365204,0.1643783003091812,0.24929828941822052,1.0,0.20727038383483887,0.3128533661365509,0.3477928042411804,0.20510807633399963,0.2772824168205261,0.1409905105829239
coast,0.2259337306022644,0.27730435132980347,0.2811681628227234,0.2948465347290039,0.25204822421073914,0.2680363655090332,0.2088080644607544,0.3075149953365326,0.2620964050292969,0.15869849920272827
for,0.44095608592033386,0.17531010508537292,0.4185989499092102,0.23038740456104279,0.43268078565597534,0.17659316956996918,0.19647254049777985,0.1493360996246338,0.4322226941585541,0.264628142118454
its,0.5154205560684204,0.2717832922935486,0.48690423369407654,0.16180482506752014,0.4447362422943115,0.1175142154097557,0.20209136605262756,0.3198530077934265,0.3793783485889435,0.15103481709957123
popular,0.2955121099948883,0.14200177788734436,0.25281813740730286,0.19769582152366638,0.30144429206848145,0.13754232227802277,0.22914814949035645,0.11256954818964005,0.3157482445240021,0.13108457624912262
beaches,0.2306220531463623,0.27505916357040405,0.24178698658943176,0.274342805147171,0.2566693127155304,0.25515249371528625,0.42471134662628174,0.3084428012371063,0.2784445285797119,0.13028982281684875
",",0.3658004403114319,0.2119160145521164,0.4946078956127167,0.2704589068889618,0.4691906273365021,0.2923817038536072,0.3291926681995392,0.2678719460964203,0.5201468467712402,0.31091248989105225
and,0.506277859210968,0.2372262328863144,0.5116966962814331,0.2441616654396057,0.3859752118587494,0.21356837451457977,0.30992886424064636,0.24183952808380127,0.4954058527946472,0.20544172823429108
