,what,does,pharmacy,legislation,mandate,?
in,0.30808621644973755,0.214483380317688,0.22082467377185822,0.2219952940940857,0.24625785648822784,0.20430970191955566
most,0.3219912350177765,0.30044323205947876,0.0962650403380394,0.1796819567680359,0.1385042816400528,0.2107497900724411
countries,0.22319257259368896,0.2621564269065857,0.19641880691051483,0.270294189453125,0.3031063973903656,0.15128466486930847
",",0.3087472915649414,0.28617382049560547,0.19815339148044586,0.221862331032753,0.2598687410354614,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,0.1938311904668808,0.2839483618736267,0.3209454417228699,0.22068053483963013
dispensary,0.34331563115119934,0.27535808086395264,0.29882949590682983,0.38797205686569214,0.35332849621772766,0.2943917214870453
is,0.28837618231773376,0.4403602182865143,0.16101746261119843,0.17952819168567657,0.19554738700389862,0.22961433231830597
subject,0.3828662037849426,0.32884445786476135,0.21229040622711182,0.3378583490848541,0.2489396333694458,0.33952999114990234
to,0.455847829580307,0.4391997456550598,0.1824638396501541,0.25758448243141174,0.32011678814888,0.29463258385658264
pharmacy,0.21638189256191254,0.14478608965873718,1.0,0.2478514313697815,0.21465854346752167,0.1355620175600052
legislation,0.26615777611732483,0.22256289422512054,0.2478514313697815,0.9999998807907104,0.41636553406715393,0.21123437583446503
;,0.10986888408660889,0.0650511160492897,0.01455142255872488,0.012244845740497112,0.020295562222599983,0.10349778085947037
with,0.2464839518070221,0.26186925172805786,0.17199546098709106,0.1655588001012802,0.155618816614151,0.2433311939239502
requirements,0.32438647747039795,0.4263125956058502,0.1755346655845642,0.3539787530899048,0.38462045788764954,0.2940613329410553
for,0.3017193675041199,0.35159170627593994,0.1657865047454834,0.21200993657112122,0.2585742473602295,0.264628142118454
storage,0.18395499885082245,0.23191718757152557,0.15784798562526703,0.19718576967716217,0.20695699751377106,0.15578968822956085
conditions,0.27960067987442017,0.26986852288246155,0.16890248656272888,0.26333820819854736,0.19368046522140503,0.17021824419498444
",",0.3087472915649414,0.28617382049560547,0.19815339148044586,0.221862331032753,0.2598687410354614,0.31091248989105225
compulsory,0.29406166076660156,0.22924399375915527,0.25531384348869324,0.4463654160499573,0.4241296350955963,0.1774163395166397
texts,0.25967296957969666,0.20625068247318268,0.15754249691963196,0.3015264868736267,0.2232244461774826,0.18584510684013367
",",0.3087472915649414,0.28617382049560547,0.19815339148044586,0.221862331032753,0.2598687410354614,0.31091248989105225
equipment,0.21531300246715546,0.18076495826244354,0.2553541362285614,0.19082988798618317,0.1662789285182953,0.0920877456665039
",",0.3087472915649414,0.28617382049560547,0.19815339148044586,0.221862331032753,0.2598687410354614,0.31091248989105225
etc.,0.24412551522254944,0.22312523424625397,0.1951831430196762,0.22710633277893066,0.23004472255706787,0.2492782175540924
",",0.3087472915649414,0.28617382049560547,0.19815339148044586,0.221862331032753,0.2598687410354614,0.31091248989105225
specified,0.26299265027046204,0.2853693962097168,0.19397613406181335,0.22954927384853363,0.36094745993614197,0.25402987003326416
in,0.30808621644973755,0.214483380317688,0.22082467377185822,0.2219952940940857,0.24625785648822784,0.20430970191955566
legislation,0.26615777611732483,0.22256289422512054,0.2478514313697815,0.9999998807907104,0.41636553406715393,0.21123437583446503
.,0.3567904531955719,0.3022993505001068,0.23916830122470856,0.23787342011928558,0.2954825758934021,0.4130953550338745
