,what,choice,did,french,have,for,surrendering,land,?
the,0.42745697498321533,0.2640603482723236,0.34736719727516174,0.2555147111415863,0.40389683842658997,0.4739971458911896,0.29967501759529114,0.28587454557418823,0.22068053483963013
british,0.19255435466766357,0.18469081819057465,0.2039594054222107,0.43574923276901245,0.18602940440177917,0.1970057189464569,0.26825952529907227,0.16519016027450562,0.09711728990077972
offered,0.1662205457687378,0.33542487025260925,0.40334975719451904,0.14155489206314087,0.2547074556350708,0.3913280963897705,0.30128297209739685,0.16240929067134857,0.22244536876678467
france,0.17793065309524536,0.16326457262039185,0.2138325721025467,0.5492131114006042,0.16535663604736328,0.21557466685771942,0.23385226726531982,0.16584475338459015,0.15069349110126495
the,0.42745697498321533,0.2640603482723236,0.34736719727516174,0.2555147111415863,0.40389683842658997,0.4739971458911896,0.29967501759529114,0.28587454557418823,0.22068053483963013
choice,0.29363784193992615,1.0000001192092896,0.27128803730010986,0.12148705869913101,0.24615556001663208,0.3722393810749054,0.13947202265262604,0.06843803822994232,0.28709158301353455
of,0.33290785551071167,0.23419108986854553,0.2513895630836487,0.19450366497039795,0.3802283704280853,0.4185989499092102,0.27742964029312134,0.3057127296924591,0.1826142966747284
surrendering,0.19339551031589508,0.13947202265262604,0.25454795360565186,0.23097281157970428,0.1468707174062729,0.23098184168338776,1.0000001192092896,0.21547110378742218,0.13804639875888824
either,0.3851809501647949,0.34715691208839417,0.27443668246269226,0.11223046481609344,0.4577621519565582,0.3058042526245117,0.0993727371096611,0.13367412984371185,0.31498292088508606
its,0.30393704771995544,0.13274455070495605,0.19922670722007751,0.17982690036296844,0.3852778375148773,0.2992613911628723,0.2563082277774811,0.23737293481826782,0.15103481709957123
continental,0.19292454421520233,0.14695030450820923,0.14695397019386292,0.17705680429935455,0.18049576878547668,0.17001157999038696,0.19140231609344482,0.2673187851905823,0.1410352885723114
north,0.18673177063465118,0.08584487438201904,0.16732536256313324,0.14223402738571167,0.1588008850812912,0.17560088634490967,0.23969782888889313,0.2778964936733246,0.11829731613397598
american,0.1909721940755844,0.1724369078874588,0.21486236155033112,0.3777676820755005,0.2099626362323761,0.2306184321641922,0.16684269905090332,0.12770453095436096,0.18877598643302917
