,how,much,rain,per,year,does,fresno,get,on,average,?
average,0.2824462950229645,0.3068808615207672,0.3146970272064209,0.3395370543003082,0.2935159504413605,0.17787541449069977,0.19718319177627563,0.20042607188224792,0.2780454754829407,1.0,0.21764592826366425
annual,0.1884455680847168,0.11214926838874817,0.2441015988588333,0.25775980949401855,0.37299844622612,0.1914888620376587,0.14194504916667938,0.1542302966117859,0.21208518743515015,0.35461482405662537,0.1083487942814827
precipitation,0.13807764649391174,0.2016526162624359,0.5625330209732056,0.2753194272518158,0.3063386082649231,0.21568427979946136,0.23641720414161682,0.13459371030330658,0.2261299192905426,0.5474167466163635,0.2410532683134079
is,0.22544461488723755,0.3156087100505829,0.20224589109420776,0.22395510971546173,0.2402215600013733,0.4403602182865143,0.2127077877521515,0.29207053780555725,0.3635730445384979,0.2669461667537689,0.22961433231830597
around,0.3297552764415741,0.3766762316226959,0.20659218728542328,0.2599736452102661,0.28177201747894287,0.19845978915691376,0.22732719779014587,0.2424926459789276,0.43118709325790405,0.3280741572380066,0.14729668200016022
11.5,0.06435557454824448,0.11364597082138062,0.17456509172916412,-0.03354017809033394,0.019729383289813995,0.0009348233579657972,0.01772126741707325,0.11311282217502594,0.053126443177461624,0.029364576563239098,-0.061971113085746765
inches,0.24122700095176697,0.2249401956796646,0.4029020667076111,0.24523290991783142,0.21933002769947052,0.17355789244174957,0.25258195400238037,0.15922874212265015,0.2068699151277542,0.36541739106178284,0.17945347726345062
(,0.1676948219537735,0.21788647770881653,0.21749596297740936,0.3121034801006317,0.2556702494621277,0.2728188931941986,0.188642680644989,0.2644343078136444,0.28656116127967834,0.20423224568367004,0.40561532974243164
292.1,0.013661462813615799,-0.03287886828184128,-0.04681694135069847,0.16943106055259705,0.05041644349694252,0.11191274970769882,-0.00048287224490195513,-0.020483285188674927,-0.09365824609994888,0.032458074390888214,0.29367634654045105
mm,0.1917833834886551,0.25182321667671204,0.39278578758239746,0.17968015372753143,0.20145492255687714,0.1667618751525879,0.17864727973937988,0.11830225586891174,0.2133582979440689,0.3158649504184723,0.16094553470611572
),0.17939934134483337,0.22256317734718323,0.2300865352153778,0.327212929725647,0.24282371997833252,0.2575884759426117,0.20478583872318268,0.26274725794792175,0.29937487840652466,0.20956556499004364,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.3246457576751709,0.26711323857307434,0.28560417890548706,0.28617382049560547,0.2561432421207428,0.2926318049430847,0.49057599902153015,0.23098047077655792,0.31091248989105225
which,0.4852597713470459,0.4274604916572571,0.26271286606788635,0.2492961585521698,0.242343008518219,0.39111801981925964,0.14756552875041962,0.3393840193748474,0.4245251417160034,0.2536912262439728,0.25814583897590637
",",0.22659391164779663,0.36182254552841187,0.3246457576751709,0.26711323857307434,0.28560417890548706,0.28617382049560547,0.2561432421207428,0.2926318049430847,0.49057599902153015,0.23098047077655792,0.31091248989105225
by,0.34370526671409607,0.24959969520568848,0.19406095147132874,0.18994441628456116,0.28805047273635864,0.143477201461792,0.12580959498882294,0.2411126047372818,0.33887791633605957,0.15240925550460815,0.17966607213020325
definition,0.25456923246383667,0.34662866592407227,0.14299696683883667,0.2620384693145752,0.15410587191581726,0.3219144642353058,0.1318369060754776,0.23566249012947083,0.21725256741046906,0.2605995833873749,0.2796523869037628
",",0.22659391164779663,0.36182254552841187,0.3246457576751709,0.26711323857307434,0.28560417890548706,0.28617382049560547,0.2561432421207428,0.2926318049430847,0.49057599902153015,0.23098047077655792,0.31091248989105225
would,0.43239715695381165,0.41720274090766907,0.1565234512090683,0.23669259250164032,0.259968101978302,0.5055691003799438,0.16441793739795685,0.42412707209587097,0.35589995980262756,0.205789715051651,0.37178951501846313
classify,0.3335054814815521,0.2775631248950958,0.06920334696769714,0.14040115475654602,0.11585313081741333,0.2513873279094696,0.09949370473623276,0.31627434492111206,0.1965753436088562,0.19256514310836792,0.23573969304561615
the,0.33890387415885925,0.35023224353790283,0.238019198179245,0.21691934764385223,0.3609684407711029,0.35928019881248474,0.22571885585784912,0.29667025804519653,0.5107308030128479,0.27058175206184387,0.22068053483963013
area,0.17030490934848785,0.23905497789382935,0.20005634427070618,0.17562253773212433,0.1947406381368637,0.13779224455356598,0.21332328021526337,0.19424545764923096,0.20868615806102753,0.27569663524627686,0.12640461325645447
as,0.33782753348350525,0.36514025926589966,0.14558438956737518,0.24272821843624115,0.28440728783607483,0.31202155351638794,0.13437435030937195,0.2830592393875122,0.36047765612602234,0.1320570707321167,0.27043893933296204
a,0.29312583804130554,0.2958075702190399,0.2368541955947876,0.21615441143512726,0.29350247979164124,0.38201746344566345,0.22242428362369537,0.27948489785194397,0.3848365545272827,0.23812800645828247,0.23916715383529663
semidesert,0.2107643187046051,0.25901955366134644,0.36034753918647766,0.17882360517978668,0.18708311021327972,0.2141360640525818,0.36751365661621094,0.1968039870262146,0.2812992036342621,0.22220076620578766,0.22277161478996277
.,0.3287222981452942,0.3374604284763336,0.27168262004852295,0.2729434370994568,0.32538118958473206,0.3022993505001068,0.2480216920375824,0.39392393827438354,0.49257001280784607,0.2717139422893524,0.4130953550338745
