,what,are,clades,?
the,0.42745697498321533,0.40399202704429626,0.2675536870956421,0.22068053483963013
study,0.3123835027217865,0.22810009121894836,0.2829337418079376,0.15902167558670044
also,0.42747777700424194,0.4565894305706024,0.23382943868637085,0.21848613023757935
found,0.1796332150697708,0.2740558087825775,0.2224826216697693,0.16790300607681274
that,0.6297725439071655,0.45265161991119385,0.3119427263736725,0.32716336846351624
there,0.35085538029670715,0.5433560013771057,0.2745603919029236,0.29405656456947327
were,0.22298263013362885,0.6489362716674805,0.28101325035095215,0.17890112102031708
two,0.23363454639911652,0.46276170015335083,0.3320293128490448,0.19645625352859497
previously,0.24305304884910583,0.23321445286273956,0.2433619499206543,0.15811841189861298
unknown,0.2441980093717575,0.18115395307540894,0.09762537479400635,0.22083927690982819
but,0.5029441118240356,0.47990062832832336,0.29710182547569275,0.27921953797340393
related,0.258600115776062,0.30353736877441406,0.2861953675746918,0.17689068615436554
clades,0.21586823463439941,0.3668600618839264,1.0,0.17848095297813416
(,0.2411840260028839,0.23263892531394958,0.1619688719511032,0.40561532974243164
genetic,0.22305285930633545,0.20098352432250977,0.3762700855731964,0.17993050813674927
branches,0.1727389693260193,0.35720422863960266,0.38666656613349915,0.12858285009860992
),0.26259949803352356,0.2373749315738678,0.14118355512619019,0.42300865054130554
of,0.33290785551071167,0.39081433415412903,0.25594544410705566,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.2675536870956421,0.22068053483963013
y.,0.06674016267061234,0.02955223061144352,0.06665175408124924,0.14909613132476807
pestis,0.20065881311893463,0.2383180856704712,0.32047635316848755,0.2471543848514557
genome,0.15202009677886963,0.21789780259132385,0.38731735944747925,0.1776634305715561
associated,0.15836219489574432,0.28055059909820557,0.17208215594291687,0.1453326791524887
with,0.2464839518070221,0.38996943831443787,0.2298218160867691,0.2433311939239502
medieval,0.2230893075466156,0.13899409770965576,0.226719468832016,0.15571735799312592
mass,0.23905135691165924,0.19478152692317963,0.17499330639839172,0.2076406031847
graves,0.1975894272327423,0.18553313612937927,0.15269812941551208,0.1868567168712616
.,0.3567904531955719,0.3452940285205841,0.19641607999801636,0.4130953550338745
