,after,what,event,did,the,spanish,concede,florida,to,britain,?
spain,0.2004108875989914,0.17150506377220154,0.19882363080978394,0.14855723083019257,0.259463906288147,0.6118671298027039,0.18772342801094055,0.25170034170150757,0.22881686687469482,0.3484061360359192,0.16814002394676208
ceded,0.34265726804733276,0.18067489564418793,0.19745370745658875,0.21863986551761627,0.337197870016098,0.2276371419429779,0.362690806388855,0.19869741797447205,0.234125018119812,0.2787061035633087,0.13127154111862183
florida,0.22783660888671875,0.14450381696224213,0.18408998847007751,0.16857092082500458,0.24091358482837677,0.20658454298973083,0.141246035695076,1.0,0.20760414004325867,0.1698501706123352,0.13469882309436798
to,0.37890323996543884,0.455847829580307,0.2585321366786957,0.4452643394470215,0.535392165184021,0.18265971541404724,0.3795262575149536,0.20760414004325867,1.0,0.25324371457099915,0.29463258385658264
the,0.4565047025680542,0.42745697498321533,0.2960145175457001,0.34736719727516174,1.0,0.23213517665863037,0.26887357234954834,0.24091358482837677,0.535392165184021,0.29784059524536133,0.22068053483963013
british,0.20129355788230896,0.19255435466766357,0.14934366941452026,0.2039594054222107,0.28973397612571716,0.29220399260520935,0.14916284382343292,0.13547126948833466,0.22690963745117188,0.4846838712692261,0.09711728990077972
in,0.44050168991088867,0.30808621644973755,0.27304479479789734,0.2593238651752472,0.6662389636039734,0.15696977078914642,0.23745189607143402,0.2330404818058014,0.45010748505592346,0.26246872544288635,0.20430970191955566
1763,-0.04275963082909584,0.10448963940143585,0.052427634596824646,0.024344369769096375,0.08999345451593399,0.2126215696334839,0.028207002207636833,0.08790966868400574,0.045962318778038025,0.07088390737771988,0.1296161562204361
after,1.0,0.21973377466201782,0.2552187740802765,0.30330467224121094,0.4565047025680542,0.1704370677471161,0.24503479897975922,0.22783660888671875,0.37890323996543884,0.2650264799594879,0.16608688235282898
the,0.4565047025680542,0.42745697498321533,0.2960145175457001,0.34736719727516174,1.0,0.23213517665863037,0.26887357234954834,0.24091358482837677,0.535392165184021,0.29784059524536133,0.22068053483963013
french,0.18600507080554962,0.17393042147159576,0.07704853266477585,0.1584041714668274,0.2555147111415863,0.48782065510749817,0.16535684466362,0.10546284168958664,0.1713797152042389,0.26548969745635986,0.1386883556842804
and,0.3765919506549835,0.31309178471565247,0.17869816720485687,0.34479495882987976,0.5171257257461548,0.27494850754737854,0.2159913033246994,0.22456413507461548,0.48971283435821533,0.3187123239040375,0.20544172823429108
indian,0.12263122946023941,0.18037962913513184,0.11702238768339157,0.13855396211147308,0.23407642543315887,0.2748737335205078,0.14640074968338013,0.18663252890110016,0.19344423711299896,0.20580832660198212,0.09909533709287643
war,0.3393358886241913,0.22516006231307983,0.20626740157604218,0.27422013878822327,0.366199791431427,0.25855669379234314,0.2023445963859558,0.1284976303577423,0.2610234022140503,0.33082640171051025,0.15510529279708862
