,what,issues,were,not,addressed,in,the,treaty,of,aix-la-chapelle,?
the,0.42745697498321533,0.2638932764530182,0.3906462490558624,0.4310511648654938,0.26755934953689575,0.6662389636039734,1.0,0.2690109610557556,0.733189046382904,0.25615760684013367,0.22068053483963013
issues,0.33279702067375183,1.0,0.16396048665046692,0.3357628285884857,0.46886762976646423,0.17748555541038513,0.2638932764530182,0.22425545752048492,0.2288406491279602,0.07929975539445877,0.320565789937973
of,0.33290785551071167,0.2288406491279602,0.34038281440734863,0.3307090103626251,0.2637386918067932,0.5696388483047485,0.733189046382904,0.2602092921733856,1.0,0.24525727331638336,0.1826142966747284
conflicting,0.40057775378227234,0.5060161352157593,0.22190037369728088,0.3285615146160126,0.35523754358291626,0.2372972071170807,0.3156564235687256,0.28797516226768494,0.29330649971961975,0.15640950202941895,0.3185083568096161
territorial,0.21081089973449707,0.20502808690071106,0.1739758998155594,0.21033862233161926,0.20335103571414948,0.25956836342811584,0.3039662539958954,0.37447690963745117,0.31948116421699524,0.18054720759391785,0.10118355602025986
claims,0.2397100329399109,0.3325578272342682,0.16468463838100433,0.31899094581604004,0.22129282355308533,0.15647023916244507,0.24698559939861298,0.26585158705711365,0.2663089632987976,0.09895114600658417,0.18741291761398315
between,0.2462156116962433,0.1960047334432602,0.27047741413116455,0.18732105195522308,0.15589456260204315,0.41100412607192993,0.39067012071609497,0.31517088413238525,0.3737983703613281,0.2022927850484848,0.12887074053287506
british,0.19255435466766357,0.12430201470851898,0.27742838859558105,0.16629528999328613,0.16861534118652344,0.23084034025669098,0.28973397612571716,0.18525288999080658,0.23701532185077667,0.15848064422607422,0.09711728990077972
and,0.31309178471565247,0.2817770540714264,0.42175528407096863,0.39099299907684326,0.23143869638442993,0.4954058527946472,0.5171257257461548,0.1592116355895996,0.5116966962814331,0.201533243060112,0.20544172823429108
french,0.17393042147159576,0.08785996586084366,0.22002479434013367,0.14757536351680756,0.06226217374205589,0.22093388438224792,0.2555147111415863,0.20101603865623474,0.19450366497039795,0.42704257369041443,0.1386883556842804
colonies,0.20822033286094666,0.2190224677324295,0.32270577549934387,0.27125340700149536,0.1951582431793213,0.28602269291877747,0.30451729893684387,0.3554370403289795,0.2890703082084656,0.1264788806438446,0.07886616140604019
in,0.30808621644973755,0.17748555541038513,0.3815755248069763,0.3403114080429077,0.18254108726978302,1.0,0.6662389636039734,0.22333456575870514,0.5696388483047485,0.261366069316864,0.20430970191955566
north,0.18673177063465118,0.059597864747047424,0.22497540712356567,0.17446625232696533,0.07559226453304291,0.39050599932670593,0.36298373341560364,0.2429315149784088,0.3604778051376343,0.2931981086730957,0.11829731613397598
america,0.2517423629760742,0.17387163639068604,0.22683310508728027,0.22121162712574005,0.12709897756576538,0.3098583221435547,0.37090015411376953,0.134932741522789,0.28803038597106934,0.10124359279870987,0.19333907961845398
were,0.22298263013362885,0.16396048665046692,1.0000001192092896,0.33318549394607544,0.232291579246521,0.3815755248069763,0.3906462490558624,0.17081822454929352,0.34038281440734863,0.12637583911418915,0.17890112102031708
turned,0.22427117824554443,0.22414140403270721,0.32396042346954346,0.29489830136299133,0.22028447687625885,0.2571444809436798,0.3414173722267151,0.10443269461393356,0.27018553018569946,0.06918402016162872,0.130948007106781
over,0.28007611632347107,0.2570655047893524,0.30589473247528076,0.2890527844429016,0.2530245780944824,0.3605569899082184,0.39856547117233276,0.1499565839767456,0.36136594414711,0.1613004356622696,0.25742942094802856
to,0.455847829580307,0.27458062767982483,0.31913647055625916,0.5149973034858704,0.29102611541748047,0.45010748505592346,0.535392165184021,0.1986158937215805,0.41548454761505127,0.14080087840557098,0.29463258385658264
a,0.3320399522781372,0.24391965568065643,0.17203083634376526,0.3791346549987793,0.15799720585346222,0.539380669593811,0.5829201340675354,0.14753150939941406,0.5052502155303955,0.27052757143974304,0.23916715383529663
commission,0.22273972630500793,0.2130601704120636,0.1886938214302063,0.21429981291294098,0.15819327533245087,0.21326816082000732,0.24418850243091583,0.34969329833984375,0.2698368728160858,0.30234307050704956,0.16231559216976166
to,0.455847829580307,0.27458062767982483,0.31913647055625916,0.5149973034858704,0.29102611541748047,0.45010748505592346,0.535392165184021,0.1986158937215805,0.41548454761505127,0.14080087840557098,0.29463258385658264
resolve,0.34879636764526367,0.44643837213516235,0.16194897890090942,0.3359542489051819,0.4029880166053772,0.14643383026123047,0.221273735165596,0.2911323010921478,0.1876445710659027,0.09265164285898209,0.35156041383743286
