,who,originally,led,the,space,task,group,?
it,0.2868398427963257,0.4051901698112488,0.09852217882871628,0.6251175999641418,0.1662190854549408,0.21210777759552002,0.2364906221628189,0.25732165575027466
became,0.2624726891517639,0.2651948928833008,0.35553088784217834,0.36325156688690186,0.08250382542610168,0.097772978246212,0.1589025855064392,0.11374033987522125
clear,0.20351572334766388,0.16924168169498444,0.10318456590175629,0.3209454417228699,0.15410171449184418,0.23705118894577026,0.15836915373802185,0.2738020122051239
that,0.45444270968437195,0.367581307888031,0.20931211113929749,0.5473989248275757,0.2368461638689041,0.3318406343460083,0.3089635670185089,0.32716336846351624
managing,0.26577112078666687,0.16490145027637482,0.2224355787038803,0.2366330474615097,0.229022815823555,0.30989760160446167,0.17182885110378265,0.09971600025892258
the,0.3733934462070465,0.36820849776268005,0.3267505168914795,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.22068053483963013
apollo,0.19149452447891235,0.17179188132286072,0.178904727101326,0.2169172167778015,0.3076713979244232,0.18596574664115906,0.10725327581167221,0.191528782248497
program,0.2097788155078888,0.244328573346138,0.16123229265213013,0.22986935079097748,0.27222728729248047,0.34723177552223206,0.22232387959957123,0.1440187245607376
would,0.3632977604866028,0.2540910542011261,0.2718735337257385,0.4133751392364502,0.2089509218931198,0.2964872419834137,0.15431860089302063,0.37178951501846313
exceed,0.10080498456954956,0.08062562346458435,0.1535894274711609,0.23819206655025482,0.19621148705482483,0.1500709503889084,0.13920864462852478,0.13049276173114777
the,0.3733934462070465,0.36820849776268005,0.3267505168914795,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.22068053483963013
capabilities,0.19340237975120544,0.11546381562948227,0.203355610370636,0.2042628526687622,0.267724871635437,0.4108053743839264,0.18641583621501923,0.20460444688796997
of,0.2827862501144409,0.21349623799324036,0.32918456196784973,0.733189046382904,0.21300287544727325,0.18514713644981384,0.25542253255844116,0.1826142966747284
robert,0.2748492956161499,0.11848756670951843,0.2032613605260849,0.2257954627275467,0.09437542408704758,0.17912061512470245,0.11834578216075897,0.11293095350265503
r.,0.09713464975357056,0.1647532880306244,0.07969526201486588,0.007481080945581198,-0.0024734006728976965,0.004673323594033718,0.19274163246154785,0.10428094118833542
gilruth,0.2925076186656952,0.26636651158332825,0.1814086139202118,0.31088438630104065,0.22317267954349518,0.22329135239124298,0.226636603474617,0.22578026354312897
's,0.05599616840481758,0.06449723243713379,-0.01628696173429489,-0.01540423184633255,-0.1200559139251709,0.03291068598628044,-0.01093533169478178,-0.023395681753754616
space,0.1441284865140915,0.15362736582756042,0.09815192967653275,0.24495907127857208,1.0000001192092896,0.20996089279651642,0.1777517944574356,0.1885536164045334
task,0.27233749628067017,0.11484429985284805,0.127092644572258,0.22566188871860504,0.20996089279651642,1.0,0.19646552205085754,0.289821058511734
group,0.33690139651298523,0.2136717587709427,0.2624949812889099,0.30795547366142273,0.1777517944574356,0.19646552205085754,0.9999999403953552,0.13827809691429138
",",0.3365725874900818,0.2660219669342041,0.22548827528953552,0.4933079481124878,0.2285580337047577,0.21093271672725677,0.2809832692146301,0.31091248989105225
which,0.3688730001449585,0.43375709652900696,0.21040768921375275,0.6521818041801453,0.2025344967842102,0.2638848125934601,0.32466647028923035,0.25814583897590637
had,0.36173108220100403,0.3063849210739136,0.38557857275009155,0.3875846862792969,0.16386190056800842,0.18766997754573822,0.20148104429244995,0.20728366076946259
been,0.3295723795890808,0.37399569153785706,0.2673066556453705,0.3563927710056305,0.18637923896312714,0.2038501501083374,0.18679015338420868,0.24354910850524902
directing,0.25353527069091797,0.17197173833847046,0.21208766102790833,0.34082669019699097,0.16795210540294647,0.249508336186409,0.15393216907978058,0.11965001374483109
the,0.3733934462070465,0.36820849776268005,0.3267505168914795,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.22068053483963013
nation,0.23936018347740173,0.21367429196834564,0.21170611679553986,0.39486879110336304,0.15044166147708893,0.161859929561615,0.2223362922668457,0.17865248024463654
's,0.05599616840481758,0.06449723243713379,-0.01628696173429489,-0.01540423184633255,-0.1200559139251709,0.03291068598628044,-0.01093533169478178,-0.023395681753754616
manned,0.20781661570072174,0.20385728776454926,0.2680523097515106,0.2392944097518921,0.4009856879711151,0.2758806049823761,0.1546257883310318,0.17514055967330933
