,how,are,the,packets,routed
the,0.33890387415885925,0.40399202704429626,1.0,0.21356946229934692,0.24058941006660461
packets,0.32003575563430786,0.3438490629196167,0.21356946229934692,1.0,0.38897189497947693
are,0.311818927526474,1.0,0.40399202704429626,0.3438490629196167,0.2290802001953125
routed,0.22110137343406677,0.2290802001953125,0.24058941006660461,0.38897189497947693,1.0
individually,0.40898099541664124,0.44353964924812317,0.34268859028816223,0.3641149401664734,0.3350132405757904
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.16014494001865387,0.22279775142669678
sometimes,0.3142040967941284,0.47411349415779114,0.35816407203674316,0.2825000286102295,0.2197495996952057
resulting,0.22508853673934937,0.21578353643417358,0.3905409574508667,0.2265954166650772,0.2271643429994583
in,0.2601168751716614,0.3841303884983063,0.6662389636039734,0.18608306348323822,0.1551818698644638
different,0.411273330450058,0.5170795917510986,0.36412742733955383,0.3004944324493408,0.21233393251895905
paths,0.2258765697479248,0.30945461988449097,0.2250492423772812,0.3081541955471039,0.31338420510292053
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.2615196108818054,0.26513099670410156
out-of-order,0.3367699682712555,0.34463968873023987,0.3331559896469116,0.3124622404575348,0.28127723932266235
delivery,0.22678276896476746,0.19240084290504456,0.22270168364048004,0.2978341281414032,0.2727777063846588
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.1963910162448883,0.2009507119655609
