,which,country,faced,a,complete,embargo,in,the,eec,?
of,0.5011631846427917,0.28866857290267944,0.2725057005882263,0.5052502155303955,0.3009350895881653,0.15861348807811737,0.5696388483047485,0.733189046382904,0.24132487177848816,0.1826142966747284
the,0.6521818041801453,0.30432501435279846,0.29245710372924805,0.5829201340675354,0.277624249458313,0.2032013237476349,0.6662389636039734,1.0,0.2747054398059845,0.22068053483963013
nine,0.31342917680740356,0.18246804177761078,0.21180692315101624,0.2446976900100708,0.14837943017482758,0.07007374614477158,0.303353875875473,0.33253175020217896,0.15731856226921082,0.13964155316352844
members,0.295350044965744,0.19553110003471375,0.2148350477218628,0.1873859316110611,0.19545066356658936,0.1425824612379074,0.196792870759964,0.3321719169616699,0.23359613120555878,0.10212311148643494
of,0.5011631846427917,0.28866857290267944,0.2725057005882263,0.5052502155303955,0.3009350895881653,0.15861348807811737,0.5696388483047485,0.733189046382904,0.24132487177848816,0.1826142966747284
the,0.6521818041801453,0.30432501435279846,0.29245710372924805,0.5829201340675354,0.277624249458313,0.2032013237476349,0.6662389636039734,1.0,0.2747054398059845,0.22068053483963013
european,0.2234036773443222,0.2651806175708771,0.15298166871070862,0.2254103124141693,0.1374148726463318,0.18065252900123596,0.23319172859191895,0.3423081040382385,0.409328430891037,0.14560863375663757
economic,0.2570582926273346,0.28465786576271057,0.27217456698417664,0.2234611213207245,0.16872498393058777,0.33138322830200195,0.22027181088924408,0.282455176115036,0.40467560291290283,0.1206481084227562
community,0.2314024716615677,0.19614599645137787,0.16386723518371582,0.2694961726665497,0.0995388850569725,0.170735165476799,0.21838891506195068,0.2601400911808014,0.23700270056724548,0.2380419820547104
(,0.2589828372001648,0.1820623129606247,0.15789708495140076,0.3206180930137634,0.20320400595664978,0.21578672528266907,0.3087427020072937,0.33289089798927307,0.20606738328933716,0.40561532974243164
eec,0.269231379032135,0.25832676887512207,0.09794013202190399,0.19431506097316742,0.20866583287715912,0.37765246629714966,0.17706318199634552,0.2747054398059845,1.0,0.14561593532562256
),0.2758678197860718,0.18773311376571655,0.13512639701366425,0.3640355169773102,0.21319177746772766,0.21569138765335083,0.3326910734176636,0.3456730246543884,0.2047889530658722,0.42300865054130554
",",0.3658004403114319,0.27878350019454956,0.2279764860868454,0.427140474319458,0.23945219814777374,0.17259633541107178,0.5201468467712402,0.4933079481124878,0.17505763471126556,0.31091248989105225
the,0.6521818041801453,0.30432501435279846,0.29245710372924805,0.5829201340675354,0.277624249458313,0.2032013237476349,0.6662389636039734,1.0,0.2747054398059845,0.22068053483963013
netherlands,0.20309802889823914,0.30645281076431274,0.13328798115253448,0.22332750260829926,0.08489096909761429,0.22769023478031158,0.28237903118133545,0.2279868870973587,0.2976880371570587,0.09310898929834366
faced,0.16965745389461517,0.15700379014015198,1.0,0.22509683668613434,0.11398957669734955,0.11233945935964584,0.20601411163806915,0.29245710372924805,0.09794013202190399,0.12312540411949158
a,0.56894451379776,0.20991116762161255,0.22509683668613434,1.0,0.29913821816444397,0.17945899069309235,0.539380669593811,0.5829201340675354,0.19431506097316742,0.23916715383529663
