,which,group,benefited,from,the,funds,distributed,by,the,religious,charity,",",al-haramain,foundation,?
saudi,0.21756382286548615,0.18017089366912842,0.20165236294269562,0.16385377943515778,0.23420350253582,0.21250317990779877,0.12049494683742523,0.15848882496356964,0.23420350253582,0.23980769515037537,0.22393645346164703,0.2657196521759033,0.40414726734161377,0.17581485211849213,0.1627861112356186
arabia,0.2047894150018692,0.11689139902591705,0.13316041231155396,0.17726045846939087,0.20754998922348022,0.2173459827899933,0.16873088479042053,0.17554740607738495,0.20754998922348022,0.19947150349617004,0.20054174959659576,0.2566268742084503,0.4369469881057739,0.14355811476707458,0.14747555553913116
spent,0.08273550868034363,0.07303442806005478,0.2893761694431305,0.18027111887931824,0.24215754866600037,0.2868554890155792,0.11913230270147324,0.13722601532936096,0.24215754866600037,0.12960506975650787,0.1908286064863205,0.2880055606365204,0.17052091658115387,0.1717485934495926,0.09774520993232727
over,0.4256240129470825,0.1525806486606598,0.3227248191833496,0.37539660930633545,0.39856547117233276,0.2200595736503601,0.24119001626968384,0.29360154271125793,0.39856547117233276,0.16967886686325073,0.1615128368139267,0.3301127254962921,0.2101026475429535,0.20930340886116028,0.25742942094802856
100,0.24167586863040924,0.16792899370193481,0.09591888636350632,0.08075851202011108,0.16408909857273102,0.11572404205799103,0.21134740114212036,0.2142891138792038,0.16408909857273102,0.19536930322647095,0.16738586127758026,0.10963409394025803,0.293316513299942,0.19689369201660156,0.19397632777690887
billion,0.25934481620788574,0.19534358382225037,0.26773801445961,0.18705260753631592,0.2162325382232666,0.2799977660179138,0.22037987411022186,0.1803387552499771,0.2162325382232666,0.0633925050497055,0.18994049727916718,0.19861456751823425,0.20906217396259308,0.16735875606536865,0.25791820883750916
dollars,0.23283207416534424,0.10096292197704315,0.29807141423225403,0.08682284504175186,0.2665082812309265,0.42302489280700684,0.23120766878128052,0.18719065189361572,0.2665082812309265,0.09462008625268936,0.3004613518714905,0.22633887827396393,0.20261132717132568,0.16831903159618378,0.21298730373382568
in,0.4840516746044159,0.2304753065109253,0.19500739872455597,0.4274188280105591,0.6662389636039734,0.20235127210617065,0.2443390041589737,0.370934396982193,0.6662389636039734,0.24099457263946533,0.18565869331359863,0.5201468467712402,0.2834637761116028,0.2082953006029129,0.20430970191955566
the,0.6521818041801453,0.30795547366142273,0.24850165843963623,0.40150508284568787,1.0,0.23871955275535583,0.28740596771240234,0.4408751428127289,1.0,0.22950971126556396,0.21295595169067383,0.4933079481124878,0.3432435095310211,0.23942872881889343,0.22068053483963013
ensuing,0.2602415978908539,0.16004794836044312,0.36872202157974243,0.23608654737472534,0.33477187156677246,0.33755719661712646,0.13671576976776123,0.2264416664838791,0.33477187156677246,0.2390180230140686,0.17471012473106384,0.20140664279460907,0.2870301604270935,0.14381936192512512,0.15444070100784302
