,where,were,the,narrow,gauge,rail,lines,built,in,victoria,?
two,0.32765963673591614,0.4493520259857178,0.43858039379119873,0.2869985103607178,0.1883232146501541,0.16242606937885284,0.3015294671058655,0.2191213220357895,0.36463531851768494,0.2019040733575821,0.19645625352859497
tourist,0.1975826770067215,0.1417984664440155,0.29490065574645996,0.17687402665615082,0.16106070578098297,0.2548445761203766,0.1265961080789566,0.2858651876449585,0.28369420766830444,0.18797224760055542,0.08379554748535156
railways,0.15987133979797363,0.2482975572347641,0.2822231948375702,0.26716116070747375,0.5104495286941528,0.733599066734314,0.3607795834541321,0.39252740144729614,0.23811113834381104,0.29659968614578247,0.0874929204583168
operate,0.2742454707622528,0.22733663022518158,0.23581141233444214,0.17351122200489044,0.360557496547699,0.3415222465991974,0.330475389957428,0.2920576333999634,0.24484391510486603,0.1750158965587616,0.16664595901966095
over,0.33514800667762756,0.30589473247528076,0.39856547117233276,0.25302180647850037,0.20210953056812286,0.22988522052764893,0.229514479637146,0.18102437257766724,0.3605569899082184,0.18112502992153168,0.25742942094802856
760,0.10538910329341888,0.000939782417844981,0.039726510643959045,0.1674971729516983,-0.008862899616360664,-0.029108427464962006,0.11309977620840073,-0.14562948048114777,0.010447943583130836,-0.0693364068865776,0.026141434907913208
mm,0.13653138279914856,0.1307191550731659,0.20466946065425873,0.2979716658592224,0.40584900975227356,0.2612350285053253,0.12862876057624817,0.2033414989709854,0.14156535267829895,0.13950246572494507,0.16094553470611572
(,0.1970011591911316,0.14743882417678833,0.33289089798927307,0.12368828058242798,0.18529380857944489,0.1335669606924057,0.1778993010520935,0.16360275447368622,0.3087427020072937,0.14948904514312744,0.40561532974243164
2,-0.060391753911972046,-0.013789876364171505,-0.019434669986367226,-0.023959718644618988,-0.050839364528656006,-0.025103196501731873,-0.04506615549325943,0.04575886204838753,0.01447046548128128,-0.03622984513640404,0.001977203879505396
ft,0.18338339030742645,0.1539309024810791,0.16553674638271332,0.2096286118030548,0.33526700735092163,0.24108368158340454,0.09154970198869705,0.30722641944885254,0.1763954907655716,0.11696885526180267,0.17776548862457275
6,0.09943273663520813,0.023150073364377022,0.041227471083402634,0.08024589717388153,0.10600678622722626,0.05118964985013008,0.08854937553405762,0.0784313902258873,-0.0005521549028344452,0.01721782051026821,0.045001473277807236
in,0.5344807505607605,0.3815755248069763,0.6662389636039734,0.23286917805671692,0.18491436541080475,0.22738659381866455,0.22601547837257385,0.25829681754112244,1.0,0.20823122560977936,0.20430970191955566
),0.20711064338684082,0.1566188633441925,0.3456730246543884,0.1298273205757141,0.18045969307422638,0.14663036167621613,0.20047107338905334,0.159846693277359,0.3326910734176636,0.17964273691177368,0.42300865054130554
