,what,two,areas,in,the,republic,were,first,to,grant,rights,to,the,huguenots,?
[,0.010752761736512184,0.11574382334947586,0.10097058862447739,0.12324675917625427,0.07130392640829086,0.07438834011554718,0.039956651628017426,0.08353309333324432,0.07649242132902145,0.08402654528617859,-0.024108348414301872,0.07649242132902145,0.07130392640829086,0.11062141507863998,0.011015460826456547
citation,0.26448965072631836,0.1424282044172287,0.10885686427354813,0.22942641377449036,0.2536581754684448,0.18614421784877777,0.13011644780635834,0.1509414166212082,0.2558228075504303,0.08961020410060883,0.08447421342134476,0.2558228075504303,0.2536581754684448,0.14196740090847015,0.3382055461406708
needed,0.3631289601325989,0.2578530013561249,0.24839963018894196,0.21117523312568665,0.3064746856689453,0.11139644682407379,0.2625837028026581,0.25014638900756836,0.45002421736717224,0.19984613358974457,0.22448250651359558,0.45002421736717224,0.3064746856689453,0.1760949045419693,0.2863257825374603
],-0.03775298595428467,-0.0119055500254035,-0.06562528014183044,-0.1088862195611,-0.04779602214694023,-0.03269672766327858,-0.03362284600734711,0.09368002414703369,-0.04249158129096031,-0.14092907309532166,-0.00877999048680067,-0.04249158129096031,-0.04779602214694023,-0.03622718155384064,-0.0022520492784678936
in,0.30808621644973755,0.36463531851768494,0.33029478788375854,1.0,0.6662389636039734,0.2782426178455353,0.3815755248069763,0.4127444326877594,0.45010748505592346,0.2044283151626587,0.17772755026817322,0.45010748505592346,0.6662389636039734,0.25916293263435364,0.20430970191955566
1705,0.23593267798423767,0.15070629119873047,0.27006104588508606,0.23054282367229462,0.27260106801986694,0.319156289100647,0.2589043378829956,0.15898621082305908,0.16001448035240173,0.07926372438669205,0.22599728405475616,0.16001448035240173,0.27260106801986694,0.3885604441165924,0.2459622323513031
",",0.3087472915649414,0.35859420895576477,0.2789289653301239,0.5201468467712402,0.4933079481124878,0.24418231844902039,0.36755475401878357,0.34503069519996643,0.44245919585227966,0.3364619016647339,0.2595706284046173,0.44245919585227966,0.4933079481124878,0.23394492268562317,0.31091248989105225
amsterdam,0.09970812499523163,0.09754867851734161,0.051729753613471985,0.20347608625888824,0.18500292301177979,0.230226069688797,0.1932125836610794,0.17973113059997559,0.20890367031097412,0.09249372780323029,0.19808898866176605,0.20890367031097412,0.18500292301177979,0.3400341868400574,0.1401052325963974
and,0.31309178471565247,0.4671151638031006,0.40107932686805725,0.4954058527946472,0.5171257257461548,0.25642362236976624,0.42175528407096863,0.3167642652988434,0.48971283435821533,0.22466684877872467,0.26346641778945923,0.48971283435821533,0.5171257257461548,0.28783127665519714,0.20544172823429108
the,0.42745697498321533,0.43858039379119873,0.3311663568019867,0.6662389636039734,1.0,0.2862427830696106,0.3906462490558624,0.49448907375335693,0.535392165184021,0.2460666298866272,0.2579100430011749,0.535392165184021,1.0,0.30745792388916016,0.22068053483963013
