,who,was,influential,in,promoting,the,use,of,chemical,compounds,as,medicines,?
the,0.3733934462070465,0.48711544275283813,0.2541041374206543,0.6662389636039734,0.26784375309944153,1.0,0.34342584013938904,0.733189046382904,0.18641819059848785,0.18294313549995422,0.48381632566452026,0.19131667912006378,0.22068053483963013
advances,0.24354475736618042,0.18223260343074799,0.3041398525238037,0.22989708185195923,0.30078673362731934,0.29882919788360596,0.3206525146961212,0.27895745635032654,0.24931658804416656,0.26226457953453064,0.2568354606628418,0.31928884983062744,0.12414493411779404
made,0.2576322853565216,0.3433256447315216,0.21208110451698303,0.25271502137184143,0.25097209215164185,0.3885267674922943,0.2412480264902115,0.33167365193367004,0.215946763753891,0.27201929688453674,0.40740177035331726,0.19840309023857117,0.17218779027462006
in,0.2792111933231354,0.45514053106307983,0.2626776695251465,1.0,0.25872668623924255,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.23203688859939575,0.21471646428108215,0.3887844979763031,0.19450289011001587,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.2541041374206543,0.6662389636039734,0.26784375309944153,1.0,0.34342584013938904,0.733189046382904,0.18641819059848785,0.18294313549995422,0.48381632566452026,0.19131667912006378,0.22068053483963013
middle,0.16097767651081085,0.21038298308849335,0.22811168432235718,0.26767921447753906,0.10601040720939636,0.3405749201774597,0.18983641266822815,0.2799445688724518,0.05224083364009857,0.11438021808862686,0.2141454964876175,0.1251838207244873,0.13139553368091583
east,0.20229652523994446,0.2747166156768799,0.14899779856204987,0.32659441232681274,0.1538679301738739,0.3383176326751709,0.14239570498466492,0.314786434173584,0.10770724713802338,0.16133761405944824,0.19617025554180145,0.12156394869089127,0.10070597380399704
in,0.2792111933231354,0.45514053106307983,0.2626776695251465,1.0,0.25872668623924255,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.23203688859939575,0.21471646428108215,0.3887844979763031,0.19450289011001587,0.20430970191955566
botany,0.11917155981063843,0.1927647441625595,0.13638713955879211,0.2559669315814972,0.11963128298521042,0.23956763744354248,0.1535792052745819,0.23161625862121582,0.2724883556365967,0.26763349771499634,0.1536991447210312,0.2045896053314209,0.04187402129173279
and,0.41279885172843933,0.3740963041782379,0.28101271390914917,0.4954058527946472,0.287881463766098,0.5171257257461548,0.34145063161849976,0.5116966962814331,0.1947544515132904,0.25433242321014404,0.49487000703811646,0.21563303470611572,0.20544172823429108
chemistry,0.14583081007003784,0.15839804708957672,0.187430739402771,0.22757266461849213,0.1744120717048645,0.16179440915584564,0.15986616909503937,0.2278279960155487,0.577835738658905,0.46019822359085083,0.1881379634141922,0.367685467004776,0.1710113137960434
led,0.2450801581144333,0.34443995356559753,0.29945507645606995,0.2990247309207916,0.19863426685333252,0.3267505168914795,0.09976138174533844,0.32918456196784973,0.19445055723190308,0.17718467116355896,0.20535489916801453,0.16935601830482483,0.09273858368396759
medicine,0.19163823127746582,0.15788467228412628,0.1375514715909958,0.2281779944896698,0.18693281710147858,0.19564834237098694,0.19620747864246368,0.20997224748134613,0.27049943804740906,0.2388835847377777,0.16645358502864838,0.813427746295929,0.14826606214046478
in,0.2792111933231354,0.45514053106307983,0.2626776695251465,1.0,0.25872668623924255,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.23203688859939575,0.21471646428108215,0.3887844979763031,0.19450289011001587,0.20430970191955566
medieval,0.1664111316204071,0.20488819479942322,0.29331398010253906,0.2546980679035187,0.07301707565784454,0.28617456555366516,0.2299709916114807,0.31686919927597046,0.09662178158760071,0.1399494707584381,0.19556987285614014,0.13803458213806152,0.15571735799312592
islam,0.25068652629852295,0.15794138610363007,0.3324437737464905,0.16687287390232086,0.23040945827960968,0.2207694798707962,0.14344115555286407,0.21728332340717316,0.20597626268863678,0.2212924063205719,0.2478460818529129,0.20694708824157715,0.18358638882637024
substantially,0.21043778955936432,0.2702052593231201,0.23556207120418549,0.22848276793956757,0.2875366508960724,0.3244253695011139,0.280215322971344,0.26305127143859863,0.2251228392124176,0.2999156415462494,0.3081579804420471,0.21815462410449982,0.2573455274105072
to,0.42656609416007996,0.3636345863342285,0.13114871084690094,0.45010748505592346,0.25994694232940674,0.535392165184021,0.47261837124824524,0.41548454761505127,0.19030416011810303,0.29820382595062256,0.42092081904411316,0.27021315693855286,0.29463258385658264
develop,0.1715451180934906,0.1536230444908142,0.261287122964859,0.22882415354251862,0.2782490849494934,0.26276466250419617,0.39041459560394287,0.2259741723537445,0.16365624964237213,0.24830307066440582,0.17358502745628357,0.3040515184402466,0.15784582495689392
pharmacology,0.1815689355134964,0.21371841430664062,0.23542501032352448,0.2489364743232727,0.18404223024845123,0.21185006201267242,0.21999986469745636,0.26790833473205566,0.42532920837402344,0.37398648262023926,0.2036951184272766,0.5435524582862854,0.16818587481975555
.,0.3541337847709656,0.40146201848983765,0.25983670353889465,0.5591574311256409,0.278288334608078,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.23593789339065552,0.23886778950691223,0.515582263469696,0.23882845044136047,0.4130953550338745
