,what,geochemist,developed,the,uranium-lead,dating,method,into,lead-lead,dating,?
in,0.30808621644973755,0.2227422147989273,0.2498214840888977,0.6662389636039734,0.27058324217796326,0.2300887107849121,0.13883966207504272,0.38021373748779297,0.25666573643684387,0.2300887107849121,0.20430970191955566
science,0.2612018585205078,0.36859020590782166,0.2018393874168396,0.24037593603134155,0.20800606906414032,0.12104876339435577,0.241319477558136,0.13051903247833252,0.10920204967260361,0.12104876339435577,0.17974960803985596
",",0.3087472915649414,0.21565665304660797,0.24565434455871582,0.4933079481124878,0.30483707785606384,0.2450258880853653,0.22978182137012482,0.2826121151447296,0.3328557014465332,0.2450258880853653,0.31091248989105225
alumni,0.11965817958116531,0.19584347307682037,0.07942057400941849,0.22524002194404602,0.20659925043582916,0.08901149034500122,0.1122976690530777,0.09089634567499161,0.2078307569026947,0.08901149034500122,0.130934476852417
include,0.1535889357328415,0.1382760852575302,0.22851799428462982,0.2951717972755432,0.15922385454177856,0.16654738783836365,0.17943203449249268,0.210683211684227,0.26033398509025574,0.16654738783836365,0.14925788342952728
astronomers,0.22433514893054962,0.47108787298202515,0.22812528908252716,0.25630447268486023,0.2654617726802826,0.2371881753206253,0.22188806533813477,0.13783645629882812,0.10905247181653976,0.2371881753206253,0.10623567551374435
carl,0.10712110996246338,0.2691619098186493,0.1728079468011856,0.18868394196033478,0.15932202339172363,0.20034445822238922,0.15557967126369476,0.14471450448036194,0.21084429323673248,0.20034445822238922,0.1315603405237198
sagan,0.21243153512477875,0.33001261949539185,0.13152849674224854,0.21355800330638885,0.2630777359008789,0.09585385769605637,0.1614188700914383,0.15557493269443512,0.16898788511753082,0.09585385769605637,0.20031094551086426
",",0.3087472915649414,0.21565665304660797,0.24565434455871582,0.4933079481124878,0.30483707785606384,0.2450258880853653,0.22978182137012482,0.2826121151447296,0.3328557014465332,0.2450258880853653,0.31091248989105225
a,0.3320399522781372,0.16502788662910461,0.286296546459198,0.5829201340675354,0.24319417774677277,0.18985961377620697,0.2613512873649597,0.3461161255836487,0.2534326910972595,0.18985961377620697,0.23916715383529663
prominent,0.11211586743593216,0.22377687692642212,0.23002474009990692,0.30881059169769287,0.26780039072036743,0.13948310911655426,0.07566601783037186,0.1301601529121399,0.2691357135772705,0.13948310911655426,0.12940338253974915
contributor,0.2946086823940277,0.22164306044578552,0.14029698073863983,0.23006539046764374,0.2839384078979492,0.1544075906276703,0.16767068207263947,0.12896457314491272,0.20478685200214386,0.1544075906276703,0.32557573914527893
to,0.455847829580307,0.12644293904304504,0.19491806626319885,0.535392165184021,0.22951872646808624,0.17611581087112427,0.2593044936656952,0.38810545206069946,0.3052666485309601,0.17611581087112427,0.29463258385658264
the,0.42745697498321533,0.16294768452644348,0.24490751326084137,1.0,0.2708885967731476,0.23401090502738953,0.21624743938446045,0.39493247866630554,0.28161484003067017,0.23401090502738953,0.22068053483963013
scientific,0.18922170996665955,0.3390413820743561,0.2515098750591278,0.24748262763023376,0.29064634442329407,0.1536308079957962,0.4009018838405609,0.08261728286743164,0.19093063473701477,0.1536308079957962,0.16215236485004425
research,0.237140491604805,0.36984366178512573,0.29304683208465576,0.24391183257102966,0.3058163523674011,0.2000506967306137,0.2989327013492584,0.12866802513599396,0.19953188300132751,0.2000506967306137,0.13481977581977844
of,0.33290785551071167,0.18331287801265717,0.21960023045539856,0.733189046382904,0.28192052245140076,0.2134421318769455,0.22896558046340942,0.32255905866622925,0.27369675040245056,0.2134421318769455,0.1826142966747284
extraterrestrial,0.1778257042169571,0.29705294966697693,0.2709847390651703,0.26097381114959717,0.357860803604126,0.23087280988693237,0.25914937257766724,0.1894167959690094,0.22235915064811707,0.23087280988693237,0.12126397341489792
life,0.24693015217781067,0.1540655642747879,0.19939875602722168,0.23528170585632324,0.25825241208076477,0.2545773983001709,0.1624981015920639,0.18491095304489136,0.1682528257369995,0.2545773983001709,0.21677987277507782
",",0.3087472915649414,0.21565665304660797,0.24565434455871582,0.4933079481124878,0.30483707785606384,0.2450258880853653,0.22978182137012482,0.2826121151447296,0.3328557014465332,0.2450258880853653,0.31091248989105225
and,0.31309178471565247,0.11313013732433319,0.25542938709259033,0.5171257257461548,0.2664840519428253,0.23646213114261627,0.16907750070095062,0.36597734689712524,0.35072609782218933,0.23646213114261627,0.20544172823429108
edwin,0.21913482248783112,0.2620246708393097,0.03669673204421997,0.19826023280620575,0.26442599296569824,0.16364042460918427,0.06126803904771805,0.17066022753715515,0.30065831542015076,0.16364042460918427,0.1910800039768219
hubble,0.18900521099567413,0.3606860041618347,0.20496033132076263,0.22213377058506012,0.3111836612224579,0.19904673099517822,0.23810184001922607,0.1572161763906479,0.17152920365333557,0.19904673099517822,0.1859315186738968
",",0.3087472915649414,0.21565665304660797,0.24565434455871582,0.4933079481124878,0.30483707785606384,0.2450258880853653,0.22978182137012482,0.2826121151447296,0.3328557014465332,0.2450258880853653,0.31091248989105225
