,who,is,the,parent,company,of,nds,?
bskyb,0.14450614154338837,0.20114660263061523,0.20915858447551727,0.1937890350818634,0.18916723132133484,0.16413870453834534,0.29789847135543823,0.2979319989681244
utilises,0.20296379923820496,0.2070600986480713,0.24611273407936096,0.2375435084104538,0.287807434797287,0.2486579269170761,0.2925301492214203,0.1549450159072876
the,0.3733934462070465,0.5823672413825989,1.0,0.2354632169008255,0.26591673493385315,0.733189046382904,0.19653935730457306,0.22068053483963013
videoguard,0.32240307331085205,0.2002292424440384,0.3440686762332916,0.2181200087070465,0.3120884895324707,0.26720303297042847,0.2613115608692169,0.2620079815387726
pay-tv,0.3311484754085541,0.19609713554382324,0.20465052127838135,0.16778020560741425,0.3405283987522125,0.18726712465286255,0.2538757920265198,0.2297043353319168
scrambling,0.21938949823379517,0.2208462655544281,0.2673972249031067,0.1749992072582245,0.19755542278289795,0.23232445120811462,0.2225213646888733,0.2794993221759796
system,0.1550477296113968,0.2282046526670456,0.3233085572719574,0.22850196063518524,0.18630766868591309,0.25597915053367615,0.2757045328617096,0.15556083619594574
owned,0.3097143769264221,0.20921923220157623,0.1999378502368927,0.307072252035141,0.48909151554107666,0.17190153896808624,0.18686163425445557,0.1288648396730423
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.21293987333774567,0.22328482568264008,0.3646814823150635,0.16122671961784363,0.17966607213020325
nds,0.14981652796268463,0.21467262506484985,0.19653935730457306,0.19958405196666718,0.22423236072063446,0.1860286444425583,1.0,0.2983955442905426
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.23819732666015625,0.2697763442993164,0.4946078956127167,0.2781127989292145,0.31091248989105225
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.2594400942325592,0.22037413716316223,0.5052502155303955,0.19228525459766388,0.23916715383529663
cisco,0.09043924510478973,0.09555492550134659,0.16028843820095062,0.027482453733682632,0.18748608231544495,0.11817360669374466,0.16913898289203644,0.09596282988786697
systems,0.11571111530065536,0.23126937448978424,0.28089964389801025,0.1830199658870697,0.2402237206697464,0.277031809091568,0.3529435098171234,0.1575973927974701
company,0.2383776307106018,0.18005689978599548,0.26591673493385315,0.2895146310329437,1.0,0.20467796921730042,0.22423236072063446,0.12195809185504913
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.2628137767314911,0.266353577375412,0.5352458953857422,0.2797963619232178,0.4130953550338745
