,when,was,virgin,media,rebranded,from,ntl,telewest,?
virgin,0.1450301557779312,0.21603500843048096,1.0000001192092896,0.2961137890815735,0.34088218212127686,0.07930377870798111,0.2922471761703491,0.22467486560344696,0.11987020075321198
media,0.13395696878433228,0.17841780185699463,0.2961137890815735,0.9999999403953552,0.2875141203403473,0.14971545338630676,0.2897900640964508,0.23431502282619476,0.1571006178855896
(,0.2459595799446106,0.2980341613292694,0.1730913519859314,0.1559925377368927,0.20787030458450317,0.25806233286857605,0.323890745639801,0.23579825460910797,0.40561532974243164
re-branded,0.19849564135074615,0.34796443581581116,0.3506413698196411,0.23846013844013214,0.8890158534049988,0.14156265556812286,0.2760305106639862,0.30749231576919556,0.16268296539783478
in,0.4431333839893341,0.45514053106307983,0.1495865285396576,0.19773486256599426,0.27716606855392456,0.4274188280105591,0.1986319124698639,0.3695605993270874,0.20430970191955566
2007,-0.1582726538181305,-0.29168957471847534,-0.17015020549297333,-0.093873031437397,-0.18674428761005402,-0.13366085290908813,-0.06728456914424896,-0.18243028223514557,-0.1664225310087204
from,0.405669629573822,0.31171464920043945,0.07930377870798111,0.14971545338630676,0.14074774086475372,1.0,0.1909010112285614,0.20773838460445404,0.19969791173934937
ntl,0.19841384887695312,0.2440955638885498,0.2922471761703491,0.2897900640964508,0.34884822368621826,0.1909010112285614,1.0,0.3010845184326172,0.31824302673339844
:,-0.04432349652051926,0.002802103292196989,-0.037506211549043655,-0.07696603238582611,0.02842063456773758,-0.056502215564250946,-0.031337670981884,-0.019857259467244148,-0.07156077772378922
telewest,0.31993094086647034,0.29821494221687317,0.22467486560344696,0.23431502282619476,0.342977374792099,0.20773838460445404,0.3010845184326172,1.0,0.24607007205486298
),0.2538422644138336,0.3267642855644226,0.19151578843593597,0.1801380068063736,0.2059497833251953,0.2672361731529236,0.33100542426109314,0.2469184845685959,0.42300865054130554
started,0.3198525607585907,0.44883424043655396,0.15664902329444885,0.12592148780822754,0.329365074634552,0.24582429230213165,0.18665948510169983,0.29173168540000916,0.19447724521160126
to,0.5423505902290344,0.3636345863342285,0.17379043996334076,0.21723589301109314,0.23141682147979736,0.4069952368736267,0.17221695184707642,0.34898877143859863,0.29463258385658264
offer,0.18709729611873627,0.1559375524520874,0.20510007441043854,0.21645712852478027,0.2923872768878937,0.16435587406158447,0.20822815597057343,0.2561321556568146,0.1774262934923172
a,0.44397395849227905,0.4508470594882965,0.16995084285736084,0.21000106632709503,0.22066490352153778,0.322764128446579,0.20805083215236664,0.3031969666481018,0.23916715383529663
high-definition,0.24699318408966064,0.23183470964431763,0.15036837756633759,0.21209220588207245,0.22905714809894562,0.2580447793006897,0.2727760672569275,0.2372242510318756,0.31584662199020386
television,0.19077982008457184,0.2516675293445587,0.21460454165935516,0.3357820212841034,0.3408691883087158,0.19486135244369507,0.23808592557907104,0.42135900259017944,0.16825827956199646
(,0.2459595799446106,0.2980341613292694,0.1730913519859314,0.1559925377368927,0.20787030458450317,0.25806233286857605,0.323890745639801,0.23579825460910797,0.40561532974243164
hdtv,0.12964239716529846,0.14728295803070068,0.20036965608596802,0.36345019936561584,0.3512723743915558,0.1092657819390297,0.46192556619644165,0.3779313266277313,0.31056898832321167
