,what,series,has,an,actor,doing,an,impression,of,the,fourth,doctor,?
jon,0.1635923981666565,0.21198521554470062,0.15756019949913025,0.13489603996276855,0.3415431082248688,0.18871691823005676,0.13489603996276855,0.11398463696241379,0.08789495378732681,0.153504878282547,0.1320309340953827,0.20655249059200287,0.1621117740869522
culshaw,0.16788703203201294,0.29676562547683716,0.1320415586233139,0.21063154935836792,0.4702030420303345,0.16655592620372772,0.21063154935836792,0.10411496460437775,0.17843040823936462,0.24500061571598053,0.17737683653831482,0.2896413803100586,0.14623433351516724
frequently,0.2888586223125458,0.18928389251232147,0.303862988948822,0.1308857947587967,0.12261170148849487,0.2121066302061081,0.1308857947587967,0.23064260184764862,0.22709041833877563,0.2643548250198364,0.14917853474617004,0.17252510786056519,0.21401989459991455
impersonates,0.2852291464805603,0.23198792338371277,0.22979283332824707,0.2728385031223297,0.2824263274669647,0.35723811388015747,0.2728385031223297,0.34576764702796936,0.21119070053100586,0.2037610411643982,0.16108140349388123,0.20031152665615082,0.2780338227748871
the,0.42745697498321533,0.31376904249191284,0.4177538752555847,0.4207492768764496,0.1662968546152115,0.29305580258369446,0.4207492768764496,0.266139417886734,0.733189046382904,1.0,0.40804702043533325,0.2820442318916321,0.22068053483963013
fourth,0.137417271733284,0.2721402645111084,0.1897532194852829,0.2161245197057724,0.10319794714450836,0.11428282409906387,0.2161245197057724,0.08701977878808975,0.30335766077041626,0.40804702043533325,1.0,0.21519136428833008,0.13791213929653168
doctor,0.20870667695999146,0.2712797522544861,0.1778179407119751,0.1790127456188202,0.24602581560611725,0.21379868686199188,0.1790127456188202,0.04610325023531914,0.16895952820777893,0.2820442318916321,0.21519136428833008,0.9999999403953552,0.1462511420249939
in,0.30808621644973755,0.2914260923862457,0.4173259735107422,0.2605783939361572,0.1778985857963562,0.27240219712257385,0.2605783939361572,0.157944455742836,0.5696388483047485,0.6662389636039734,0.29149749875068665,0.25567495822906494,0.20430970191955566
the,0.42745697498321533,0.31376904249191284,0.4177538752555847,0.4207492768764496,0.1662968546152115,0.29305580258369446,0.4207492768764496,0.266139417886734,0.733189046382904,1.0,0.40804702043533325,0.2820442318916321,0.22068053483963013
bbc,0.20634698867797852,0.31758952140808105,0.1988421231508255,0.16644445061683655,0.19905374944210052,0.15585266053676605,0.16644445061683655,0.1450311243534088,0.1797877550125122,0.2735401690006256,0.198461651802063,0.32370132207870483,0.20556949079036713
dead,0.22529608011245728,0.1413567066192627,0.09790486842393875,0.1716165393590927,0.21586695313453674,0.20423325896263123,0.1716165393590927,0.1464666724205017,0.21156227588653564,0.23191702365875244,0.13941702246665955,0.1677648425102234,0.1856520175933838
ringers,0.17247682809829712,0.21285779774188995,0.14195828139781952,0.0979892909526825,0.25819918513298035,0.18344801664352417,0.0979892909526825,0.2323838323354721,0.18758834898471832,0.2390865683555603,0.18241357803344727,0.12666384875774384,0.12393701821565628
series,0.17328087985515594,1.0000001192092896,0.16834278404712677,0.16255386173725128,0.26841604709625244,0.1475723534822464,0.16255386173725128,0.1234574094414711,0.22268271446228027,0.31376904249191284,0.2721402645111084,0.2712797522544861,0.1709602326154709
.,0.3567904531955719,0.3121925890445709,0.4105546176433563,0.3581749200820923,0.19830204546451569,0.3253456652164459,0.3581749200820923,0.2725561261177063,0.5352458953857422,0.5934505462646484,0.27895694971084595,0.22361043095588684,0.4130953550338745
