,what,nationality,is,the,band,coldplay,?
on,0.34226128458976746,0.11810911446809769,0.3635730445384979,0.5107308030128479,0.24809342622756958,0.328664094209671,0.2714994251728058
december,0.19304980337619781,0.1663721799850464,0.23552489280700684,0.23266014456748962,0.1953246146440506,0.2084771692752838,0.2480352818965912
3,0.04473085701465607,0.08676928281784058,0.1504552811384201,0.06283142417669296,0.024387408047914505,0.06806442886590958,0.005975271109491587
",",0.3087472915649414,0.25539466738700867,0.4691906273365021,0.4933079481124878,0.281078964471817,0.27876466512680054,0.31091248989105225
the,0.42745697498321533,0.21899528801441193,0.5823672413825989,1.0,0.25564542412757874,0.2809646725654602,0.22068053483963013
league,0.16616638004779816,0.25073304772377014,0.1591515690088272,0.2724147439002991,0.23056799173355103,0.2141457498073578,0.15941482782363892
confirmed,0.1880883276462555,0.14396995306015015,0.16952036321163177,0.2951974868774414,0.09861183166503906,0.20357553660869598,0.20580808818340302
that,0.6297725439071655,0.20177128911018372,0.3995479643344879,0.5473989248275757,0.201473206281662,0.25482890009880066,0.32716336846351624
the,0.42745697498321533,0.21899528801441193,0.5823672413825989,1.0,0.25564542412757874,0.2809646725654602,0.22068053483963013
show,0.29653704166412354,0.22226887941360474,0.2144283652305603,0.319829523563385,0.2812274098396301,0.28030601143836975,0.2520138621330261
would,0.45766422152519226,0.1690106987953186,0.33626067638397217,0.4133751392364502,0.20579273998737335,0.25914010405540466,0.37178951501846313
be,0.3929833769798279,0.20992618799209595,0.4819129705429077,0.4248143136501312,0.21247778832912445,0.24400204420089722,0.3324260413646698
headlined,0.20502004027366638,0.07079938054084778,0.1266714334487915,0.2894550859928131,0.2850625813007355,0.3842167556285858,0.26601076126098633
by,0.2455483376979828,0.2942885756492615,0.3899846076965332,0.4408751428127289,0.20359814167022705,0.24783064424991608,0.17966607213020325
the,0.42745697498321533,0.21899528801441193,0.5823672413825989,1.0,0.25564542412757874,0.2809646725654602,0.22068053483963013
british,0.19255435466766357,0.3241701126098633,0.19484983384609222,0.28973397612571716,0.19703637063503265,0.26313239336013794,0.09711728990077972
rock,0.1923677921295166,0.214188814163208,0.1981455236673355,0.23786304891109467,0.5598668456077576,0.427010715007782,0.13172835111618042
group,0.2114069163799286,0.2442467361688614,0.22153858840465546,0.30795547366142273,0.323089063167572,0.21840617060661316,0.13827809691429138
coldplay,0.23672455549240112,0.21380077302455902,0.19786889851093292,0.2809646725654602,0.5680100321769714,0.9999998807907104,0.2499987930059433
.,0.3567904531955719,0.23392154276371002,0.4569662809371948,0.5934505462646484,0.26936691999435425,0.2623732089996338,0.4130953550338745
