,who,was,drawn,to,jacksonville,in,the,1910s,?
in,0.2792111933231354,0.45514053106307983,0.14419732987880707,0.45010748505592346,0.22147351503372192,1.0,0.6662389636039734,0.31255483627319336,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.2380581647157669,0.535392165184021,0.2176690250635147,0.6662389636039734,1.0,0.347810298204422,0.22068053483963013
1910s,0.13070501387119293,0.2173420637845993,0.17910538613796234,0.23979806900024414,0.18433119356632233,0.31255483627319336,0.347810298204422,1.0,0.11766436696052551
",",0.3365725874900818,0.45456063747406006,0.2046290934085846,0.44245919585227966,0.2837527096271515,0.5201468467712402,0.4933079481124878,0.1889779418706894,0.31091248989105225
new,0.2378052920103073,0.2748313844203949,0.07107354700565338,0.33159172534942627,0.2965656518936157,0.3758552670478821,0.3845241069793701,0.3324556052684784,0.14782847464084625
york–based,0.2831178307533264,0.4119797945022583,0.29173409938812256,0.31200793385505676,0.31387588381767273,0.4115348160266876,0.4279525578022003,0.3107355535030365,0.2651059329509735
filmmakers,0.27089744806289673,0.2908153235912323,0.1696666032075882,0.22401081025600433,0.17716893553733826,0.2003047615289688,0.220591738820076,0.1967744529247284,0.1430472582578659
were,0.3188014328479767,0.590133786201477,0.23212997615337372,0.31913647055625916,0.20713816583156586,0.3815755248069763,0.3906462490558624,0.24020716547966003,0.17890112102031708
attracted,0.29854264855384827,0.18864712119102478,0.14626307785511017,0.2574179172515869,0.17466481029987335,0.2388908863067627,0.2029382735490799,0.059765011072158813,0.06735223531723022
to,0.42656609416007996,0.3636345863342285,0.1552073210477829,1.0,0.1994343250989914,0.45010748505592346,0.535392165184021,0.23979806900024414,0.29463258385658264
jacksonville,0.18528231978416443,0.2742757201194763,0.09377191215753555,0.1994343250989914,1.0000001192092896,0.22147351503372192,0.2176690250635147,0.18433119356632233,0.1359667330980301
's,0.05599616840481758,0.008974763564765453,0.039261594414711,0.03782717138528824,0.02280956320464611,-0.037580832839012146,-0.01540423184633255,-0.007890022359788418,-0.023395681753754616
warm,0.17499114573001862,0.128121018409729,0.15496808290481567,0.2900671064853668,0.14784817397594452,0.24172447621822357,0.2764509320259094,0.11708834022283554,0.15442228317260742
climate,0.09277761727571487,0.14714933931827545,0.07973223924636841,0.3023298978805542,0.10859598219394684,0.24209141731262207,0.2693597674369812,0.18282325565814972,0.19998492300510406
",",0.3365725874900818,0.45456063747406006,0.2046290934085846,0.44245919585227966,0.2837527096271515,0.5201468467712402,0.4933079481124878,0.1889779418706894,0.31091248989105225
exotic,0.25667503476142883,0.1966635137796402,0.1669563502073288,0.23573076725006104,0.08778883516788483,0.2619006931781769,0.19988848268985748,0.09553437680006027,0.10570502281188965
locations,0.14775000512599945,0.14172181487083435,0.147292360663414,0.29775765538215637,0.2004403918981552,0.36845505237579346,0.3575807511806488,0.28510650992393494,0.14570996165275574
",",0.3365725874900818,0.45456063747406006,0.2046290934085846,0.44245919585227966,0.2837527096271515,0.5201468467712402,0.4933079481124878,0.1889779418706894,0.31091248989105225
excellent,0.2105664163827896,0.18563032150268555,0.12348251044750214,0.21753917634487152,0.1266951709985733,0.16346341371536255,0.20157980918884277,0.0899117961525917,0.1368298977613449
rail,0.1040501818060875,0.15518274903297424,0.2409852296113968,0.21482926607131958,0.18600010871887207,0.22738659381866455,0.2306264042854309,0.23657476902008057,0.1349031925201416
access,0.19773592054843903,0.12638358771800995,0.11959606409072876,0.3465658128261566,0.16401685774326324,0.1658785492181778,0.22827552258968353,0.22079746425151825,0.2482174038887024
",",0.3365725874900818,0.45456063747406006,0.2046290934085846,0.44245919585227966,0.2837527096271515,0.5201468467712402,0.4933079481124878,0.1889779418706894,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.2559950053691864,0.48971283435821533,0.2603762745857239,0.4954058527946472,0.5171257257461548,0.22957195341587067,0.20544172823429108
cheap,0.15260903537273407,0.23927681148052216,0.16477157175540924,0.2529369294643402,0.17451560497283936,0.2294972687959671,0.16265171766281128,0.21277308464050293,0.16799981892108917
labor,0.2242324948310852,0.2392341047525406,0.09259804338216782,0.21037620306015015,0.16810302436351776,0.1950610727071762,0.21506793797016144,0.18305325508117676,0.19386747479438782
.,0.3541337847709656,0.40146201848983765,0.24384649097919464,0.4645031690597534,0.2843366861343384,0.5591574311256409,0.5934505462646484,0.2044474333524704,0.4130953550338745
