,what,are,two,examples,of,different,types,of,reduction,?
there,0.35085538029670715,0.5433560013771057,0.40416133403778076,0.35359707474708557,0.44397735595703125,0.4522744119167328,0.37238845229148865,0.44397735595703125,0.24267546832561493,0.29405656456947327
are,0.29724663496017456,1.0,0.46276170015335083,0.5214043259620667,0.39081433415412903,0.5170795917510986,0.4691450595855713,0.39081433415412903,0.21609076857566833,0.24591213464736938
many,0.36131182312965393,0.5655534863471985,0.5147606730461121,0.44614723324775696,0.37253960967063904,0.6061229109764099,0.4814179539680481,0.37253960967063904,0.21911512315273285,0.2124512493610382
different,0.39262300729751587,0.5170795917510986,0.48983854055404663,0.39729616045951843,0.3747533857822418,1.0,0.6088380217552185,0.3747533857822418,0.27185872197151184,0.24476227164268494
types,0.25706279277801514,0.4691450595855713,0.33505547046661377,0.5202249884605408,0.2447618544101715,0.6088380217552185,1.0,0.2447618544101715,0.26409393548965454,0.1285012811422348
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.3054686188697815,1.0,0.3747533857822418,0.2447618544101715,1.0,0.2803387939929962,0.1826142966747284
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2687304615974426,0.4946078956127167,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.20516319572925568,0.31091248989105225
based,0.274813175201416,0.3002447783946991,0.21177002787590027,0.29718562960624695,0.3033197224140167,0.3491726219654083,0.26013490557670593,0.3033197224140167,0.20116065442562103,0.134929820895195
on,0.34226128458976746,0.268924742937088,0.3205535411834717,0.20380041003227234,0.3966929316520691,0.3056946098804474,0.2141326367855072,0.3966929316520691,0.16262708604335785,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.30092597007751465,0.733189046382904,0.36412742733955383,0.23509301245212555,0.733189046382904,0.27052462100982666,0.22068053483963013
method,0.25476205348968506,0.18370844423770905,0.15936602652072906,0.22495797276496887,0.22896558046340942,0.23092715442180634,0.27244776487350464,0.22896558046340942,0.3172685205936432,0.2194802314043045
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.3054686188697815,1.0,0.3747533857822418,0.2447618544101715,1.0,0.2803387939929962,0.1826142966747284
reduction,0.19884426891803741,0.21609076857566833,0.1991182118654251,0.28003573417663574,0.2803387939929962,0.27185872197151184,0.26409393548965454,0.2803387939929962,0.9999998807907104,0.1612403839826584
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2687304615974426,0.4946078956127167,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.20516319572925568,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.29377371072769165,0.5161488652229309,0.3209529519081116,0.37860816717147827,0.4367804527282715,0.3209529519081116,0.2679453492164612,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.3029302954673767,0.325487345457077,0.3886612355709076,0.2646806538105011,0.2006441354751587,0.3886612355709076,0.19768616557121277,0.27043893933296204
cook,0.19562624394893646,0.1520386040210724,0.19264473021030426,0.10349442809820175,0.21467307209968567,0.2003561556339264,0.07426506280899048,0.21467307209968567,0.11556607484817505,0.12316843122243881
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2687304615974426,0.4946078956127167,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.20516319572925568,0.31091248989105225
karp,0.17241311073303223,0.13098903000354767,0.14122739434242249,0.11627741158008575,0.20941458642482758,0.13129822909832,0.11807192116975784,0.20941458642482758,0.13916471600532532,0.1731996238231659
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
and,0.31309178471565247,0.48576638102531433,0.4671151638031006,0.35639533400535583,0.5116966962814331,0.39536112546920776,0.3014242649078369,0.5116966962814331,0.23248422145843506,0.20544172823429108
levin,0.21233150362968445,0.11800521612167358,0.15942299365997314,0.03789130598306656,0.16960643231868744,0.10190209001302719,0.02650706097483635,0.16960643231868744,0.16116805374622345,0.16912634670734406
reductions,0.23610827326774597,0.30824655294418335,0.25375884771347046,0.36737820506095886,0.29430124163627625,0.357312947511673,0.3649385869503021,0.29430124163627625,0.9273279905319214,0.18793964385986328
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2687304615974426,0.4946078956127167,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.20516319572925568,0.31091248989105225
