,does,bskyb,carry,any,control,over,a,channels,content,?
however,0.4463717043399811,0.17380599677562714,0.29621994495391846,0.5002580285072327,0.294120192527771,0.45125138759613037,0.38150349259376526,0.20564913749694824,0.31496381759643555,0.2152075469493866
",",0.28617382049560547,0.2852807641029358,0.1951419711112976,0.3237466514110565,0.20811550319194794,0.3301127254962921,0.427140474319458,0.2199012041091919,0.2644120454788208,0.31091248989105225
even,0.4671286940574646,0.13559511303901672,0.2852514684200287,0.5437874794006348,0.23721618950366974,0.32891958951950073,0.3278432786464691,0.17482897639274597,0.3518209159374237,0.30082517862319946
in,0.214483380317688,0.22606848180294037,0.19860897958278656,0.3135753571987152,0.24831421673297882,0.3605569899082184,0.539380669593811,0.19040870666503906,0.1518891453742981,0.20430970191955566
this,0.4166489243507385,0.22351965308189392,0.25506195425987244,0.5327546000480652,0.30516546964645386,0.3688461482524872,0.5422310829162598,0.22211992740631104,0.3799898326396942,0.3155723512172699
case,0.2875708043575287,0.22479698061943054,0.2361340969800949,0.4125841557979584,0.1346568614244461,0.21582046151161194,0.3104211390018463,0.1983121633529663,0.2892038822174072,0.33232852816581726
",",0.28617382049560547,0.2852807641029358,0.1951419711112976,0.3237466514110565,0.20811550319194794,0.3301127254962921,0.427140474319458,0.2199012041091919,0.2644120454788208,0.31091248989105225
bskyb,0.12919114530086517,1.0000001192092896,0.07972963154315948,0.13880807161331177,0.17727622389793396,0.1823693960905075,0.21951700747013092,0.1449941098690033,0.1856074333190918,0.2979319989681244
does,1.0,0.12919114530086517,0.17188382148742676,0.5203019976615906,0.22912582755088806,0.24276040494441986,0.38201746344566345,0.21262475848197937,0.33242130279541016,0.338003009557724
not,0.6355478763580322,0.1742992103099823,0.27368539571762085,0.5995424389839172,0.23944389820098877,0.2890527844429016,0.3791346549987793,0.20394136011600494,0.3864686191082001,0.41942933201789856
carry,0.17188382148742676,0.07972963154315948,0.9999998807907104,0.2971760332584381,0.23104514181613922,0.2725665867328644,0.2364719659090042,0.2736532986164093,0.1964641809463501,0.17171701788902283
any,0.5203019976615906,0.13880807161331177,0.2971760332584381,1.0,0.22339946031570435,0.353973388671875,0.45031747221946716,0.22094684839248657,0.41297757625579834,0.4113408327102661
control,0.22912582755088806,0.17727622389793396,0.23104514181613922,0.22339946031570435,1.0,0.3525603711605072,0.21056023240089417,0.2512582540512085,0.2031567394733429,0.1620711386203766
over,0.24276040494441986,0.1823693960905075,0.2725665867328644,0.353973388671875,0.3525603711605072,1.0,0.32199642062187195,0.26147398352622986,0.2799279987812042,0.25742942094802856
the,0.35928019881248474,0.20915858447551727,0.26752355694770813,0.4525727927684784,0.32841500639915466,0.39856547117233276,0.5829201340675354,0.27277594804763794,0.21174471080303192,0.22068053483963013
channel,0.17076775431632996,0.17153316736221313,0.20794637501239777,0.16731774806976318,0.1987290382385254,0.23430871963500977,0.20914222300052643,0.8352546095848083,0.27572551369667053,0.20176179707050323
's,-0.02895052544772625,0.046084970235824585,0.016908660531044006,0.09017360955476761,0.03798864781856537,0.016215575858950615,0.04866964742541313,0.09595498442649841,0.05933520570397377,-0.023395681753754616
content,0.33242130279541016,0.1856074333190918,0.1964641809463501,0.41297757625579834,0.2031567394733429,0.2799279987812042,0.20795699954032898,0.3626914322376251,1.0,0.37093979120254517
or,0.4248845875263214,0.1910710632801056,0.3316584527492523,0.5601577162742615,0.21823447942733765,0.30238664150238037,0.48853766918182373,0.29424506425857544,0.37564611434936523,0.32389625906944275
carriage,0.07788082212209702,0.20719881355762482,0.4093873202800751,0.1386847347021103,0.1439642310142517,0.12992164492607117,0.23122717440128326,0.11204196512699127,0.0686524361371994,0.08573433756828308
issues,0.2924714684486389,0.16909056901931763,0.1123519316315651,0.38802313804626465,0.22631360590457916,0.2570655047893524,0.24391965568065643,0.2089289277791977,0.39060088992118835,0.320565789937973
such,0.2787191867828369,0.1266324818134308,0.23265816271305084,0.4017013609409332,0.1892368346452713,0.27061226963996887,0.2706976532936096,0.24504584074020386,0.27234581112861633,0.17851735651493073
as,0.31202155351638794,0.18719172477722168,0.21199582517147064,0.35746830701828003,0.18926969170570374,0.3506779670715332,0.39550232887268066,0.19637690484523773,0.25181716680526733,0.27043893933296204
picture,0.1447986364364624,0.20135881006717682,0.08052951097488403,0.23953662812709808,0.1602524369955063,0.19125661253929138,0.28814423084259033,0.1334456354379654,0.23050813376903534,0.24607865512371063
quality,0.2673164904117584,0.08746002614498138,0.19867104291915894,0.3214632272720337,0.18520835041999817,0.2347075343132019,0.1999066025018692,0.22653132677078247,0.439082533121109,0.23524069786071777
.,0.3022993505001068,0.2844841778278351,0.21299658715724945,0.39295488595962524,0.24319837987422943,0.37877383828163147,0.50484299659729,0.24374878406524658,0.2660638689994812,0.4130953550338745
