,what,molecules,are,recognized,as,foreign,by,the,immune,system,?
conversely,0.28675293922424316,0.3584563136100769,0.3026082515716553,0.16631197929382324,0.3072353005409241,0.19740884006023407,0.29702624678611755,0.2955932319164276,0.2236391007900238,0.2553504705429077,0.1408759355545044
",",0.3087472915649414,0.18639802932739258,0.4062570035457611,0.2936757206916809,0.48816442489624023,0.2636609673500061,0.3680937886238098,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
non-self,0.38723137974739075,0.3477441966533661,0.30320340394973755,0.23231898248195648,0.3306865692138672,0.149703711271286,0.30865246057510376,0.27000007033348083,0.3004506528377533,0.21916721761226654,0.3134685158729553
molecules,0.2143162339925766,0.9999999403953552,0.3300325572490692,0.16186904907226562,0.2531224191188812,0.22043973207473755,0.22475433349609375,0.2374771386384964,0.3475925624370575,0.26136019825935364,0.17409995198249817
are,0.29724663496017456,0.3300325572490692,1.0,0.28007772564888,0.3826591968536377,0.18581871688365936,0.37842893600463867,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.24591213464736938
those,0.44466671347618103,0.291934072971344,0.6012985706329346,0.28626155853271484,0.30178776383399963,0.22783543169498444,0.32841911911964417,0.42861196398735046,0.2986040711402893,0.2618377208709717,0.3328189253807068
recognized,0.17776133120059967,0.16186904907226562,0.28007772564888,1.0000001192092896,0.3368684649467468,0.25373944640159607,0.2992893159389496,0.31571096181869507,0.19836777448654175,0.16823384165763855,0.18558090925216675
as,0.31749409437179565,0.2531224191188812,0.3826591968536377,0.3368684649467468,1.0,0.267986536026001,0.3815547823905945,0.48381632566452026,0.17487213015556335,0.1973835676908493,0.27043893933296204
foreign,0.1784719079732895,0.22043973207473755,0.18581871688365936,0.25373944640159607,0.267986536026001,1.0000001192092896,0.22881895303726196,0.2946566939353943,0.2221337854862213,0.11286413669586182,0.13770383596420288
molecules,0.2143162339925766,0.9999999403953552,0.3300325572490692,0.16186904907226562,0.2531224191188812,0.22043973207473755,0.22475433349609375,0.2374771386384964,0.3475925624370575,0.26136019825935364,0.17409995198249817
.,0.3567904531955719,0.25748172402381897,0.3452940285205841,0.2562062442302704,0.515582263469696,0.20514161884784698,0.3936232924461365,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4130953550338745
