,what,happens,to,waste,heat,in,the,rankine,cycle,?
the,0.42745697498321533,0.32930514216423035,0.535392165184021,0.1971915364265442,0.2556036710739136,0.6662389636039734,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
heat,0.1933984011411667,0.3298950791358948,0.2773711681365967,0.35695213079452515,1.0,0.20852652192115784,0.2556036710739136,0.36692559719085693,0.21795213222503662,0.16343188285827637
is,0.28837618231773376,0.3918035626411438,0.42745086550712585,0.20201261341571808,0.20543494820594788,0.5394441485404968,0.5823672413825989,0.19099628925323486,0.20626789331436157,0.22961433231830597
supplied,0.148319274187088,0.16317787766456604,0.2647247314453125,0.2736662030220032,0.2685816287994385,0.19743295013904572,0.3064648509025574,0.09051534533500671,0.13708719611167908,0.08668285608291626
externally,0.2583906352519989,0.20732837915420532,0.2904282808303833,0.25525444746017456,0.24155275523662567,0.13950875401496887,0.24482318758964539,0.11315146088600159,0.2121969312429428,0.16055580973625183
to,0.455847829580307,0.25381678342819214,1.0,0.23860110342502594,0.2773711681365967,0.45010748505592346,0.535392165184021,0.15547960996627808,0.17373278737068176,0.29463258385658264
a,0.3320399522781372,0.3780156075954437,0.45503583550453186,0.1976010948419571,0.2243129312992096,0.539380669593811,0.5829201340675354,0.18306823074817657,0.21741491556167603,0.23916715383529663
closed,0.1689339131116867,0.2147974669933319,0.2852984070777893,0.2381902039051056,0.17847010493278503,0.21606552600860596,0.2359541952610016,0.18965359032154083,0.1665954738855362,0.15595348179340363
loop,0.21377356350421906,0.26827317476272583,0.22678492963314056,0.1651097536087036,0.22051575779914856,0.1791089028120041,0.24706609547138214,0.20004603266716003,0.23690491914749146,0.13595224916934967
with,0.2464839518070221,0.23801805078983307,0.4239959120750427,0.14994294941425323,0.2545742690563202,0.4080928862094879,0.4223487675189972,0.19537495076656342,0.1380273401737213,0.2433311939239502
some,0.4491020441055298,0.3301081657409668,0.4636894166469574,0.2948441505432129,0.24312715232372284,0.4010399878025055,0.4566698372364044,0.15215454995632172,0.1713559478521347,0.2562315762042999
of,0.33290785551071167,0.2803132236003876,0.41548454761505127,0.256231427192688,0.19590096175670624,0.5696388483047485,0.733189046382904,0.22334030270576477,0.255176842212677,0.1826142966747284
the,0.42745697498321533,0.32930514216423035,0.535392165184021,0.1971915364265442,0.2556036710739136,0.6662389636039734,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
heat,0.1933984011411667,0.3298950791358948,0.2773711681365967,0.35695213079452515,1.0,0.20852652192115784,0.2556036710739136,0.36692559719085693,0.21795213222503662,0.16343188285827637
added,0.23789235949516296,0.21087390184402466,0.29473474621772766,0.16167199611663818,0.15836629271507263,0.26384392380714417,0.3207796514034271,0.18503375351428986,0.10902264714241028,0.2865637540817261
being,0.3760843276977539,0.28653401136398315,0.4514104127883911,0.2780618965625763,0.21524979174137115,0.33162933588027954,0.419739305973053,0.1774543672800064,0.14053374528884888,0.26743772625923157
converted,0.1663769781589508,0.10012908279895782,0.2962644398212433,0.2197224199771881,0.20955565571784973,0.22429603338241577,0.2538719177246094,0.10741812735795975,0.08456321805715561,0.12743066251277924
to,0.455847829580307,0.25381678342819214,1.0,0.23860110342502594,0.2773711681365967,0.45010748505592346,0.535392165184021,0.15547960996627808,0.17373278737068176,0.29463258385658264
work,0.3762225806713104,0.26010772585868835,0.3482864499092102,0.29553571343421936,0.20347721874713898,0.2753349542617798,0.2704800069332123,0.18954385817050934,0.21434089541435242,0.2621155381202698
and,0.31309178471565247,0.23238006234169006,0.48971283435821533,0.2120123654603958,0.2678423523902893,0.4954058527946472,0.5171257257461548,0.2593007981777191,0.2020994871854782,0.20544172823429108
the,0.42745697498321533,0.32930514216423035,0.535392165184021,0.1971915364265442,0.2556036710739136,0.6662389636039734,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
waste,0.28944942355155945,0.2861315608024597,0.23860110342502594,1.0,0.35695213079452515,0.1575256586074829,0.1971915364265442,0.18342508375644684,0.2947196662425995,0.299444317817688
heat,0.1933984011411667,0.3298950791358948,0.2773711681365967,0.35695213079452515,1.0,0.20852652192115784,0.2556036710739136,0.36692559719085693,0.21795213222503662,0.16343188285827637
being,0.3760843276977539,0.28653401136398315,0.4514104127883911,0.2780618965625763,0.21524979174137115,0.33162933588027954,0.419739305973053,0.1774543672800064,0.14053374528884888,0.26743772625923157
removed,0.31197842955589294,0.23926258087158203,0.31205955147743225,0.31547367572784424,0.18017208576202393,0.20650114119052887,0.33493471145629883,0.13522499799728394,0.09066546708345413,0.2955436408519745
in,0.30808621644973755,0.2737985849380493,0.45010748505592346,0.1575256586074829,0.20852652192115784,1.0,0.6662389636039734,0.20086932182312012,0.20483464002609253,0.20430970191955566
a,0.3320399522781372,0.3780156075954437,0.45503583550453186,0.1976010948419571,0.2243129312992096,0.539380669593811,0.5829201340675354,0.18306823074817657,0.21741491556167603,0.23916715383529663
condenser,0.2606344223022461,0.3927724063396454,0.2080451101064682,0.340262234210968,0.4407425820827484,0.21727193892002106,0.26016345620155334,0.36066946387290955,0.31813663244247437,0.1732601672410965
.,0.3567904531955719,0.24076157808303833,0.4645031690597534,0.2470894604921341,0.27046459913253784,0.5591574311256409,0.5934505462646484,0.24286073446273804,0.19143328070640564,0.4130953550338745
