,what,was,the,name,given,to,the,regions,in,which,the,pro,-,slavery,southerners,lived,?
subsequently,0.10897690057754517,0.3486802279949188,0.2886511981487274,0.08445461839437485,0.15497323870658875,0.29023027420043945,0.2886511981487274,0.0920150876045227,0.21820683777332306,0.2420702427625656,0.2886511981487274,0.14297065138816833,0.02144581638276577,0.12074095010757446,0.17679254710674286,0.09224078059196472,0.005594457965344191
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.2843315005302429,0.44245919585227966,0.4933079481124878,0.26776278018951416,0.5201468467712402,0.3658004403114319,0.4933079481124878,0.19061636924743652,0.42609795928001404,0.20510926842689514,0.26695895195007324,0.32840919494628906,0.31091248989105225
californios,0.18550355732440948,0.2589726150035858,0.28861939907073975,0.15595529973506927,0.14617201685905457,0.20502883195877075,0.28861939907073975,0.16322022676467896,0.2472102791070938,0.21469223499298096,0.28861939907073975,0.13399219512939453,0.14301620423793793,0.14515726268291473,0.23176123201847076,0.24822498857975006,0.15866388380527496
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.2224431186914444,0.30882009863853455,0.33289089798927307,0.18475522100925446,0.3087427020072937,0.2589828372001648,0.33289089798927307,0.18513523042201996,0.4943908751010895,0.11492064595222473,0.14240950345993042,0.16167214512825012,0.40561532974243164
dissatisfied,0.31539562344551086,0.2654533088207245,0.28091561794281006,0.048708416521549225,0.2681269645690918,0.26055023074150085,0.28091561794281006,0.09627223014831543,0.23298972845077515,0.27267029881477356,0.28091561794281006,0.2351486086845398,0.1111224815249443,0.31958118081092834,0.34555283188819885,0.19860081374645233,0.1946241557598114
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.29518163204193115,0.4239959120750427,0.4223487675189972,0.24451375007629395,0.4080928862094879,0.46403205394744873,0.4223487675189972,0.15010353922843933,0.26225757598876953,0.16363102197647095,0.23181062936782837,0.1988031417131424,0.2433311939239502
inequitable,0.3262178301811218,0.14617574214935303,0.2686469554901123,0.10811269283294678,0.269611656665802,0.2756721079349518,0.2686469554901123,0.27517518401145935,0.23353666067123413,0.35358956456184387,0.2686469554901123,0.18525004386901855,0.19583329558372498,0.330880343914032,0.3429344594478607,0.06307367235422134,0.25996339321136475
taxes,0.2839719355106354,0.20412179827690125,0.23899468779563904,0.10840555280447006,0.18920578062534332,0.2727338671684265,0.23899468779563904,0.19028791785240173,0.22342120110988617,0.23685583472251892,0.23899468779563904,0.14407385885715485,0.05653742700815201,0.3380439579486847,0.31116753816604614,0.14587336778640747,0.18323048949241638
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.30185943841934204,0.48971283435821533,0.5171257257461548,0.30318012833595276,0.4954058527946472,0.506277859210968,0.5171257257461548,0.15542398393154144,0.32343366742134094,0.2265450358390808,0.28592556715011597,0.21143336594104767,0.20544172823429108
land,0.23411516845226288,0.23751215636730194,0.28587454557418823,0.16905397176742554,0.1763576716184616,0.2885280251502991,0.28587454557418823,0.2218567281961441,0.22871792316436768,0.2834632992744446,0.28587454557418823,0.09926058351993561,0.13829046487808228,0.2358330637216568,0.2913106679916382,0.28972160816192627,0.1432059109210968
