,in,what,year,was,there,an,attempt,to,withdraw,the,umc,membership,?
there,0.5361666083335876,0.35085538029670715,0.23605135083198547,0.24909798800945282,1.0,0.22476400434970856,0.20536471903324127,0.40669289231300354,0.20619367063045502,0.47025805711746216,0.20561887323856354,0.20598068833351135,0.29405656456947327
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.24909798800945282,0.3694365322589874,0.2327374517917633,0.3636345863342285,0.16643960773944855,0.48711544275283813,0.21309460699558258,0.2217107117176056,0.18412111699581146
an,0.2605783939361572,0.2821882665157318,0.17045794427394867,0.3694365322589874,0.22476400434970856,1.0,0.20525622367858887,0.3138085603713989,0.12368378043174744,0.4207492768764496,0.20038536190986633,0.18553279340267181,0.19793890416622162
attempt,0.1812446564435959,0.2411041408777237,0.11785184592008591,0.2327374517917633,0.20536471903324127,0.20525622367858887,1.0,0.4458620846271515,0.2787812650203705,0.2614527940750122,0.16501708328723907,0.15804791450500488,0.16559520363807678
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.40669289231300354,0.3138085603713989,0.4458620846271515,1.0,0.29418426752090454,0.535392165184021,0.23076260089874268,0.2628730833530426,0.29463258385658264
withdraw,0.19440212845802307,0.275155633687973,0.13730014860630035,0.16643960773944855,0.20619367063045502,0.12368378043174744,0.2787812650203705,0.29418426752090454,1.0000001192092896,0.25700607895851135,0.11896505951881409,0.2592666745185852,0.19605658948421478
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.47025805711746216,0.4207492768764496,0.2614527940750122,0.535392165184021,0.25700607895851135,1.0,0.21262750029563904,0.2937599718570709,0.22068053483963013
united,0.3938477039337158,0.20036718249320984,0.23911906778812408,0.31727492809295654,0.19206386804580688,0.15972375869750977,0.11760453879833221,0.2715383470058441,0.18585729598999023,0.34367692470550537,0.1928277611732483,0.3027696907520294,0.17266890406608582
methodist,0.24702993035316467,0.17637217044830322,0.1624906063079834,0.2711138129234314,0.1742023080587387,0.12909115850925446,0.2024078518152237,0.21503986418247223,0.09833690524101257,0.21922016143798828,0.2650960683822632,0.2631590664386749,0.1436992734670639
church,0.2493300437927246,0.1944202184677124,0.17190417647361755,0.24960921704769135,0.2438279539346695,0.09629998356103897,0.1394062638282776,0.24439501762390137,0.10557755082845688,0.23846197128295898,0.20494024455547333,0.25890153646469116,0.18081501126289368
