,which,theory,suggested,people,in,the,tropics,were,uncivilized,?
geographical,0.3198205530643463,0.2519637942314148,0.2382650226354599,0.19360005855560303,0.25889667868614197,0.3164447844028473,0.3257025480270386,0.14835225045681,0.20979028940200806,0.1692802608013153
theories,0.29404017329216003,0.7493525147438049,0.3969685137271881,0.24135687947273254,0.1867285519838333,0.24012529850006104,0.1768181025981903,0.23568083345890045,0.27209901809692383,0.21320602297782898
such,0.406057745218277,0.2231651395559311,0.27739089727401733,0.2260056734085083,0.2704046070575714,0.3575236201286316,0.24969635903835297,0.2970055043697357,0.24151436984539032,0.17851735651493073
as,0.41006597876548767,0.18675357103347778,0.3209790587425232,0.15704652667045593,0.3887844979763031,0.48381632566452026,0.20344844460487366,0.3025437891483307,0.28387463092803955,0.27043893933296204
environmental,0.28127700090408325,0.25243377685546875,0.2085915505886078,0.20135284960269928,0.2718023955821991,0.23935803771018982,0.29284122586250305,0.1469385176897049,0.16330473124980927,0.19728143513202667
determinism,0.3459697961807251,0.4805978238582611,0.3373124897480011,0.177348330616951,0.22452300786972046,0.2791610062122345,0.21637429296970367,0.11724566668272018,0.2914382517337799,0.30780893564224243
also,0.6566565632820129,0.27736079692840576,0.3168129026889801,0.34775957465171814,0.5073733329772949,0.6021018624305725,0.2714037299156189,0.31877249479293823,0.19864144921302795,0.21848613023757935
suggested,0.26930686831474304,0.3276820778846741,0.9999999403953552,0.13249893486499786,0.23595884442329407,0.28443726897239685,0.14514558017253876,0.22960101068019867,0.30819401144981384,0.2549840807914734
that,0.6894589066505432,0.36183905601501465,0.45882919430732727,0.3621441423892975,0.435920387506485,0.5473989248275757,0.2445944845676422,0.35517072677612305,0.39951255917549133,0.32716336846351624
tropical,0.21976803243160248,0.116176538169384,0.14634352922439575,0.12431485205888748,0.18481527268886566,0.18640398979187012,0.7459729909896851,0.17629246413707733,0.23676495254039764,0.16629411280155182
environments,0.3136473298072815,0.2006964534521103,0.18336383998394012,0.25602588057518005,0.2626948356628418,0.24010388553142548,0.3844333291053772,0.22086340188980103,0.24800676107406616,0.1847371757030487
created,0.3362928330898285,0.15525321662425995,0.28779199719429016,0.21227845549583435,0.2843434810638428,0.3539263904094696,0.1152692437171936,0.2975761294364929,0.22495631873607635,0.21177415549755096
uncivilized,0.26784101128578186,0.2105911374092102,0.30819401144981384,0.21163088083267212,0.19363455474376678,0.2491098791360855,0.2102152407169342,0.31434255838394165,1.0,0.29815852642059326
people,0.29092222452163696,0.14523828029632568,0.13249893486499786,1.0000001192092896,0.39605680108070374,0.36838498711586,0.20637542009353638,0.35862088203430176,0.21163088083267212,0.23739641904830933
in,0.4840516746044159,0.16955126821994781,0.23595884442329407,0.39605680108070374,1.0,0.6662389636039734,0.2543765902519226,0.3815755248069763,0.19363455474376678,0.20430970191955566
need,0.3459008038043976,0.2099294811487198,0.24029171466827393,0.23202089965343475,0.2129468470811844,0.2594960331916809,0.20251667499542236,0.2786298990249634,0.2959582507610321,0.40413710474967957
of,0.5011631846427917,0.23506702482700348,0.29373469948768616,0.3251037895679474,0.5696388483047485,0.733189046382904,0.23250260949134827,0.34038281440734863,0.20133310556411743,0.1826142966747284
european,0.2234036773443222,0.22632630169391632,0.18476502597332,0.17784909904003143,0.23319172859191895,0.3423081040382385,0.2153530716896057,0.21272888779640198,0.15937620401382446,0.14560863375663757
guidance,0.2943105697631836,0.30976182222366333,0.3158758580684662,0.13471269607543945,0.14105834066867828,0.27833473682403564,0.13810837268829346,0.19188673794269562,0.19439467787742615,0.28245481848716736
.,0.45942068099975586,0.18047811090946198,0.2633555829524994,0.33118996024131775,0.5591574311256409,0.5934505462646484,0.2510796785354614,0.3378238379955292,0.23477135598659515,0.4130953550338745
