,what,language,did,tesla,study,while,in,school,?
in,0.30808621644973755,0.23268210887908936,0.2593238651752472,0.17097744345664978,0.2875489294528961,0.3399278521537781,1.0,0.26157811284065247,0.20430970191955566
1861,-0.017687026411294937,-0.0089213065803051,-0.005461113527417183,-0.018461987376213074,0.05268239229917526,0.03270318731665611,-0.01098767388612032,0.00033779576187953353,-0.10446115583181381
",",0.3087472915649414,0.2694627344608307,0.3015086054801941,0.20599327981472015,0.26425549387931824,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
tesla,0.23221199214458466,0.07059696316719055,0.09757418930530548,0.9999999403953552,0.1303233504295349,0.15711884200572968,0.17097744345664978,0.16295383870601654,0.10250775516033173
attended,0.08783939480781555,0.20139794051647186,0.252729207277298,0.13557399809360504,0.24899131059646606,0.2275455743074417,0.2787896692752838,0.6139854788780212,0.08268529176712036
the,0.42745697498321533,0.30198320746421814,0.34736719727516174,0.1324402391910553,0.2533665597438812,0.39804592728614807,0.6662389636039734,0.22953221201896667,0.22068053483963013
``,0.008517155423760414,0.13820524513721466,-0.029888948425650597,0.04274534806609154,0.018686002120375633,0.01993810012936592,0.04765888676047325,-0.05850168690085411,0.0685480609536171
lower,0.20079238712787628,0.16630768775939941,0.1054062619805336,0.16620974242687225,0.14405487477779388,0.2078327238559723,0.27455443143844604,0.08543292433023453,0.08471795171499252
'',0.08143015950918198,0.05074836686253548,0.01978493109345436,0.048713020980358124,0.1005299910902977,-0.10191148519515991,0.07432962208986282,0.0720691904425621,0.018684765323996544
or,0.33867141604423523,0.2587864398956299,0.28211739659309387,0.1529218554496765,0.22420622408390045,0.3737879693508148,0.3586423695087433,0.12007436156272888,0.32389625906944275
``,0.008517155423760414,0.13820524513721466,-0.029888948425650597,0.04274534806609154,0.018686002120375633,0.01993810012936592,0.04765888676047325,-0.05850168690085411,0.0685480609536171
primary,0.2113915979862213,0.18236173689365387,0.16609589755535126,0.12756620347499847,0.31027111411094666,0.1894138604402542,0.21150650084018707,0.4102175533771515,0.16286636888980865
'',0.08143015950918198,0.05074836686253548,0.01978493109345436,0.048713020980358124,0.1005299910902977,-0.10191148519515991,0.07432962208986282,0.0720691904425621,0.018684765323996544
school,0.18774057924747467,0.16804754734039307,0.19696208834648132,0.16295383870601654,0.3538699746131897,0.21811918914318085,0.26157811284065247,1.0,0.15091250836849213
in,0.30808621644973755,0.23268210887908936,0.2593238651752472,0.17097744345664978,0.2875489294528961,0.3399278521537781,1.0,0.26157811284065247,0.20430970191955566
smiljan,0.20417870581150055,0.27093756198883057,0.17979542911052704,0.3143247961997986,0.18821784853935242,0.15244382619857788,0.25222301483154297,0.22864601016044617,0.2793274521827698
where,0.4457937180995941,0.17960332334041595,0.24159270524978638,0.12761090695858002,0.26273444294929504,0.41293615102767944,0.5344807505607605,0.23611775040626526,0.24793872237205505
he,0.3114890456199646,0.20472171902656555,0.3292143940925598,0.12373391538858414,0.2761457860469818,0.3526706397533417,0.41690486669540405,0.3274155557155609,0.2089974731206894
studied,0.17525729537010193,0.1751648485660553,0.24305510520935059,0.0738445594906807,0.5685165524482727,0.1308562159538269,0.3605947494506836,0.4579409062862396,0.12394175678491592
german,0.1960553526878357,0.19494405388832092,0.2048940509557724,0.18585926294326782,0.14107854664325714,0.13628974556922913,0.21098364889621735,0.15207898616790771,0.13978645205497742
",",0.3087472915649414,0.2694627344608307,0.3015086054801941,0.20599327981472015,0.26425549387931824,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
arithmetic,0.27624577283859253,0.26952263712882996,0.17879897356033325,0.2872482240200043,0.33899348974227905,0.19591185450553894,0.18081817030906677,0.24788866937160492,0.24343055486679077
",",0.3087472915649414,0.2694627344608307,0.3015086054801941,0.20599327981472015,0.26425549387931824,0.38232675194740295,0.5201468467712402,0.27141863107681274,0.31091248989105225
and,0.31309178471565247,0.24699117243289948,0.34479495882987976,0.19560420513153076,0.300253301858902,0.45699796080589294,0.4954058527946472,0.2752758264541626,0.20544172823429108
religion,0.3103729486465454,0.41145044565200806,0.2532487213611603,0.10348442941904068,0.22785642743110657,0.14556609094142914,0.2462482750415802,0.1739436537027359,0.2503177225589752
.,0.3567904531955719,0.2506868243217468,0.35288307070732117,0.17949827015399933,0.23432257771492004,0.38690751791000366,0.5591574311256409,0.24214158952236176,0.4130953550338745
