,by,how,much,did,labour,lead,lain,gray,retain,east,lothian,?
the,0.4408751428127289,0.33890387415885925,0.35023224353790283,0.34736719727516174,0.1636447161436081,0.21995973587036133,0.26265034079551697,0.20816172659397125,0.2913416624069214,0.3383176326751709,0.2804417014122009,0.22068053483963013
snp,0.17104749381542206,0.1942131072282791,0.15533925592899323,0.1372436136007309,0.4118184745311737,0.17055995762348175,0.20626555383205414,0.1723404973745346,0.1954236626625061,0.2008734494447708,0.2757481336593628,0.14808869361877441
took,0.21169665455818176,0.1585291624069214,0.21277569234371185,0.42470768094062805,0.14238345623016357,0.24198082089424133,0.16688154637813568,0.10036218166351318,0.21928466856479645,0.21721936762332916,0.19258040189743042,0.14109265804290771
16,0.04803045094013214,0.028703972697257996,0.031435202807188034,0.015878839418292046,0.0008512016502209008,0.07895373553037643,0.07164685428142548,0.07349506765604019,0.02435767650604248,-0.029586780816316605,-0.05886543542146683,0.08446579426527023
seats,0.15212112665176392,0.08405140787363052,0.1863110065460205,0.16118532419204712,0.3248540163040161,0.11213085055351257,0.06983981281518936,0.1501794010400772,0.11744444817304611,0.19251297414302826,0.21413487195968628,0.10678832978010178
from,0.3373257517814636,0.22939439117908478,0.24480824172496796,0.20248863101005554,0.13942566514015198,0.2400083839893341,0.11914066225290298,0.18410159647464752,0.18581144511699677,0.27024149894714355,0.16059570014476776,0.19969791173934937
labour,0.15774336457252502,0.13887332379817963,0.17589445412158966,0.10617300868034363,1.0000001192092896,0.1703895777463913,0.17038284242153168,0.21107850968837738,0.14852188527584076,0.15346869826316833,0.23410503566265106,0.15689024329185486
",",0.3680937886238098,0.22659391164779663,0.36182254552841187,0.3015086054801941,0.1949434131383896,0.2561914026737213,0.28480979800224304,0.2858242094516754,0.2342095971107483,0.319791704416275,0.21879063546657562,0.31091248989105225
with,0.39731505513191223,0.3525622487068176,0.2808258831501007,0.25472134351730347,0.13550680875778198,0.22399857640266418,0.24452921748161316,0.21388481557369232,0.24071331322193146,0.18583141267299652,0.16473166644573212,0.2433311939239502
many,0.3409687578678131,0.4425291419029236,0.4752063453197479,0.375588983297348,0.13636361062526703,0.2319030612707138,0.2565062940120697,0.12778446078300476,0.21133200824260712,0.20167402923107147,0.10916993021965027,0.2124512493610382
of,0.3646814823150635,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.18614540994167328,0.19835850596427917,0.19323192536830902,0.21367672085762024,0.24860581755638123,0.314786434173584,0.24736358225345612,0.1826142966747284
their,0.3242124021053314,0.3316696584224701,0.280311644077301,0.38078752160072327,0.15565380454063416,0.2087358832359314,0.18646617233753204,0.15725146234035492,0.3016938865184784,0.14149846136569977,0.201823890209198,0.1898253709077835
key,0.14244253933429718,0.1603579819202423,0.20035865902900696,0.14891697466373444,0.13571986556053162,0.172626793384552,0.13611015677452087,0.11141091585159302,0.13886302709579468,0.08093689382076263,0.05592312663793564,0.18782930076122284
figures,0.25432345271110535,0.22975820302963257,0.21202591061592102,0.13928313553333282,0.14835955202579498,0.12095900624990463,0.15346111357212067,0.15883897244930267,0.1028338298201561,0.08733512461185455,0.06999903917312622,0.15584851801395416
not,0.291808545589447,0.4869767427444458,0.4392215311527252,0.6481515765190125,0.15410302579402924,0.23259316384792328,0.19242256879806519,0.2036454975605011,0.316083163022995,0.17058958113193512,0.2011125087738037,0.41942933201789856
returned,0.2103281319141388,0.1224946528673172,0.14660267531871796,0.32570260763168335,0.2020554393529892,0.17232269048690796,0.16839146614074707,0.12862470746040344,0.2638112008571625,0.20644806325435638,0.1269775778055191,0.07695316523313522
to,0.33534231781959534,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.172691211104393,0.23490607738494873,0.21156328916549683,0.1771969199180603,0.3600676357746124,0.24717837572097778,0.18159927427768707,0.29463258385658264
