,how,many,years,have,imperialistic,practices,existed,?
[,0.03530287742614746,0.1508627086877823,0.11653686314821243,0.010582555085420609,0.03988777473568916,0.0056271860376000404,-0.01348087191581726,0.011015460826456547
citation,0.1860959678888321,0.13911859691143036,0.11926082521677017,0.16701039671897888,0.2101113200187683,0.20257790386676788,0.14843019843101501,0.3382055461406708
needed,0.4245111644268036,0.3006705045700073,0.1600845754146576,0.4054095149040222,0.2111770510673523,0.2554110884666443,0.19767305254936218,0.2863257825374603
],0.06738625466823578,-0.016180947422981262,0.04242503270506859,0.006664168555289507,0.01016124989837408,-0.08099062740802765,-0.05819179490208626,-0.0022520492784678936
although,0.26196205615997314,0.36542749404907227,0.2519318759441376,0.4518011808395386,0.2074282318353653,0.2862972021102905,0.2932514250278473,0.15541206300258636
imperialist,0.10928869247436523,0.15622910857200623,0.20505918562412262,0.093053437769413,0.8605360984802246,0.19507333636283875,0.20078082382678986,0.11505735665559769
practices,0.28959527611732483,0.3299838900566101,0.1682307869195938,0.3205834627151489,0.3165506422519684,1.0,0.1862235814332962,0.18974241614341736
have,0.4370637536048889,0.5841760635375977,0.31441381573677063,0.9999999403953552,0.22534702718257904,0.3205834627151489,0.37873196601867676,0.32991164922714233
existed,0.17562824487686157,0.2872633934020996,0.37470102310180664,0.37873196601867676,0.2541537582874298,0.1862235814332962,0.9999999403953552,0.17013543844223022
for,0.3308170735836029,0.40972793102264404,0.2878222167491913,0.41175219416618347,0.15795865654945374,0.30490195751190186,0.17577916383743286,0.264628142118454
thousands,0.2813407778739929,0.5732859373092651,0.3828625977039337,0.37836021184921265,0.21952569484710693,0.24224600195884705,0.2836167514324188,0.15520451962947845
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3802283704280853,0.2847146987915039,0.25354546308517456,0.2990404963493347,0.1826142966747284
years,0.21949264407157898,0.2731519937515259,1.0,0.31441381573677063,0.1985190063714981,0.1682307869195938,0.37470102310180664,0.1914375126361847
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.3541618287563324,0.21712644398212433,0.25552815198898315,0.24464987218379974,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.40389683842658997,0.2731722891330719,0.24007414281368256,0.32677435874938965,0.22068053483963013
term,0.23617766797542572,0.22119450569152832,0.22886784374713898,0.24443839490413666,0.19460967183113098,0.2952115535736084,0.23077575862407684,0.1901002675294876
``,-0.01591024175286293,0.012824942357838154,0.023748915642499924,0.1022237241268158,0.010330284014344215,-0.010854057036340237,0.10958340018987656,0.0685480609536171
age,0.17137715220451355,0.17488515377044678,0.477315217256546,0.1837892234325409,0.17973493039608002,0.22228072583675385,0.22343461215496063,0.16859300434589386
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3802283704280853,0.2847146987915039,0.25354546308517456,0.2990404963493347,0.1826142966747284
imperialism,0.19419045746326447,0.2443603277206421,0.19049613177776337,0.1434110701084137,0.8656792044639587,0.32676568627357483,0.24686667323112488,0.14998586475849152
'',-0.0029843549709767103,-0.016843097284436226,0.03180740773677826,0.0312618687748909,-0.0002669610548764467,0.023278774693608284,0.026639511808753014,0.018684765323996544
generally,0.35949206352233887,0.4686267375946045,0.19388681650161743,0.49163123965263367,0.23172922432422638,0.3882416784763336,0.2550083100795746,0.23411904275417328
refers,0.20522667467594147,0.16714313626289368,0.1246909350156784,0.25062745809555054,0.18952085077762604,0.3089384138584137,0.22740209102630615,0.07924893498420715
to,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.4544740617275238,0.2331068515777588,0.28297853469848633,0.18340860307216644,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.40389683842658997,0.2731722891330719,0.24007414281368256,0.32677435874938965,0.22068053483963013
activities,0.24978172779083252,0.3069241940975189,0.18438060581684113,0.2631042003631592,0.19708454608917236,0.46624046564102173,0.1736983060836792,0.11289679259061813
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3802283704280853,0.2847146987915039,0.25354546308517456,0.2990404963493347,0.1826142966747284
european,0.123964823782444,0.24996337294578552,0.20081207156181335,0.19048169255256653,0.28686872124671936,0.19074955582618713,0.2042887806892395,0.14560863375663757
powers,0.20901910960674286,0.22994916141033173,0.15589474141597748,0.2531462609767914,0.2556436061859131,0.2384490817785263,0.21237142384052277,0.17269276082515717
from,0.22939439117908478,0.33099696040153503,0.31063511967658997,0.30702701210975647,0.14301635324954987,0.132551908493042,0.2171137034893036,0.19969791173934937
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.40389683842658997,0.2731722891330719,0.24007414281368256,0.32677435874938965,0.22068053483963013
early,0.2415190190076828,0.4033903181552887,0.3695620000362396,0.30266791582107544,0.26214954257011414,0.20256593823432922,0.40284377336502075,0.15272949635982513
18th,0.19687892496585846,0.10557981580495834,0.10784783214330673,0.10292325168848038,0.024651139974594116,0.11618250608444214,0.04511524736881256,0.11879357695579529
century,0.1569085419178009,0.3132779002189636,0.3204622268676758,0.22878795862197876,0.2753470540046692,0.2640193700790405,0.31794729828834534,0.1026201918721199
through,0.2704794108867645,0.28384116291999817,0.22591422498226166,0.2991202771663666,0.15092702209949493,0.1686515361070633,0.18518559634685516,0.16913433372974396
to,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.4544740617275238,0.2331068515777588,0.28297853469848633,0.18340860307216644,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.40389683842658997,0.2731722891330719,0.24007414281368256,0.32677435874938965,0.22068053483963013
