,how,much,of,the,ipcc,attendees,are,government,representatives,?
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24925659596920013,0.25028666853904724,0.40399202704429626,0.31798112392425537,0.2691882848739624,0.22068053483963013
meeting,0.19107800722122192,0.13522543013095856,0.2703947126865387,0.3390691578388214,0.35303738713264465,0.3801664113998413,0.18583811819553375,0.25274544954299927,0.3246837854385376,0.1329771876335144
report,0.2084086388349533,0.18790055811405182,0.22992923855781555,0.2556745111942291,0.4727894961833954,0.19615007936954498,0.1750389188528061,0.2981126308441162,0.2500748932361603,0.3138936758041382
states,0.20841296017169952,0.21213924884796143,0.30884552001953125,0.3463578522205353,0.18006020784378052,0.22229906916618347,0.1846873015165329,0.3665940761566162,0.4308798909187317,0.16272737085819244
there,0.3328511416912079,0.31076255440711975,0.44397735595703125,0.47025805711746216,0.18501223623752594,0.26727190613746643,0.5433560013771057,0.27723273634910583,0.2018027901649475,0.29405656456947327
were,0.2082374095916748,0.25476184487342834,0.34038281440734863,0.3906462490558624,0.14059360325336456,0.27809280157089233,0.6489362716674805,0.27806493639945984,0.22932571172714233,0.17890112102031708
322,-0.04666529595851898,0.007265449035912752,-0.013253413140773773,0.018237091600894928,0.02834889106452465,-0.023230908438563347,0.021294474601745605,0.021889131516218185,0.0770927369594574,-0.013557560741901398
persons,0.23837141692638397,0.14710626006126404,0.3095638155937195,0.3206244707107544,0.2262267917394638,0.30269405245780945,0.32276177406311035,0.32040321826934814,0.31113871932029724,0.22290422022342682
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.24969582259655,0.3841303884983063,0.3066793978214264,0.2394939363002777,0.20430970191955566
attendance,0.07570963352918625,0.10198557376861572,0.19119514524936676,0.24430257081985474,0.19713076949119568,0.6312766671180725,0.14153769612312317,0.19741429388523102,0.2797463834285736,0.16877901554107666
at,0.2154216170310974,0.23158283531665802,0.42558613419532776,0.457212895154953,0.21482627093791962,0.4087051749229431,0.2074895054101944,0.1937524825334549,0.20522627234458923,0.21978627145290375
sessions,0.1361905187368393,0.1098804771900177,0.2076570689678192,0.22263139486312866,0.30279138684272766,0.38215604424476624,0.22679293155670166,0.16382038593292236,0.34866565465927124,0.15982723236083984
with,0.3525622487068176,0.2808258831501007,0.41827285289764404,0.4223487675189972,0.18298684060573578,0.13980473577976227,0.38996943831443787,0.2035938799381256,0.15282215178012848,0.2433311939239502
about,0.44264400005340576,0.42681634426116943,0.40939709544181824,0.37995871901512146,0.27126818895339966,0.17413794994354248,0.36165615916252136,0.2398819625377655,0.15075138211250305,0.302409827709198
seven-eighths,0.26594531536102295,0.30894964933395386,0.35315847396850586,0.43918123841285706,0.19273366034030914,0.27296561002731323,0.28651076555252075,0.24414677917957306,0.3293176591396332,0.17223384976387024
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.20174051821231842,0.25569629669189453,0.39081433415412903,0.3475167155265808,0.3133973777294159,0.1826142966747284
participants,0.21872733533382416,0.22399605810642242,0.1995369791984558,0.26625877618789673,0.27956724166870117,0.41338521242141724,0.2412826120853424,0.17382380366325378,0.2573300004005432,0.1654060184955597
being,0.33768191933631897,0.3540377616882324,0.34885138273239136,0.419739305973053,0.1987217664718628,0.2095123827457428,0.4656608998775482,0.2148837000131607,0.19076727330684662,0.26743772625923157
from,0.22939439117908478,0.24480824172496796,0.4249346852302551,0.40150508284568787,0.1346227526664734,0.13502943515777588,0.2674213647842407,0.16793464124202728,0.27877047657966614,0.19969791173934937
governmental,0.19438596069812775,0.15386608242988586,0.35182538628578186,0.2788466215133667,0.44906705617904663,0.23339255154132843,0.24136672914028168,0.818747878074646,0.3708703815937042,0.21953752636909485
organizations,0.2547125518321991,0.21771566569805145,0.24586479365825653,0.2850687503814697,0.38331589102745056,0.30165743827819824,0.29940158128738403,0.3927232325077057,0.3200296461582184,0.22215601801872253
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.20098818838596344,0.19532915949821472,0.3452940285205841,0.2521961033344269,0.253695547580719,0.4130953550338745
