,what,kind,of,system,of,infection,involves,inserting,a,hollow,tube,into,a,host,cell,?
alternatively,0.1933564394712448,0.23143711686134338,0.2251395583152771,0.22928081452846527,0.2251395583152771,0.17958486080169678,0.21123726665973663,0.35030266642570496,0.3382408022880554,0.18292862176895142,0.13383379578590393,0.25165873765945435,0.3382408022880554,0.23641055822372437,0.23778662085533142,0.22392337024211884
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18439900875091553,0.4946078956127167,0.24966196715831757,0.2186070829629898,0.21637892723083496,0.427140474319458,0.28732046484947205,0.17319613695144653,0.2826121151447296,0.427140474319458,0.26840344071388245,0.17534321546554565,0.31091248989105225
using,0.27984681725502014,0.31312650442123413,0.24298200011253357,0.31511810421943665,0.24298200011253357,0.1827688068151474,0.3098548352718353,0.5094770789146423,0.32226553559303284,0.21090808510780334,0.22347740828990936,0.2842160165309906,0.32226553559303284,0.12020502239465714,0.24382004141807556,0.2804589569568634
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2589043080806732,0.5052502155303955,0.247476264834404,0.35207560658454895,0.2653307318687439,1.0,0.3068229854106903,0.26573309302330017,0.3461161255836487,1.0,0.1733594834804535,0.21525812149047852,0.23916715383529663
type,0.2722663879394531,0.6051733493804932,0.18112817406654358,0.24706636369228363,0.18112817406654358,0.18979784846305847,0.3002933859825134,0.2175161987543106,0.3813284635543823,0.22502829134464264,0.21073533594608307,0.14269600808620453,0.3813284635543823,0.07755744457244873,0.2297259271144867,0.17536182701587677
iii,0.09164873510599136,0.05644027143716812,0.21691277623176575,0.05287691950798035,0.21691277623176575,0.09395989775657654,0.16749417781829834,0.121983602643013,0.21403419971466064,0.09523526579141617,0.05582888051867485,0.1300107091665268,0.21403419971466064,0.15192483365535736,0.12271848320960999,0.13642357289791107
secretion,0.19024023413658142,0.28054898977279663,0.17848660051822662,0.25203341245651245,0.17848660051822662,0.37241995334625244,0.32150861620903015,0.2970651388168335,0.17604748904705048,0.3233906924724579,0.31249114871025085,0.19929026067256927,0.17604748904705048,0.19990353286266327,0.2768767774105072,0.13670313358306885
system,0.23557309806346893,0.22309651970863342,0.25597915053367615,1.0000001192092896,0.25597915053367615,0.2549544870853424,0.29083719849586487,0.22060413658618927,0.2589043080806732,0.19178777933120728,0.2355753481388092,0.219827339053154,0.2589043080806732,0.18655748665332794,0.19477003812789917,0.15556083619594574
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18439900875091553,0.4946078956127167,0.24966196715831757,0.2186070829629898,0.21637892723083496,0.427140474319458,0.28732046484947205,0.17319613695144653,0.2826121151447296,0.427140474319458,0.26840344071388245,0.17534321546554565,0.31091248989105225
they,0.4431931674480438,0.29935595393180847,0.3426007330417633,0.24734781682491302,0.3426007330417633,0.22398896515369415,0.20705673098564148,0.21859125792980194,0.3528250455856323,0.30823495984077454,0.2229895293712616,0.32590940594673157,0.3528250455856323,0.21993227303028107,0.2226884663105011,0.2753053903579712
