,what,principle,relates,to,the,formation,of,faults,and,the,age,of,the,sequences,through,which,they,cut,?
the,0.42745697498321533,0.24017377197742462,0.28690454363822937,0.535392165184021,1.0,0.33687281608581543,0.733189046382904,0.3002931475639343,0.5171257257461548,1.0,0.24711290001869202,0.733189046382904,1.0,0.2234572321176529,0.44071322679519653,0.6521818041801453,0.49925389885902405,0.29221418499946594,0.22068053483963013
principle,0.3569014072418213,1.0,0.3625403344631195,0.22799374163150787,0.24017377197742462,0.3123243451118469,0.2430231273174286,0.19069074094295502,0.18017759919166565,0.24017377197742462,0.12317781150341034,0.2430231273174286,0.24017377197742462,0.311657577753067,0.12255720794200897,0.33062395453453064,0.21808311343193054,0.08686225861310959,0.2002675086259842
of,0.33290785551071167,0.2430231273174286,0.3167797923088074,0.41548454761505127,0.733189046382904,0.2957320809364319,1.0,0.1837489753961563,0.5116966962814331,0.733189046382904,0.2372717410326004,1.0,0.733189046382904,0.16947661340236664,0.3647414743900299,0.5011631846427917,0.3426007330417633,0.26061776280403137,0.1826142966747284
cross-cutting,0.34770894050598145,0.25992730259895325,0.21486333012580872,0.331996351480484,0.39067867398262024,0.239354208111763,0.3228287398815155,0.27487608790397644,0.3669557571411133,0.39067867398262024,0.14253242313861847,0.3228287398815155,0.39067867398262024,0.23335009813308716,0.38596591353416443,0.41320639848709106,0.28838151693344116,0.5112976431846619,0.15708421170711517
relationships,0.2712070345878601,0.24150563776493073,0.4821615517139435,0.24882912635803223,0.21583695709705353,0.2223276048898697,0.25304844975471497,0.18135379254817963,0.3358020782470703,0.21583695709705353,0.16261766850948334,0.25304844975471497,0.21583695709705353,0.39527302980422974,0.15130490064620972,0.2873646318912506,0.31726664304733276,0.07611285150051117,0.14081478118896484
pertains,0.3541230857372284,0.29936233162879944,0.4362347424030304,0.31598323583602905,0.24847377836704254,0.14709001779556274,0.29907315969467163,0.16470710933208466,0.26311254501342773,0.24847377836704254,0.14245566725730896,0.29907315969467163,0.24847377836704254,0.1931353509426117,0.18557697534561157,0.3311787247657776,0.19789716601371765,0.045282963663339615,0.28562813997268677
to,0.455847829580307,0.22799374163150787,0.2781286835670471,1.0,0.535392165184021,0.21429739892482758,0.41548454761505127,0.224261075258255,0.48971283435821533,0.535392165184021,0.23830388486385345,0.41548454761505127,0.535392165184021,0.22955146431922913,0.4062686562538147,0.5345056653022766,0.5452046394348145,0.27572008967399597,0.29463258385658264
the,0.42745697498321533,0.24017377197742462,0.28690454363822937,0.535392165184021,1.0,0.33687281608581543,0.733189046382904,0.3002931475639343,0.5171257257461548,1.0,0.24711290001869202,0.733189046382904,1.0,0.2234572321176529,0.44071322679519653,0.6521818041801453,0.49925389885902405,0.29221418499946594,0.22068053483963013
formation,0.16291823983192444,0.3123243451118469,0.20850688219070435,0.21429739892482758,0.33687281608581543,1.0000001192092896,0.2957320809364319,0.3173145651817322,0.22940734028816223,0.33687281608581543,0.2023080736398697,0.2957320809364319,0.33687281608581543,0.3077460527420044,0.24328194558620453,0.37379011511802673,0.23617015779018402,0.1358572244644165,0.09831923991441727
of,0.33290785551071167,0.2430231273174286,0.3167797923088074,0.41548454761505127,0.733189046382904,0.2957320809364319,1.0,0.1837489753961563,0.5116966962814331,0.733189046382904,0.2372717410326004,1.0,0.733189046382904,0.16947661340236664,0.3647414743900299,0.5011631846427917,0.3426007330417633,0.26061776280403137,0.1826142966747284
faults,0.3249368667602539,0.19069074094295502,0.1756519228219986,0.224261075258255,0.3002931475639343,0.3173145651817322,0.1837489753961563,1.0,0.26066941022872925,0.3002931475639343,0.1169605478644371,0.1837489753961563,0.3002931475639343,0.2505776882171631,0.23184062540531158,0.31374192237854004,0.26456981897354126,0.271660178899765,0.17420656979084015
