,what,measure,of,a,computational,problem,broadly,defines,the,inherent,difficulty,of,the,solution,?
a,0.3320399522781372,0.2953258156776428,0.5052502155303955,1.0,0.29858994483947754,0.2605542540550232,0.2776320278644562,0.28742772340774536,0.5829201340675354,0.23796094954013824,0.29588451981544495,0.5052502155303955,0.5829201340675354,0.2887548804283142,0.23916715383529663
problem,0.42183366417884827,0.26293298602104187,0.20464475452899933,0.2605542540550232,0.41473615169525146,1.0,0.23266831040382385,0.27938076853752136,0.24928659200668335,0.333133727312088,0.4169459342956543,0.20464475452899933,0.24928659200668335,0.5411272048950195,0.3762950301170349
is,0.28837618231773376,0.2864217460155487,0.4854315221309662,0.658733606338501,0.2470806986093521,0.23238427937030792,0.20049333572387695,0.30292779207229614,0.5823672413825989,0.19840292632579803,0.23129403591156006,0.4854315221309662,0.5823672413825989,0.2851429283618927,0.22961433231830597
regarded,0.19386208057403564,0.22231100499629974,0.3187633752822876,0.24923060834407806,0.23509939014911652,0.1947052925825119,0.23314261436462402,0.275320827960968,0.28921735286712646,0.3161432147026062,0.18403427302837372,0.3187633752822876,0.28921735286712646,0.11320428550243378,0.1741991639137268
as,0.31749409437179565,0.25576961040496826,0.3886612355709076,0.39550232887268066,0.22144010663032532,0.2586832344532013,0.31379663944244385,0.29226040840148926,0.48381632566452026,0.2240402102470398,0.19508342444896698,0.3886612355709076,0.48381632566452026,0.24288590252399445,0.27043893933296204
inherently,0.45023590326309204,0.18963748216629028,0.21243183314800262,0.266262412071228,0.32619166374206543,0.38131970167160034,0.3934847116470337,0.3172566890716553,0.19782739877700806,0.8429042100906372,0.29504573345184326,0.21243183314800262,0.19782739877700806,0.25248947739601135,0.4094162881374359
difficult,0.37928828597068787,0.37339282035827637,0.2539307773113251,0.3425796926021576,0.37172767519950867,0.43395328521728516,0.3396522104740143,0.22132131457328796,0.277450829744339,0.3257336914539337,0.7794454097747803,0.2539307773113251,0.277450829744339,0.34181252121925354,0.20408590137958527
if,0.5277165174484253,0.3168623745441437,0.2557544410228729,0.41272827982902527,0.34371140599250793,0.43518564105033875,0.31331726908683777,0.2954196035861969,0.33724796772003174,0.3329346179962158,0.27910178899765015,0.2557544410228729,0.33724796772003174,0.3745069205760956,0.4441644251346588
its,0.30393704771995544,0.23236113786697388,0.48690423369407654,0.4424409866333008,0.19936877489089966,0.21062085032463074,0.26781874895095825,0.2691458463668823,0.559237003326416,0.2362484335899353,0.2504575550556183,0.48690423369407654,0.559237003326416,0.265447199344635,0.15103481709957123
solution,0.275324285030365,0.29329806566238403,0.18098624050617218,0.2887548804283142,0.41151654720306396,0.5411272048950195,0.23148271441459656,0.28149157762527466,0.20422548055648804,0.23554758727550507,0.28547948598861694,0.18098624050617218,0.20422548055648804,1.0000001192092896,0.28505614399909973
requires,0.24784088134765625,0.3374849855899811,0.29617026448249817,0.322436660528183,0.3563971519470215,0.38902369141578674,0.2690926194190979,0.37875092029571533,0.2693159878253937,0.3464357256889343,0.34407883882522583,0.29617026448249817,0.2693159878253937,0.3010130822658539,0.26020103693008423
significant,0.24268144369125366,0.2902570366859436,0.318554162979126,0.2793380320072174,0.3847994804382324,0.21470646560192108,0.3028436601161957,0.29279643297195435,0.35524800419807434,0.3493627905845642,0.296678751707077,0.318554162979126,0.35524800419807434,0.2062719464302063,0.18679562211036682
resources,0.24701403081417084,0.20565222203731537,0.2746381163597107,0.19164273142814636,0.33013734221458435,0.3006785213947296,0.24498258531093597,0.27584782242774963,0.25734785199165344,0.29357194900512695,0.27853286266326904,0.2746381163597107,0.25734785199165344,0.3489012122154236,0.26047492027282715
",",0.3087472915649414,0.18738344311714172,0.4946078956127167,0.427140474319458,0.28742313385009766,0.23938199877738953,0.24148055911064148,0.21206256747245789,0.4933079481124878,0.25110384821891785,0.21331651508808136,0.4946078956127167,0.4933079481124878,0.2270459234714508,0.31091248989105225
whatever,0.624045729637146,0.31438690423965454,0.23839089274406433,0.3140307068824768,0.3302018940448761,0.3249659836292267,0.29305514693260193,0.2756187617778778,0.3062065839767456,0.38237929344177246,0.2817235291004181,0.23839089274406433,0.3062065839767456,0.25554797053337097,0.4686553180217743
the,0.42745697498321533,0.2528008222579956,0.733189046382904,0.5829201340675354,0.18477948009967804,0.24928659200668335,0.25585347414016724,0.27586790919303894,1.0,0.21961180865764618,0.28524860739707947,0.733189046382904,1.0,0.20422548055648804,0.22068053483963013
algorithm,0.2700590193271637,0.2548926770687103,0.17516344785690308,0.20294487476348877,0.580475389957428,0.39858657121658325,0.18175601959228516,0.27408382296562195,0.15884782373905182,0.17417657375335693,0.23056749999523163,0.17516344785690308,0.15884782373905182,0.4298659563064575,0.21180397272109985
used,0.27546408772468567,0.37946778535842896,0.3075267970561981,0.3864384889602661,0.32107532024383545,0.3019697070121765,0.352469801902771,0.3107175827026367,0.3718377649784088,0.23630274832248688,0.30797475576400757,0.3075267970561981,0.3718377649784088,0.2982623279094696,0.22430120408535004
.,0.3567904531955719,0.23919615149497986,0.5352458953857422,0.50484299659729,0.24047870934009552,0.22562150657176971,0.16249950230121613,0.2111859768629074,0.5934505462646484,0.21214275062084198,0.1597665250301361,0.5352458953857422,0.5934505462646484,0.24768643081188202,0.4130953550338745
