,what,company,owns,the,american,broadcasting,company,?
the,0.42745697498321533,0.26591673493385315,0.19328729808330536,1.0,0.24562937021255493,0.29916465282440186,0.26591673493385315,0.22068053483963013
american,0.1909721940755844,0.1761145144701004,0.18022969365119934,0.24562937021255493,1.0000001192092896,0.26785901188850403,0.1761145144701004,0.18877598643302917
broadcasting,0.18499015271663666,0.3277682960033417,0.23814259469509125,0.29916465282440186,0.26785901188850403,1.0,0.3277682960033417,0.10870421677827835
company,0.2333769053220749,1.0,0.45134320855140686,0.26591673493385315,0.1761145144701004,0.3277682960033417,1.0,0.12195809185504913
(,0.2411840260028839,0.13179703056812286,0.1795583963394165,0.33289089798927307,0.3044136166572571,0.25321096181869507,0.13179703056812286,0.40561532974243164
abc,0.1317344456911087,0.16210390627384186,0.23212404549121857,0.2068762183189392,0.24405160546302795,0.45669859647750854,0.16210390627384186,0.19065172970294952
),0.26259949803352356,0.14284300804138184,0.16541217267513275,0.3456730246543884,0.30758509039878845,0.22697988152503967,0.14284300804138184,0.42300865054130554
(,0.2411840260028839,0.13179703056812286,0.1795583963394165,0.33289089798927307,0.3044136166572571,0.25321096181869507,0.13179703056812286,0.40561532974243164
stylized,0.1135159358382225,0.20098504424095154,0.17830342054367065,0.19770094752311707,0.22714583575725555,0.23271620273590088,0.20098504424095154,0.14394623041152954
in,0.30808621644973755,0.22141718864440918,0.19753509759902954,0.6662389636039734,0.22871561348438263,0.27609771490097046,0.22141718864440918,0.20430970191955566
its,0.30393704771995544,0.258992999792099,0.17589020729064941,0.559237003326416,0.14820368587970734,0.2771732807159424,0.258992999792099,0.15103481709957123
logo,0.21781428158283234,0.31244656443595886,0.24121569097042084,0.2806010842323303,0.15219858288764954,0.3187669515609741,0.31244656443595886,0.23347119987010956
as,0.31749409437179565,0.18860384821891785,0.2073422521352768,0.48381632566452026,0.2994234561920166,0.19734740257263184,0.18860384821891785,0.27043893933296204
abc,0.1317344456911087,0.16210390627384186,0.23212404549121857,0.2068762183189392,0.24405160546302795,0.45669859647750854,0.16210390627384186,0.19065172970294952
since,0.29783400893211365,0.23046186566352844,0.2318451702594757,0.4054957628250122,0.18508033454418182,0.2615359425544739,0.23046186566352844,0.2876587212085724
1957,-0.006660523824393749,-0.06904533505439758,-0.054335519671440125,-0.091727614402771,-0.17636509239673615,-0.15664732456207275,-0.06904533505439758,-0.11977791041135788
),0.26259949803352356,0.14284300804138184,0.16541217267513275,0.3456730246543884,0.30758509039878845,0.22697988152503967,0.14284300804138184,0.42300865054130554
is,0.28837618231773376,0.18005689978599548,0.2503352761268616,0.5823672413825989,0.1853146106004715,0.1978546530008316,0.18005689978599548,0.22961433231830597
an,0.2821882665157318,0.13791987299919128,0.11850018799304962,0.4207492768764496,0.2878177762031555,0.20089168846607208,0.13791987299919128,0.19793890416622162
american,0.1909721940755844,0.1761145144701004,0.18022969365119934,0.24562937021255493,1.0000001192092896,0.26785901188850403,0.1761145144701004,0.18877598643302917
commercial,0.12070754915475845,0.2870384752750397,0.2342487871646881,0.23051398992538452,0.20915061235427856,0.3229656219482422,0.2870384752750397,0.04216946288943291
broadcast,0.17857211828231812,0.2000226527452469,0.1611565202474594,0.2713715434074402,0.2607642412185669,0.843898594379425,0.2000226527452469,0.15760008990764618
television,0.19838058948516846,0.25623777508735657,0.200703427195549,0.24569597840309143,0.3946164548397064,0.6134137511253357,0.25623777508735657,0.16825827956199646
network,0.16917307674884796,0.28571397066116333,0.2566162347793579,0.27187061309814453,0.19002419710159302,0.5597359538078308,0.28571397066116333,0.17853789031505585
that,0.6297725439071655,0.22723333537578583,0.2311566323041916,0.5473989248275757,0.24748189747333527,0.23971983790397644,0.22723333537578583,0.32716336846351624
is,0.28837618231773376,0.18005689978599548,0.2503352761268616,0.5823672413825989,0.1853146106004715,0.1978546530008316,0.18005689978599548,0.22961433231830597
owned,0.12432919442653656,0.48909151554107666,0.6851894855499268,0.1999378502368927,0.23308071494102478,0.3176310360431671,0.48909151554107666,0.1288648396730423
