,when,was,the,european,portion,of,the,seven,years,war,complete,?
the,0.5091903209686279,0.48711544275283813,1.0,0.3423081040382385,0.42017096281051636,0.733189046382904,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.277624249458313,0.22068053483963013
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.2521776556968689,0.12796132266521454,0.31680163741111755,0.366199791431427,0.19957704842090607,0.3038960099220276,1.0000001192092896,0.1680518388748169,0.15510529279708862
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23319172859191895,0.2811550498008728,0.5696388483047485,0.6662389636039734,0.24717609584331512,0.33554986119270325,0.29904094338417053,0.2201821506023407,0.20430970191955566
north,0.21003669500350952,0.29020047187805176,0.36298373341560364,0.24949796497821808,0.2271946370601654,0.3604778051376343,0.36298373341560364,0.17746955156326294,0.26820671558380127,0.2980347275733948,0.16547083854675293,0.11829731613397598
america,0.21924224495887756,0.2850865423679352,0.37090015411376953,0.334693044424057,0.17751449346542358,0.28803038597106934,0.37090015411376953,0.169637992978096,0.2335117906332016,0.23212303221225739,0.15243057906627655,0.19333907961845398
officially,0.3171864151954651,0.4353274703025818,0.36343514919281006,0.17799721658229828,0.190541073679924,0.27491217851638794,0.36343514919281006,0.22792066633701324,0.20200924575328827,0.29059749841690063,0.1569966822862625,0.15603435039520264
ended,0.2624439001083374,0.4452953040599823,0.3356485068798065,0.19365191459655762,0.11806982010602951,0.27636510133743286,0.3356485068798065,0.2773791551589966,0.2989223897457123,0.38025277853012085,0.2210729420185089,0.15429291129112244
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.19647395610809326,0.2707788050174713,0.41827285289764404,0.4223487675189972,0.19141453504562378,0.21224987506866455,0.20580904185771942,0.20904628932476044,0.2433311939239502
the,0.5091903209686279,0.48711544275283813,1.0,0.3423081040382385,0.42017096281051636,0.733189046382904,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.277624249458313,0.22068053483963013
signing,0.2867964804172516,0.19628414511680603,0.3163802921772003,0.18875974416732788,0.12704934179782867,0.2501838505268097,0.3163802921772003,0.19416983425617218,0.19127359986305237,0.24651086330413818,0.19735240936279297,0.15776143968105316
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2507138252258301,0.31845465302467346,1.0,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.3009350895881653,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.3423081040382385,0.42017096281051636,0.733189046382904,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.277624249458313,0.22068053483963013
treaty,0.15431849658489227,0.2409621626138687,0.2690109610557556,0.25059598684310913,0.14800050854682922,0.2602092921733856,0.2690109610557556,0.18125413358211517,0.16044063866138458,0.412763386964798,0.14611168205738068,0.1174844279885292
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2507138252258301,0.31845465302467346,1.0,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.3009350895881653,0.1826142966747284
paris,0.23232801258563995,0.31941550970077515,0.24946041405200958,0.22047817707061768,0.03292279317975044,0.19470684230327606,0.24946041405200958,0.1350334882736206,0.21082337200641632,0.2805107533931732,0.12897460162639618,0.1491217315196991
