,who,headed,the,niagara,falls,cataract,construction,company,in,1893,?
in,0.2792111933231354,0.14734512567520142,0.6662389636039734,0.1875237375497818,0.24281851947307587,0.22685718536376953,0.3031303882598877,0.22141718864440918,1.0,0.09158051759004593,0.20430970191955566
1893,0.1112329438328743,0.09163971245288849,0.10564703494310379,0.033068183809518814,0.06562045961618423,0.08316123485565186,0.005910052452236414,0.09944730997085571,0.09158051759004593,1.0000001192092896,0.0544506311416626
richard,0.27835920453071594,0.10008181631565094,0.2087954580783844,0.21866542100906372,0.11865793913602829,0.09485204517841339,0.12232373654842377,0.1630045771598816,0.23321768641471863,0.006385772954672575,0.15003317594528198
dean,0.21395713090896606,0.15420669317245483,0.20016886293888092,0.23704169690608978,0.12893250584602356,0.10940247774124146,0.1538318246603012,0.09054067730903625,0.21489942073822021,-0.04206233471632004,0.13287632167339325
adams,0.18634244799613953,0.08235581964254379,0.22482158243656158,0.23843158781528473,0.13003933429718018,0.1085738092660904,0.09097784012556076,0.17578409612178802,0.17958872020244598,0.023275818675756454,0.11037187278270721
",",0.3365725874900818,0.2317989319562912,0.4933079481124878,0.2475837916135788,0.29322290420532227,0.252076655626297,0.23704268038272858,0.2697763442993164,0.5201468467712402,0.06818228960037231,0.31091248989105225
who,0.9999998807907104,0.23283647000789642,0.3733934462070465,0.16163556277751923,0.1526177078485489,0.21831496059894562,0.08125896006822586,0.2383776307106018,0.2792111933231354,0.1112329438328743,0.26220351457595825
headed,0.23283647000789642,1.0,0.256571888923645,0.13994461297988892,0.1196284294128418,0.08640977740287781,0.18435505032539368,0.12667152285575867,0.14734512567520142,0.09163971245288849,0.1387181431055069
up,0.26056501269340515,0.18113425374031067,0.38423117995262146,0.2384970337152481,0.21494942903518677,0.1375807672739029,0.21135294437408447,0.19307924807071686,0.3120773434638977,0.01747964136302471,0.1819818764925003
the,0.3733934462070465,0.256571888923645,1.0,0.27139943838119507,0.2708098292350769,0.36011776328086853,0.2671978175640106,0.26591673493385315,0.6662389636039734,0.10564703494310379,0.22068053483963013
niagara,0.16163556277751923,0.13994461297988892,0.27139943838119507,1.0,0.5035043954849243,0.3409038782119751,0.2385147362947464,0.17887718975543976,0.1875237375497818,0.033068183809518814,0.1411852240562439
falls,0.1526177078485489,0.1196284294128418,0.2708098292350769,0.5035043954849243,1.0,0.28501495718955994,0.0760398656129837,0.10471650958061218,0.24281851947307587,0.06562045961618423,0.15918700397014618
cataract,0.21831496059894562,0.08640977740287781,0.36011776328086853,0.3409038782119751,0.28501495718955994,1.0000001192092896,0.20317442715168,0.1043146550655365,0.22685718536376953,0.08316123485565186,0.15514707565307617
construction,0.08125896006822586,0.18435505032539368,0.2671978175640106,0.2385147362947464,0.0760398656129837,0.20317442715168,1.0,0.23296286165714264,0.3031303882598877,0.005910052452236414,0.13494056463241577
company,0.2383776307106018,0.12667152285575867,0.26591673493385315,0.17887718975543976,0.10471650958061218,0.1043146550655365,0.23296286165714264,1.0,0.22141718864440918,0.09944730997085571,0.12195809185504913
sought,0.31337496638298035,0.1771896779537201,0.2821049392223358,0.1336231529712677,0.07833662629127502,0.15209567546844482,0.19445747137069702,0.2090018093585968,0.21093487739562988,0.16205161809921265,0.1753331869840622
tesla,0.1520961970090866,0.029712596908211708,0.1324402391910553,0.21620036661624908,0.07821866124868393,0.0594303272664547,0.228234201669693,0.23045730590820312,0.17097744345664978,0.030090492218732834,0.10250775516033173
's,0.05599616840481758,0.03808349370956421,-0.01540423184633255,-0.03234507888555527,-0.060951314866542816,-0.0013853274285793304,0.04049986973404884,0.003266559913754463,-0.037580832839012146,0.08551017194986343,-0.023395681753754616
opinion,0.2775997519493103,0.197064608335495,0.22474613785743713,0.07292160391807556,0.04012025147676468,0.07650982588529587,0.10830123722553253,0.1138223335146904,0.21849191188812256,0.0768318697810173,0.38472914695739746
on,0.2340552806854248,0.19074828922748566,0.5107308030128479,0.24953512847423553,0.2028466761112213,0.23865795135498047,0.23722872138023376,0.23664942383766174,0.46853652596473694,0.15306857228279114,0.2714994251728058
what,0.40942975878715515,0.15415915846824646,0.42745697498321533,0.15394002199172974,0.1882239729166031,0.2725718915462494,0.20329850912094116,0.2333769053220749,0.30808621644973755,0.12838007509708405,0.5051238536834717
