,when,economic,inequality,is,smaller,",",more,waste,and,pollution,is,?
the,0.5091903209686279,0.282455176115036,0.23508106172084808,0.5823672413825989,0.3588939607143402,0.4933079481124878,0.39758381247520447,0.1971915364265442,0.5171257257461548,0.2658846378326416,0.5823672413825989,0.22068053483963013
smaller,0.27156612277030945,0.1911146342754364,0.15978775918483734,0.22372925281524658,1.0000001192092896,0.24995659291744232,0.40459898114204407,0.15896165370941162,0.3409501612186432,0.2119683176279068,0.22372925281524658,0.17881669104099274
the,0.5091903209686279,0.282455176115036,0.23508106172084808,0.5823672413825989,0.3588939607143402,0.4933079481124878,0.39758381247520447,0.1971915364265442,0.5171257257461548,0.2658846378326416,0.5823672413825989,0.22068053483963013
economic,0.16004443168640137,0.9999999403953552,0.4401332437992096,0.21102669835090637,0.1911146342754364,0.2340485155582428,0.2351950705051422,0.23296841979026794,0.2707010805606842,0.34531575441360474,0.21102669835090637,0.1206481084227562
inequality,0.18042483925819397,0.4401332437992096,1.0000001192092896,0.1953488290309906,0.15978775918483734,0.21822890639305115,0.2623436152935028,0.19902890920639038,0.2590520679950714,0.3554430305957794,0.1953488290309906,0.23619021475315094
",",0.36674630641937256,0.2340485155582428,0.21822890639305115,0.4691906273365021,0.24995659291744232,1.0000001192092896,0.3696524500846863,0.2730517089366913,0.6633074283599854,0.2824518084526062,0.4691906273365021,0.31091248989105225
the,0.5091903209686279,0.282455176115036,0.23508106172084808,0.5823672413825989,0.3588939607143402,0.4933079481124878,0.39758381247520447,0.1971915364265442,0.5171257257461548,0.2658846378326416,0.5823672413825989,0.22068053483963013
more,0.359977662563324,0.2351950705051422,0.2623436152935028,0.2946030795574188,0.40459898114204407,0.3696524500846863,1.0,0.26855748891830444,0.39880692958831787,0.27985286712646484,0.2946030795574188,0.27894994616508484
waste,0.2199251800775528,0.23296841979026794,0.19902890920639038,0.20201261341571808,0.15896165370941162,0.2730517089366913,0.26855748891830444,1.0,0.2120123654603958,0.509136974811554,0.20201261341571808,0.299444317817688
and,0.4716290831565857,0.2707010805606842,0.2590520679950714,0.3859752118587494,0.3409501612186432,0.6633074283599854,0.39880692958831787,0.2120123654603958,1.0,0.2889794111251831,0.3859752118587494,0.20544172823429108
pollution,0.28634312748908997,0.34531575441360474,0.3554430305957794,0.271872878074646,0.2119683176279068,0.2824518084526062,0.27985286712646484,0.509136974811554,0.2889794111251831,1.0,0.271872878074646,0.22070297598838806
is,0.3471449911594391,0.21102669835090637,0.1953488290309906,1.0,0.22372925281524658,0.4691906273365021,0.2946030795574188,0.20201261341571808,0.3859752118587494,0.271872878074646,1.0,0.22961433231830597
created,0.2840147316455841,0.17376670241355896,0.16688893735408783,0.28467464447021484,0.18443265557289124,0.2755771577358246,0.23486116528511047,0.15980951488018036,0.2873832881450653,0.21225298941135406,0.28467464447021484,0.21177415549755096
",",0.36674630641937256,0.2340485155582428,0.21822890639305115,0.4691906273365021,0.24995659291744232,1.0000001192092896,0.3696524500846863,0.2730517089366913,0.6633074283599854,0.2824518084526062,0.4691906273365021,0.31091248989105225
resulting,0.3644998371601105,0.28533855080604553,0.31035488843917847,0.2671727240085602,0.2758523225784302,0.24877792596817017,0.3564983606338501,0.28983038663864136,0.33249855041503906,0.3345702886581421,0.2671727240085602,0.10813049972057343
in,0.4431333839893341,0.22027181088924408,0.19402410089969635,0.5394441485404968,0.2774786055088043,0.5201468467712402,0.32563260197639465,0.1575256586074829,0.4954058527946472,0.2645488381385803,0.5394441485404968,0.20430970191955566
many,0.36563900113105774,0.25956982374191284,0.2845631241798401,0.2649032473564148,0.319895476102829,0.40610817074775696,0.48608261346817017,0.2883928120136261,0.5296266674995422,0.3464607894420624,0.2649032473564148,0.2124512493610382
cases,0.3569336533546448,0.11738912761211395,0.270646870136261,0.2989884912967682,0.2608419358730316,0.25102201104164124,0.3482900559902191,0.1883794367313385,0.31821322441101074,0.29846125841140747,0.2989884912967682,0.25599566102027893
",",0.36674630641937256,0.2340485155582428,0.21822890639305115,0.4691906273365021,0.24995659291744232,1.0000001192092896,0.3696524500846863,0.2730517089366913,0.6633074283599854,0.2824518084526062,0.4691906273365021,0.31091248989105225
in,0.4431333839893341,0.22027181088924408,0.19402410089969635,0.5394441485404968,0.2774786055088043,0.5201468467712402,0.32563260197639465,0.1575256586074829,0.4954058527946472,0.2645488381385803,0.5394441485404968,0.20430970191955566
more,0.359977662563324,0.2351950705051422,0.2623436152935028,0.2946030795574188,0.40459898114204407,0.3696524500846863,1.0,0.26855748891830444,0.39880692958831787,0.27985286712646484,0.2946030795574188,0.27894994616508484
environmental,0.16109579801559448,0.47557303309440613,0.36266228556632996,0.2392110973596573,0.1495227813720703,0.2779713571071625,0.23406770825386047,0.34773632884025574,0.2944156229496002,0.546847939491272,0.2392110973596573,0.19728143513202667
degradation,0.24842128157615662,0.33914992213249207,0.39933207631111145,0.25428637862205505,0.1828029751777649,0.2336040437221527,0.35449060797691345,0.4700857698917389,0.2789612412452698,0.5033619999885559,0.25428637862205505,0.15629176795482635
.,0.475719153881073,0.22435031831264496,0.22563500702381134,0.4569662809371948,0.24807988107204437,0.6812511086463928,0.4070230722427368,0.2470894604921341,0.588965117931366,0.24355308711528778,0.4569662809371948,0.4130953550338745
