,building,construction,is,usually,further,divided,into,what,categories,?
building,0.9999998807907104,0.5609999895095825,0.20087163150310516,0.20271453261375427,0.20398730039596558,0.13502365350723267,0.18066416680812836,0.23529528081417084,0.12012553215026855,0.13549931347370148
construction,0.5609999895095825,1.0,0.2135658711194992,0.2216884046792984,0.20999860763549805,0.1394159495830536,0.11891017109155655,0.20329850912094116,0.13015244901180267,0.13494056463241577
is,0.20087163150310516,0.2135658711194992,1.0,0.4230746626853943,0.13372796773910522,0.2042115330696106,0.2619607150554657,0.28837618231773376,0.19334527850151062,0.22961433231830597
usually,0.20271453261375427,0.2216884046792984,0.4230746626853943,1.0000001192092896,0.1467423439025879,0.256635457277298,0.24252451956272125,0.32521089911460876,0.25505632162094116,0.19435347616672516
further,0.20398730039596558,0.20999860763549805,0.13372796773910522,0.1467423439025879,1.0,0.34246090054512024,0.36193424463272095,0.30867868661880493,0.23574912548065186,0.20960763096809387
divided,0.13502365350723267,0.1394159495830536,0.2042115330696106,0.256635457277298,0.34246090054512024,1.0000001192092896,0.5344434976577759,0.2138991504907608,0.3005444407463074,0.10190024226903915
into,0.18066416680812836,0.11891017109155655,0.2619607150554657,0.24252451956272125,0.36193424463272095,0.5344434976577759,1.0,0.2180619090795517,0.25880515575408936,0.15662476420402527
residential,0.36065441370010376,0.33850225806236267,0.25022104382514954,0.21064415574073792,0.22585417330265045,0.193157359957695,0.20242387056350708,0.09814727306365967,0.15534129738807678,0.08603290468454361
and,0.2593274712562561,0.22762417793273926,0.3859752118587494,0.3817319869995117,0.3426179587841034,0.29203352332115173,0.36597734689712524,0.31309178471565247,0.2893967628479004,0.20544172823429108
non-residential,0.27473315596580505,0.2885994017124176,0.23904074728488922,0.1983778029680252,0.21818362176418304,0.15976469218730927,0.1490422934293747,0.13559283316135406,0.20365194976329803,0.17974258959293365
(,0.17772680521011353,0.16759724915027618,0.35393038392066956,0.19256804883480072,0.22211186587810516,0.203349769115448,0.1606949418783188,0.2411840260028839,0.23118868470191956,0.40561532974243164
commercial/institutional,0.2735462784767151,0.3185572922229767,0.259708434343338,0.24233651161193848,0.17509055137634277,0.17295874655246735,0.14079219102859497,0.2020833045244217,0.20368839800357819,0.1874580830335617
),0.1678667515516281,0.18337155878543854,0.37732169032096863,0.21711577475070953,0.21232472360134125,0.20940186083316803,0.1600802093744278,0.26259949803352356,0.22527344524860382,0.42300865054130554
.,0.275610089302063,0.23682771623134613,0.4569662809371948,0.28580138087272644,0.25690746307373047,0.21858547627925873,0.26250120997428894,0.3567904531955719,0.2311275452375412,0.4130953550338745
