,which,pair,of,genghis,khan,'s,sons,were,most,rivalrous,?
genghis,0.26472097635269165,0.13971860706806183,0.2938849925994873,1.0,0.5896923542022705,0.031423866748809814,0.2966407537460327,0.25783681869506836,0.22644314169883728,0.3122424781322479,0.18813461065292358
khan,0.19211235642433167,0.1562829166650772,0.17124508321285248,0.5896923542022705,1.0,0.05307086929678917,0.2521197199821472,0.12865866720676422,0.15546606481075287,0.12911507487297058,0.12862591445446014
was,0.2830964922904968,0.12873734533786774,0.4069072902202606,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.2263665646314621,0.590133786201477,0.29933857917785645,0.2939481735229492,0.18412111699581146
aware,0.3005562722682953,0.15954375267028809,0.24307499825954437,0.1736253798007965,0.13944761455059052,-0.011739595793187618,0.17384226620197296,0.25059157609939575,0.28133711218833923,0.24264976382255554,0.2840334475040436
of,0.5011631846427917,0.19449220597743988,1.0,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.17722462117671967,0.34038281440734863,0.4178851246833801,0.2695328891277313,0.1826142966747284
the,0.6521818041801453,0.2643369734287262,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.3906462490558624,0.47635307908058167,0.29315805435180664,0.22068053483963013
friction,0.37648463249206543,0.2854044735431671,0.21519047021865845,0.15558330714702606,0.1235949769616127,-0.007197809871286154,0.13547997176647186,0.20895221829414368,0.18178100883960724,0.23183345794677734,0.18292373418807983
between,0.395174115896225,0.2600533366203308,0.3737983703613281,0.1950775384902954,0.10579166561365128,0.006096371449530125,0.10403108596801758,0.27047741413116455,0.24144990742206573,0.3190310597419739,0.12887074053287506
his,0.32283493876457214,0.22723659873008728,0.38364991545677185,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.3316914141178131,0.3142043352127075,0.28864049911499023,0.36659932136535645,0.18075084686279297
sons,0.09716101735830307,0.163778617978096,0.17722462117671967,0.2966407537460327,0.2521197199821472,-0.033577390015125275,1.0,0.2246677279472351,0.165407195687294,0.2103421986103058,0.13006451725959778
(,0.2589828372001648,0.11385253071784973,0.35032153129577637,0.2257842868566513,0.1773909628391266,0.0012731997994706035,0.15359754860401154,0.14743882417678833,0.20654040575027466,0.13086624443531036,0.40561532974243164
particularly,0.4413786828517914,0.1964171975851059,0.30258041620254517,0.13352149724960327,0.12082164734601974,0.0002085742016788572,0.11837538331747055,0.29172655940055847,0.5707136988639832,0.28508636355400085,0.2644225060939789
between,0.395174115896225,0.2600533366203308,0.3737983703613281,0.1950775384902954,0.10579166561365128,0.006096371449530125,0.10403108596801758,0.27047741413116455,0.24144990742206573,0.3190310597419739,0.12887074053287506
