,what,do,high,levels,of,inequality,prevent,beyond,economic,prosperity,?
high,0.20466077327728271,0.15005089342594147,1.0,0.37835693359375,0.2803038954734802,0.22487330436706543,0.20678503811359406,0.220842644572258,0.11984767764806747,0.1548869013786316,0.11137914657592773
levels,0.21641245484352112,0.22495627403259277,0.37835693359375,0.9999998807907104,0.23668165504932404,0.24878159165382385,0.3013288974761963,0.24364951252937317,0.20601317286491394,0.24122624099254608,0.1541307419538498
of,0.33290785551071167,0.26150479912757874,0.2803038954734802,0.23668165504932404,1.0,0.27910974621772766,0.22669163346290588,0.25559017062187195,0.3030148148536682,0.27180835604667664,0.1826142966747284
inequality,0.30072227120399475,0.2117324322462082,0.22487330436706543,0.24878159165382385,0.27910974621772766,1.0000001192092896,0.20718978345394135,0.2742476761341095,0.4401332437992096,0.49428269267082214,0.23619021475315094
prevent,0.2723881006240845,0.32342812418937683,0.20678503811359406,0.3013288974761963,0.22669163346290588,0.20718978345394135,1.0,0.23086212575435638,0.15394186973571777,0.22485411167144775,0.2547389566898346
not,0.5449194312095642,0.6619802713394165,0.2040453404188156,0.2762252390384674,0.3307090103626251,0.30771467089653015,0.39701515436172485,0.31462332606315613,0.15982478857040405,0.197271466255188,0.41942933201789856
just,0.5854880809783936,0.42837050557136536,0.24431602656841278,0.25282883644104004,0.35124439001083374,0.21207210421562195,0.3038485050201416,0.3778461813926697,0.18246431648731232,0.1481977254152298,0.4144178032875061
economic,0.18082544207572937,0.1544588953256607,0.11984767764806747,0.20601317286491394,0.3030148148536682,0.4401332437992096,0.15394186973571777,0.20860208570957184,0.9999999403953552,0.5038740634918213,0.1206481084227562
prosperity,0.20327873528003693,0.0730852335691452,0.1548869013786316,0.24122624099254608,0.27180835604667664,0.49428269267082214,0.22485411167144775,0.30107632279396057,0.5038740634918213,1.0000001192092896,0.1755954772233963
",",0.3087472915649414,0.3283645510673523,0.27938312292099,0.2284579873085022,0.4946078956127167,0.21822890639305115,0.19234955310821533,0.23871807754039764,0.2340485155582428,0.21180105209350586,0.31091248989105225
but,0.5029441118240356,0.4077886939048767,0.20612826943397522,0.21479962766170502,0.39942997694015503,0.2441430538892746,0.31631213426589966,0.30402523279190063,0.18852508068084717,0.20315401256084442,0.27921953797340393
also,0.42747777700424194,0.36242780089378357,0.29454025626182556,0.31840381026268005,0.4924938678741455,0.24501273036003113,0.3121970593929291,0.2003786563873291,0.2673742175102234,0.23836266994476318,0.21848613023757935
the,0.42745697498321533,0.30239659547805786,0.28034812211990356,0.286034494638443,0.733189046382904,0.23508106172084808,0.2841009497642517,0.2982341945171356,0.282455176115036,0.29066985845565796,0.22068053483963013
quality,0.28952741622924805,0.21200363337993622,0.3751361072063446,0.29737842082977295,0.24742498993873596,0.52132248878479,0.21702812612056732,0.29699888825416565,0.24503952264785767,0.38067588210105896,0.23524069786071777
of,0.33290785551071167,0.26150479912757874,0.2803038954734802,0.23668165504932404,1.0,0.27910974621772766,0.22669163346290588,0.25559017062187195,0.3030148148536682,0.27180835604667664,0.1826142966747284
a,0.3320399522781372,0.26237669587135315,0.22865821421146393,0.21465790271759033,0.5052502155303955,0.1783585250377655,0.23738086223602295,0.19179145991802216,0.2234611213207245,0.19126196205615997,0.23916715383529663
country,0.22705033421516418,0.20290088653564453,0.12652596831321716,0.13239769637584686,0.28866857290267944,0.23338274657726288,0.10844425857067108,0.14814843237400055,0.28465786576271057,0.25810831785202026,0.12647280097007751
's,0.02692362666130066,-0.01994597539305687,-0.04658069461584091,0.0031945309601724148,-0.03817026689648628,-0.0032307563815265894,-0.07502911984920502,-0.05698573589324951,0.0034841743763536215,0.031439896672964096,-0.023395681753754616
institutions,0.22018329799175262,0.21752145886421204,0.1807732731103897,0.26218339800834656,0.3371490240097046,0.38825172185897827,0.20031443238258362,0.1809450089931488,0.41504645347595215,0.3444620668888092,0.19119486212730408
and,0.31309178471565247,0.276123583316803,0.2911888659000397,0.2956688106060028,0.5116966962814331,0.2590520679950714,0.27715030312538147,0.2830713093280792,0.2707010805606842,0.29077327251434326,0.20544172823429108
high,0.20466077327728271,0.15005089342594147,1.0,0.37835693359375,0.2803038954734802,0.22487330436706543,0.20678503811359406,0.220842644572258,0.11984767764806747,0.1548869013786316,0.11137914657592773
levels,0.21641245484352112,0.22495627403259277,0.37835693359375,0.9999998807907104,0.23668165504932404,0.24878159165382385,0.3013288974761963,0.24364951252937317,0.20601317286491394,0.24122624099254608,0.1541307419538498
of,0.33290785551071167,0.26150479912757874,0.2803038954734802,0.23668165504932404,1.0,0.27910974621772766,0.22669163346290588,0.25559017062187195,0.3030148148536682,0.27180835604667664,0.1826142966747284
education,0.19940856099128723,0.18523280322551727,0.32903406023979187,0.2604914605617523,0.3015166223049164,0.4061594307422638,0.14034810662269592,0.1723080277442932,0.3367733955383301,0.36560752987861633,0.18067774176597595
.,0.3567904531955719,0.3613996207714081,0.24301011860370636,0.24042059481143951,0.5352458953857422,0.22563500702381134,0.24685528874397278,0.22505615651607513,0.22435031831264496,0.18124070763587952,0.4130953550338745
