,what,are,chromoplasts,?
chloroplasts,0.2524593770503998,0.3103833794593811,0.8183174729347229,0.13049766421318054
may,0.25739946961402893,0.3162533640861511,0.25509917736053467,0.2768254578113556
be,0.3929833769798279,0.5556803941726685,0.3213147521018982,0.3324260413646698
converted,0.1663769781589508,0.17297975718975067,0.11976771801710129,0.12743066251277924
to,0.455847829580307,0.3504326641559601,0.2172943502664566,0.29463258385658264
chromoplasts,0.23792773485183716,0.35053589940071106,0.9999998807907104,0.17462116479873657
",",0.3087472915649414,0.4062570035457611,0.21572354435920715,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.3972768187522888,0.25814583897590637
are,0.29724663496017456,1.0,0.35053589940071106,0.24591213464736938
pigment-filled,0.23793759942054749,0.29757705330848694,0.5382159948348999,0.24800382554531097
plastids,0.2400681972503662,0.4396801292896271,0.7108514308929443,0.18791453540325165
responsible,0.26869386434555054,0.2889936864376068,0.22529028356075287,0.11367333680391312
for,0.3017193675041199,0.3895993232727051,0.22934482991695404,0.264628142118454
the,0.42745697498321533,0.40399202704429626,0.2144860029220581,0.22068053483963013
bright,0.22715561091899872,0.2936842143535614,0.3721311390399933,0.18864305317401886
colors,0.2215159684419632,0.2930568754673004,0.30816754698753357,0.18779070675373077
seen,0.3087027072906494,0.3265171945095062,0.1988385021686554,0.2567344307899475
in,0.30808621644973755,0.3841303884983063,0.2088850885629654,0.20430970191955566
flowers,0.17003722488880157,0.2801878750324249,0.34024131298065186,0.16313545405864716
and,0.31309178471565247,0.48576638102531433,0.2029333859682083,0.20544172823429108
ripe,0.23249271512031555,0.28261977434158325,0.30662140250205994,0.19485627114772797
fruit,0.2168692946434021,0.23709113895893097,0.3550463020801544,0.1462816745042801
.,0.3567904531955719,0.3452940285205841,0.24169176816940308,0.4130953550338745
