,who,invited,washington,to,dine,with,him,?
jacques,0.21727219223976135,0.08426284044981003,0.14640508592128754,0.13058118522167206,0.15612302720546722,0.1703607738018036,0.16924645006656647,0.091473288834095
legardeur,0.2889319658279419,0.238979771733284,0.2012709081172943,0.12627346813678741,0.16385312378406525,0.20041808485984802,0.21076352894306183,0.2165062129497528
de,0.18189555406570435,0.12051372230052948,0.17582154273986816,0.15903331339359283,0.06550981104373932,0.18490396440029144,0.18148644268512726,0.11064168810844421
saint-pierre,0.23611855506896973,0.11493576318025589,0.25379306077957153,0.20305363833904266,0.2187793254852295,0.18711508810520172,0.20954175293445587,0.22262676060199738
",",0.3365725874900818,0.23602581024169922,0.25230398774147034,0.44245919585227966,0.22269617021083832,0.4120737314224243,0.31121695041656494,0.31091248989105225
who,0.9999998807907104,0.3740473985671997,0.19577515125274658,0.42656609416007996,0.20254889130592346,0.3282766342163086,0.5491244792938232,0.26220351457595825
succeeded,0.1867470145225525,0.25762566924095154,0.1502295881509781,0.18760520219802856,0.19126994907855988,0.19573566317558289,0.27770110964775085,0.12414717674255371
marin,0.15557821094989777,0.0906406044960022,0.20890724658966064,0.14342492818832397,0.2465076893568039,0.10891445726156235,0.16720978915691376,0.06336981058120728
as,0.3923053741455078,0.20931749045848846,0.14071886241436005,0.42092081904411316,0.2666199505329132,0.40387406945228577,0.3072648346424103,0.27043893933296204
commander,0.24657247960567474,0.18780727684497833,0.1716056764125824,0.18283602595329285,0.10056687146425247,0.11787339299917221,0.29456573724746704,0.2315494865179062
of,0.2827862501144409,0.18827776610851288,0.18197377026081085,0.41548454761505127,0.11279457807540894,0.41827285289764404,0.2764812409877777,0.1826142966747284
the,0.3733934462070465,0.2247852087020874,0.24987076222896576,0.535392165184021,0.16655965149402618,0.4223487675189972,0.39213326573371887,0.22068053483963013
french,0.2756427824497223,0.16513453423976898,0.2037568986415863,0.1713797152042389,0.11791347712278366,0.1637353003025055,0.16116094589233398,0.1386883556842804
forces,0.2532956302165985,0.13201302289962769,0.16935880482196808,0.2581802308559418,0.09615609794855118,0.18998397886753082,0.20664843916893005,0.16984491050243378
after,0.32549580931663513,0.2827405631542206,0.21910083293914795,0.37890323996543884,0.2085118591785431,0.33843478560447693,0.41209572553634644,0.16608688235282898
the,0.3733934462070465,0.2247852087020874,0.24987076222896576,0.535392165184021,0.16655965149402618,0.4223487675189972,0.39213326573371887,0.22068053483963013
latter,0.2628699243068695,0.11413126438856125,0.11516361683607101,0.283441424369812,0.08026904612779617,0.2930402457714081,0.2282141149044037,0.12733961641788483
died,0.2688716650009155,0.25739845633506775,0.16678230464458466,0.15773509442806244,0.2055228054523468,0.1300765573978424,0.2680225372314453,0.15254227817058563
on,0.2340552806854248,0.2193424254655838,0.24410521984100342,0.41031414270401,0.130975604057312,0.40749499201774597,0.2697460651397705,0.2714994251728058
october,0.2386598140001297,0.20477789640426636,0.20551656186580658,0.23106063902378082,0.1319507658481598,0.18983426690101624,0.2140152007341385,0.29706719517707825
29,0.3365839719772339,0.3177851438522339,0.29893800616264343,0.3399474024772644,0.28769540786743164,0.3476409614086151,0.33797481656074524,0.38368016481399536
",",0.3365725874900818,0.23602581024169922,0.25230398774147034,0.44245919585227966,0.22269617021083832,0.4120737314224243,0.31121695041656494,0.31091248989105225
invited,0.3740473985671997,1.0000001192092896,0.18526579439640045,0.3062288761138916,0.16109199821949005,0.2681558430194855,0.3753417730331421,0.15199494361877441
washington,0.19577515125274658,0.18526579439640045,1.0,0.24971476197242737,0.1410992294549942,0.1870277225971222,0.26003268361091614,0.157786026597023
to,0.42656609416007996,0.3062288761138916,0.24971476197242737,1.0,0.13507767021656036,0.4239959120750427,0.4702378511428833,0.29463258385658264
dine,0.20254889130592346,0.16109199821949005,0.1410992294549942,0.13507767021656036,1.0,0.22733034193515778,0.20154117047786713,0.22246494889259338
with,0.3282766342163086,0.2681558430194855,0.1870277225971222,0.4239959120750427,0.22733034193515778,0.9999999403953552,0.30843743681907654,0.2433311939239502
him,0.5491244792938232,0.3753417730331421,0.26003268361091614,0.4702378511428833,0.20154117047786713,0.30843743681907654,1.0,0.23943768441677094
.,0.3541337847709656,0.24916067719459534,0.285391241312027,0.4645031690597534,0.25862637162208557,0.4446153938770294,0.30228540301322937,0.4130953550338745
