,what,idea,was,tesla,a,fan,of,?
tesla,0.23221199214458466,0.2329312264919281,0.16455206274986267,0.9999999403953552,0.2211925983428955,0.14089077711105347,0.18837453424930573,0.10250775516033173
",",0.3087472915649414,0.22699743509292603,0.45456063747406006,0.20599327981472015,0.427140474319458,0.17242316901683807,0.4946078956127167,0.31091248989105225
like,0.4320242702960968,0.39351367950439453,0.19745829701423645,0.1296512633562088,0.38655611872673035,0.31303200125694275,0.3244853615760803,0.3268813192844391
many,0.36131182312965393,0.33048930764198303,0.260356068611145,0.15282970666885376,0.2872205972671509,0.1753210872411728,0.37253960967063904,0.2124512493610382
of,0.33290785551071167,0.2342950403690338,0.4069072902202606,0.18837453424930573,0.5052502155303955,0.15768620371818542,1.0,0.1826142966747284
his,0.26976513862609863,0.23131534457206726,0.4405253231525421,0.1580733060836792,0.3497250974178314,0.14584773778915405,0.38364991545677185,0.18075084686279297
era,0.18199029564857483,0.1401035487651825,0.24523797631263733,0.18346242606639862,0.1276342272758484,0.14355231821537018,0.20396220684051514,0.14369545876979828
",",0.3087472915649414,0.22699743509292603,0.45456063747406006,0.20599327981472015,0.427140474319458,0.17242316901683807,0.4946078956127167,0.31091248989105225
became,0.1434093862771988,0.209406316280365,0.6575068235397339,0.12976884841918945,0.28774285316467285,0.18792204558849335,0.3638904094696045,0.11374033987522125
a,0.3320399522781372,0.3483608067035675,0.4508470594882965,0.2211925983428955,1.0,0.2611137330532074,0.5052502155303955,0.23916715383529663
proponent,0.22260582447052002,0.4852563142776489,0.32684126496315,0.28718820214271545,0.2482132762670517,0.11564379930496216,0.27180153131484985,0.19390621781349182
of,0.33290785551071167,0.2342950403690338,0.4069072902202606,0.18837453424930573,0.5052502155303955,0.15768620371818542,1.0,0.1826142966747284
an,0.2821882665157318,0.1786234825849533,0.3694365322589874,0.13714656233787537,0.44552403688430786,0.1752629429101944,0.32280945777893066,0.19793890416622162
imposed,0.26510581374168396,0.23389077186584473,0.21521566808223724,0.1473666876554489,0.1787574738264084,0.06273140758275986,0.28079909086227417,0.1671440154314041
selective,0.25354740023612976,0.3128920793533325,0.13098369538784027,0.14777597784996033,0.22717119753360748,0.07670470327138901,0.2604750692844391,0.20934052765369415
breeding,0.17367781698703766,0.1472403109073639,0.15770696103572845,0.0660107433795929,0.23310378193855286,0.08788491785526276,0.2380329817533493,0.14514221251010895
version,0.20755547285079956,0.26320189237594604,0.297456830739975,0.18806661665439606,0.27132871747016907,0.16636817157268524,0.14166875183582306,0.2573966085910797
of,0.33290785551071167,0.2342950403690338,0.4069072902202606,0.18837453424930573,0.5052502155303955,0.15768620371818542,1.0,0.1826142966747284
eugenics,0.2539224922657013,0.4224737286567688,0.2861129641532898,0.2975693345069885,0.21078576147556305,0.17936454713344574,0.2770594358444214,0.14530049264431
.,0.3567904531955719,0.26084083318710327,0.40146201848983765,0.17949827015399933,0.50484299659729,0.23113077878952026,0.5352458953857422,0.4130953550338745
