,what,brought,the,downfall,of,jacksonville,filmmaking,?
however,0.4480680823326111,0.34409332275390625,0.49814513325691223,0.3232807517051697,0.3800618350505829,0.2493833303451538,0.2832797169685364,0.2152075469493866
",",0.3087472915649414,0.30810219049453735,0.4933079481124878,0.2512032091617584,0.4946078956127167,0.2837527096271515,0.281174898147583,0.31091248989105225
the,0.42745697498321533,0.32700833678245544,1.0,0.36360251903533936,0.733189046382904,0.2176690250635147,0.2625097334384918,0.22068053483963013
emergence,0.26110875606536865,0.18388870358467102,0.2610148787498474,0.20617341995239258,0.26214295625686646,0.14299215376377106,0.2088344395160675,0.14006496965885162
of,0.33290785551071167,0.3339962065219879,0.733189046382904,0.35622546076774597,1.0,0.23084138333797455,0.2640645503997803,0.1826142966747284
hollywood,0.15446072816848755,0.0824853926897049,0.21118220686912537,0.20444025099277496,0.19111904501914978,0.2955927848815918,0.43270114064216614,0.16076789796352386
as,0.31749409437179565,0.2719915211200714,0.48381632566452026,0.22911132872104645,0.3886612355709076,0.20988665521144867,0.24259907007217407,0.27043893933296204
a,0.3320399522781372,0.2422461211681366,0.5829201340675354,0.20833098888397217,0.5052502155303955,0.28008249402046204,0.2638077139854431,0.23916715383529663
major,0.21026742458343506,0.2687340974807739,0.31775903701782227,0.1835506409406662,0.2641255557537079,0.19896230101585388,0.15818490087985992,0.19788557291030884
film,0.17437689006328583,0.1279003620147705,0.2824619710445404,0.147811621427536,0.22166931629180908,0.17442253232002258,0.6145449280738831,0.16369038820266724
production,0.16636081039905548,0.13648831844329834,0.2657334506511688,0.223829448223114,0.1928233802318573,0.09861137717962265,0.3889566957950592,0.19318072497844696
center,0.1908310204744339,0.1305777132511139,0.29064592719078064,0.0896039754152298,0.24526838958263397,0.2954094707965851,0.18081864714622498,0.12538520991802216
ended,0.1532270610332489,0.2793757915496826,0.3356485068798065,0.3585333228111267,0.27636510133743286,0.23838971555233002,0.23464374244213104,0.15429291129112244
the,0.42745697498321533,0.32700833678245544,1.0,0.36360251903533936,0.733189046382904,0.2176690250635147,0.2625097334384918,0.22068053483963013
city,0.17493832111358643,0.1902494579553604,0.35769423842430115,0.19136863946914673,0.32503411173820496,0.3285287022590637,0.17270298302173615,0.13423943519592285
's,0.02692362666130066,-0.03164028376340866,-0.01540423184633255,-0.02579941228032112,-0.03817026689648628,0.02280956320464611,0.006185163278132677,-0.023395681753754616
film,0.17437689006328583,0.1279003620147705,0.2824619710445404,0.147811621427536,0.22166931629180908,0.17442253232002258,0.6145449280738831,0.16369038820266724
industry,0.1966298520565033,0.19657915830612183,0.26942890882492065,0.2035074681043625,0.27385562658309937,0.13370729982852936,0.4111860394477844,0.11813290417194366
.,0.3567904531955719,0.31484454870224,0.5934505462646484,0.2377312183380127,0.5352458953857422,0.2843366861343384,0.23418456315994263,0.4130953550338745
