,what,did,the,popularity,of,luther,'s,translation,contribute,to,?
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.25581493973731995,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.20053249597549438,0.26920828223228455,0.42092081904411316,0.27043893933296204
such,0.23989605903625488,0.24497397243976593,0.3575236201286316,0.23737947642803192,0.3209529519081116,0.09043191373348236,0.05073437839746475,0.1887187957763672,0.2244042456150055,0.2871878743171692,0.17851735651493073
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.24107298254966736,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.2429160475730896,0.24528558552265167,0.44245919585227966,0.31091248989105225
it,0.45803478360176086,0.2993364930152893,0.6251175999641418,0.26146769523620605,0.38761502504348755,0.15365919470787048,0.06608816236257553,0.2212449461221695,0.24947181344032288,0.513711154460907,0.25732165575027466
made,0.23419176042079926,0.3068731725215912,0.3885267674922943,0.15451505780220032,0.33167365193367004,0.15519264340400696,0.08483956009149551,0.13104674220085144,0.21656164526939392,0.3377571105957031,0.17218779027462006
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.23447343707084656,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.21946357190608978,0.25255072116851807,0.45503583550453186,0.23916715383529663
significant,0.24268144369125366,0.25824496150016785,0.35524800419807434,0.2943421006202698,0.318554162979126,0.11619604378938675,-0.022819485515356064,0.1528032273054123,0.3588170111179352,0.27648770809173584,0.18679562211036682
contribution,0.29450732469558716,0.19451215863227844,0.2536572813987732,0.31803563237190247,0.28197336196899414,0.06842982769012451,-0.026758063584566116,0.29700595140457153,0.7157081961631775,0.24681776762008667,0.2527717649936676
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.22046558558940887,0.41548454761505127,0.18029534816741943,0.03782717138528824,0.16402019560337067,0.36610767245292664,1.0,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,1.0,0.24727706611156464,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.26402729749679565,0.21503010392189026,0.535392165184021,0.22068053483963013
evolution,0.2432696372270584,0.1974768042564392,0.2514035999774933,0.22265687584877014,0.23780936002731323,0.21548865735530853,-0.047021955251693726,0.24744653701782227,0.2303515523672104,0.19031725823879242,0.26797422766685486
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.20717091858386993,1.0,0.1719115972518921,-0.03817026689648628,0.18704865872859955,0.22662346065044403,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.24727706611156464,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.26402729749679565,0.21503010392189026,0.535392165184021,0.22068053483963013
german,0.1960553526878357,0.2048940509557724,0.256483793258667,0.13807711005210876,0.2122138887643814,0.28169330954551697,0.07066776603460312,0.19319815933704376,0.17055249214172363,0.15143753588199615,0.13978645205497742
language,0.28220435976982117,0.1788339912891388,0.30198320746421814,0.17701829969882965,0.25272229313850403,0.12746912240982056,-0.03558342531323433,0.40156617760658264,0.2539048194885254,0.2763397693634033,0.25349316000938416
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.25298577547073364,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.2206902801990509,0.25385749340057373,0.48971283435821533,0.20544172823429108
literature,0.22505109012126923,0.128226175904274,0.2611817419528961,0.24372358620166779,0.25150051712989807,0.08747438341379166,0.017960142344236374,0.3817649185657501,0.25415900349617004,0.19063922762870789,0.2043706774711609
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.24807576835155487,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.2109805941581726,0.26095086336135864,0.4645031690597534,0.4130953550338745
