,what,was,tymnet
tymnet,0.22110024094581604,0.2833113968372345,0.9999999403953552
was,0.22111038863658905,1.0000001192092896,0.2833113968372345
an,0.2821882665157318,0.3694365322589874,0.2221151739358902
international,0.10870302468538284,0.22185437381267548,0.17426198720932007
data,0.23453554511070251,0.10802177339792252,0.2152608335018158
communications,0.18950708210468292,0.2137834131717682,0.26333820819854736
network,0.16917307674884796,0.1994880586862564,0.30985820293426514
headquartered,0.1961720734834671,0.26655545830726624,0.11406582593917847
in,0.30808621644973755,0.45514053106307983,0.24898186326026917
san,0.19375550746917725,0.2675222158432007,0.18563488125801086
jose,0.14773352444171906,0.2613803744316101,0.16134074330329895
",",0.3087472915649414,0.45456063747406006,0.38123902678489685
ca,0.17557676136493683,0.15224440395832062,0.2769811451435089
that,0.6297725439071655,0.33670201897621155,0.28914669156074524
utilized,0.19048070907592773,0.17620034515857697,0.21419793367385864
virtual,0.17652173340320587,0.15467560291290283,0.207347571849823
call,0.3242133855819702,0.16074088215827942,0.18070226907730103
packet,0.2392171323299408,0.12248827517032623,0.29157304763793945
switched,0.1686895191669464,0.2539066970348358,0.24740992486476898
technology,0.1940862536430359,0.20640774071216583,0.23325006663799286
and,0.31309178471565247,0.3740963041782379,0.3603062927722931
used,0.27546408772468567,0.23679393529891968,0.262147456407547
x.25,0.16212259232997894,0.03781469911336899,0.08557096123695374
",",0.3087472915649414,0.45456063747406006,0.38123902678489685
sna/sdlc,0.2363840639591217,0.14451786875724792,0.3945607841014862
",",0.3087472915649414,0.45456063747406006,0.38123902678489685
bsc,0.14763283729553223,0.28317776322364807,0.21248044073581696
and,0.31309178471565247,0.3740963041782379,0.3603062927722931
ascii,0.24079330265522003,0.12916235625743866,0.3362984359264374
interfaces,0.2277219593524933,0.09913843125104904,0.358555406332016
to,0.455847829580307,0.3636345863342285,0.2631687521934509
connect,0.21411117911338806,0.1543697714805603,0.23782563209533691
host,0.12779991328716278,0.16720354557037354,0.1660543829202652
computers,0.3057560622692108,0.18774448335170746,0.31412824988365173
(,0.2411840260028839,0.2980341613292694,0.3540246784687042
servers,0.23005419969558716,0.17362245917320251,0.2985706031322479
),0.26259949803352356,0.3267642855644226,0.3654130697250366
at,0.2838611304759979,0.36707764863967896,0.3356589376926422
thousands,0.2399357110261917,0.12934128940105438,0.19646115601062775
of,0.33290785551071167,0.4069072902202606,0.2981935143470764
large,0.2017821967601776,0.21717436611652374,0.15474256873130798
companies,0.20801754295825958,0.1954081952571869,0.17950870096683502
",",0.3087472915649414,0.45456063747406006,0.38123902678489685
educational,0.2158561795949936,0.21685883402824402,0.23799234628677368
institutions,0.22018329799175262,0.20505627989768982,0.22587457299232483
",",0.3087472915649414,0.45456063747406006,0.38123902678489685
and,0.31309178471565247,0.3740963041782379,0.3603062927722931
government,0.28074538707733154,0.2995857298374176,0.1674432009458542
agencies,0.2035544514656067,0.1450943499803543,0.11477921158075333
.,0.3567904531955719,0.40146201848983765,0.3561079204082489
