,who,was,the,most,widely,read,writer,of,his,generation,?
luther,0.21013082563877106,0.19185513257980347,0.1759674996137619,0.07516884058713913,0.1059485599398613,0.14123907685279846,0.19720616936683655,0.1719115972518921,0.27093374729156494,0.11794000118970871,0.1732746809720993
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.3025229275226593,0.20066320896148682,0.29712387919425964,0.4069072902202606,0.4405253231525421,0.2064366340637207,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,1.0,0.47635307908058167,0.29394426941871643,0.25299927592277527,0.1583879292011261,0.733189046382904,0.4394008219242096,0.26573610305786133,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.47635307908058167,1.0,0.49901100993156433,0.2523227632045746,0.15262846648693085,0.4178851246833801,0.28864049911499023,0.2290399968624115,0.2107497900724411
widely,0.19227448105812073,0.3025229275226593,0.29394426941871643,0.49901100993156433,1.0000001192092896,0.3185589909553528,0.20090819895267487,0.22028475999832153,0.249346524477005,0.2672702670097351,0.10354958474636078
read,0.28330934047698975,0.20066320896148682,0.25299927592277527,0.2523227632045746,0.3185589909553528,1.0,0.30199986696243286,0.16905911266803741,0.16718733310699463,0.16171672940254211,0.30917879939079285
author,0.23989170789718628,0.23446185886859894,0.199458509683609,0.0959240198135376,0.21595419943332672,0.29423707723617554,0.7233675718307495,0.18473520874977112,0.27145451307296753,0.13554362952709198,0.14162757992744446
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.4178851246833801,0.22028475999832153,0.16905911266803741,0.14383116364479065,1.0,0.38364991545677185,0.23948384821414948,0.1826142966747284
his,0.44966956973075867,0.4405253231525421,0.4394008219242096,0.28864049911499023,0.249346524477005,0.16718733310699463,0.2610515058040619,0.38364991545677185,0.9999998807907104,0.16615279018878937,0.18075084686279297
generation,0.18598337471485138,0.2064366340637207,0.26573610305786133,0.2290399968624115,0.2672702670097351,0.16171672940254211,0.1373622715473175,0.23948384821414948,0.16615279018878937,1.0000001192092896,0.18250396847724915
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.2983349859714508,0.26081135869026184,0.2910175621509552,0.4946078956127167,0.3378419280052185,0.2031247764825821,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.4309377074241638,0.2914178967475891,0.23960065841674805,0.2668316066265106,0.5116966962814331,0.4234102666378021,0.23469051718711853,0.20544172823429108
within,0.18261831998825073,0.19280311465263367,0.39827480912208557,0.2788230776786804,0.20300191640853882,0.11706776916980743,0.12022199481725693,0.39594778418540955,0.18191580474376678,0.15070201456546783,0.1870293766260147
germany,0.2021419107913971,0.2618768811225891,0.3181285262107849,0.2064732164144516,0.17187827825546265,0.1205170527100563,0.1255950778722763,0.2942050099372864,0.25163260102272034,0.15941022336483002,0.1388660967350006
he,0.5500732064247131,0.5410010814666748,0.4571082592010498,0.3050929605960846,0.25353553891181946,0.18080532550811768,0.31556791067123413,0.38706058263778687,0.7171558737754822,0.16570299863815308,0.2089974731206894
acquired,0.167435422539711,0.20753280818462372,0.22202405333518982,0.16135600209236145,0.11889614164829254,0.13280320167541504,0.0775166004896164,0.20385384559631348,0.2161971628665924,0.25167593359947205,0.09366346150636673
the,0.3733934462070465,0.48711544275283813,1.0,0.47635307908058167,0.29394426941871643,0.25299927592277527,0.1583879292011261,0.733189046382904,0.4394008219242096,0.26573610305786133,0.22068053483963013
status,0.16934463381767273,0.18093566596508026,0.23601171374320984,0.1692272275686264,0.10839693248271942,0.15687605738639832,0.08711986988782883,0.20139996707439423,0.143550843000412,0.1167217418551445,0.16403266787528992
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.4178851246833801,0.22028475999832153,0.16905911266803741,0.14383116364479065,1.0,0.38364991545677185,0.23948384821414948,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.3508910834789276,0.25288406014442444,0.23249761760234833,0.2671267092227936,0.5052502155303955,0.3497250974178314,0.19374467432498932,0.23916715383529663
prophet,0.30343180894851685,0.21951255202293396,0.19251945614814758,0.1869611144065857,0.1937628835439682,0.24095778167247772,0.24102210998535156,0.1674121618270874,0.2844468653202057,0.2515491545200348,0.22816047072410583
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.35404038429260254,0.2204076051712036,0.28855186700820923,0.1906910538673401,0.5352458953857422,0.3119256794452667,0.2710578441619873,0.4130953550338745
