,what,is,tertiary,education,?
generally,0.40614598989486694,0.4094115197658539,0.3207765221595764,0.18290089070796967,0.23411904275417328
",",0.3087472915649414,0.4691906273365021,0.19413137435913086,0.2718683183193207,0.31091248989105225
education,0.19940856099128723,0.18778188526630402,0.3411751091480255,1.0,0.18067774176597595
in,0.30808621644973755,0.5394441485404968,0.22423051297664642,0.2654339671134949,0.20430970191955566
australia,0.1913539320230484,0.1734699010848999,0.16600556671619415,0.18532110750675201,0.15702682733535767
follows,0.28637656569480896,0.3465309739112854,0.18549896776676178,0.1532783806324005,0.16897420585155487
the,0.42745697498321533,0.5823672413825989,0.24001607298851013,0.23982903361320496,0.22068053483963013
three-tier,0.22210615873336792,0.22671997547149658,0.14965999126434326,0.19161944091320038,0.18743960559368134
model,0.2303347885608673,0.21612800657749176,0.12459491938352585,0.1450279951095581,0.14843042194843292
which,0.5261979103088379,0.4457404911518097,0.3181474804878235,0.1723235547542572,0.25814583897590637
includes,0.17138352990150452,0.4033885896205902,0.19034264981746674,0.14516983926296234,0.14011523127555847
primary,0.2113915979862213,0.23824772238731384,0.5094771981239319,0.3644731044769287,0.16286636888980865
education,0.19940856099128723,0.18778188526630402,0.3411751091480255,1.0,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.18941091001033783,0.1691931039094925,0.40561532974243164
primary,0.2113915979862213,0.23824772238731384,0.5094771981239319,0.3644731044769287,0.16286636888980865
schools,0.1820785105228424,0.2022145688533783,0.2754591703414917,0.6035618185997009,0.18349280953407288
),0.26259949803352356,0.37732169032096863,0.1981774866580963,0.19257274270057678,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.19413137435913086,0.2718683183193207,0.31091248989105225
followed,0.20169416069984436,0.19759002327919006,0.2266828566789627,0.10948627442121506,0.20567169785499573
by,0.2455483376979828,0.3899846076965332,0.15415602922439575,0.18719787895679474,0.17966607213020325
secondary,0.20388361811637878,0.19772830605506897,0.5652426481246948,0.4472634196281433,0.18118004500865936
education,0.19940856099128723,0.18778188526630402,0.3411751091480255,1.0,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.18941091001033783,0.1691931039094925,0.40561532974243164
secondary,0.20388361811637878,0.19772830605506897,0.5652426481246948,0.4472634196281433,0.18118004500865936
schools/high,0.3400546610355377,0.2563009262084961,0.3095804452896118,0.6028310656547546,0.36289680004119873
schools,0.1820785105228424,0.2022145688533783,0.2754591703414917,0.6035618185997009,0.18349280953407288
),0.26259949803352356,0.37732169032096863,0.1981774866580963,0.19257274270057678,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.2131887823343277,0.308173805475235,0.20544172823429108
tertiary,0.2784169018268585,0.19000156223773956,1.0,0.3411751091480255,0.2581363916397095
education,0.19940856099128723,0.18778188526630402,0.3411751091480255,1.0,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.18941091001033783,0.1691931039094925,0.40561532974243164
universities,0.1630716770887375,0.2421088069677353,0.27241337299346924,0.4975728690624237,0.16836881637573242
and/or,0.26439139246940613,0.1926940530538559,0.27365604043006897,0.12578324973583221,0.24081800878047943
tafe,0.16639594733715057,0.24837470054626465,0.1845577359199524,0.41742679476737976,0.17468518018722534
colleges,0.19657261669635773,0.20791567862033844,0.25997674465179443,0.5139620900154114,0.15586905181407928
),0.26259949803352356,0.37732169032096863,0.1981774866580963,0.19257274270057678,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.2318733185529709,0.27047446370124817,0.4130953550338745
