,who,directed,luther,away,from,self-reflection,and,towards,the,merits,of,christ,?
he,0.5500732064247131,0.14907824993133545,0.2454872578382492,0.2428722232580185,0.3314535319805145,0.21068520843982697,0.45427167415618896,0.1999696046113968,0.4571082592010498,0.2983880341053009,0.38706058263778687,0.25450852513313293,0.2089974731206894
said,0.391315758228302,0.20169518887996674,0.1821773499250412,0.2086925506591797,0.23566637933254242,0.21147406101226807,0.2940692901611328,0.15968361496925354,0.3024602234363556,0.3081520199775696,0.29014745354652405,0.2342967838048935,0.28991883993148804
",",0.3365725874900818,0.2004583775997162,0.23255878686904907,0.24632208049297333,0.39760664105415344,0.2761162221431732,0.6633074283599854,0.2550581693649292,0.4933079481124878,0.3219752907752991,0.4946078956127167,0.22404725849628448,0.31091248989105225
``,0.02397952415049076,-0.056960463523864746,-0.013964727520942688,-0.03152988851070404,0.02677825279533863,-0.11834361404180527,0.036644238978624344,0.010755262337625027,0.029072100296616554,0.07713988423347473,0.06780257821083069,0.07835227996110916,0.0685480609536171
i,0.33545589447021484,0.18572667241096497,0.232476145029068,0.18262045085430145,0.1677764356136322,0.19774632155895233,0.31928038597106934,0.16633176803588867,0.26687872409820557,0.38388651609420776,0.25849398970603943,0.19928662478923798,0.4695145785808563
lost,0.2206452637910843,0.2101750671863556,0.21155111491680145,0.2823181748390198,0.257583886384964,0.2546696066856384,0.25558507442474365,0.13615120947360992,0.3376973867416382,0.09064318239688873,0.2878951132297516,0.19151757657527924,0.15261413156986237
touch,0.153248131275177,0.11277575045824051,0.11389469355344772,0.18407663702964783,0.20122931897640228,0.2582447826862335,0.309447318315506,0.17467522621154785,0.22042299807071686,0.25498685240745544,0.18757231533527374,0.21776965260505676,0.21477574110031128
with,0.3282766342163086,0.17839601635932922,0.14705438911914825,0.21399961411952972,0.26272761821746826,0.24933035671710968,0.5477725267410278,0.25315994024276733,0.4223487675189972,0.1959560215473175,0.41827285289764404,0.1424454152584076,0.2433311939239502
christ,0.20049211382865906,0.1868855208158493,0.2758595049381256,0.1056436076760292,0.1943579465150833,0.25949662923812866,0.15450161695480347,0.13629625737667084,0.25124865770339966,0.2967684864997864,0.27289092540740967,0.9999999403953552,0.13772203028202057
the,0.3733934462070465,0.21284286677837372,0.1759674996137619,0.29030847549438477,0.40150508284568787,0.30163905024528503,0.5171257257461548,0.31815874576568604,1.0,0.33670660853385925,0.733189046382904,0.25124865770339966,0.22068053483963013
savior,0.28605180978775024,0.20966178178787231,0.19702358543872833,0.22734318673610687,0.15679693222045898,0.3041229844093323,0.23191510140895844,0.28868597745895386,0.3455318510532379,0.2936764061450958,0.3142027258872986,0.5140536427497864,0.17049013078212738
and,0.41279885172843933,0.229026198387146,0.20796556770801544,0.3249220848083496,0.3601827025413513,0.26188981533050537,1.0,0.32443711161613464,0.5171257257461548,0.2401362955570221,0.5116966962814331,0.15450161695480347,0.20544172823429108
comforter,0.3785039484500885,0.17034602165222168,0.20309749245643616,0.2736448645591736,0.14859309792518616,0.29194098711013794,0.31496864557266235,0.23805397748947144,0.21679279208183289,0.22662420570850372,0.20728132128715515,0.20249180495738983,0.18877795338630676
",",0.3365725874900818,0.2004583775997162,0.23255878686904907,0.24632208049297333,0.39760664105415344,0.2761162221431732,0.6633074283599854,0.2550581693649292,0.4933079481124878,0.3219752907752991,0.4946078956127167,0.22404725849628448,0.31091248989105225
and,0.41279885172843933,0.229026198387146,0.20796556770801544,0.3249220848083496,0.3601827025413513,0.26188981533050537,1.0,0.32443711161613464,0.5171257257461548,0.2401362955570221,0.5116966962814331,0.15450161695480347,0.20544172823429108
made,0.2576322853565216,0.24143201112747192,0.15519264340400696,0.18138793110847473,0.23003742098808289,0.21055862307548523,0.34954607486724854,0.12030001729726791,0.3885267674922943,0.23457007110118866,0.33167365193367004,0.11443162709474564,0.17218779027462006
of,0.2827862501144409,0.14901293814182281,0.1719115972518921,0.2156001329421997,0.4249346852302551,0.3056609630584717,0.5116966962814331,0.26409703493118286,0.733189046382904,0.3280848264694214,1.0,0.27289092540740967,0.1826142966747284
him,0.5491244792938232,0.15620486438274384,0.25429821014404297,0.3253568112850189,0.2413332462310791,0.21499544382095337,0.35759612917900085,0.19596263766288757,0.39213326573371887,0.3283850848674774,0.2764812409877777,0.27225443720817566,0.23943768441677094
the,0.3733934462070465,0.21284286677837372,0.1759674996137619,0.29030847549438477,0.40150508284568787,0.30163905024528503,0.5171257257461548,0.31815874576568604,1.0,0.33670660853385925,0.733189046382904,0.25124865770339966,0.22068053483963013
jailer,0.27127641439437866,0.18661043047904968,0.2949317395687103,0.1286713033914566,0.11551690101623535,0.13818396627902985,0.2120138704776764,0.06296176463365555,0.18657325208187103,0.13416853547096252,0.12458523362874985,0.21549728512763977,0.18393896520137787
and,0.41279885172843933,0.229026198387146,0.20796556770801544,0.3249220848083496,0.3601827025413513,0.26188981533050537,1.0,0.32443711161613464,0.5171257257461548,0.2401362955570221,0.5116966962814331,0.15450161695480347,0.20544172823429108
hangman,0.23543569445610046,0.23672538995742798,0.20809249579906464,0.22053231298923492,0.25281116366386414,0.2642521560192108,0.24739320576190948,0.2383042871952057,0.2785230576992035,0.16911162436008453,0.2534618675708771,0.15640345215797424,0.20949704945087433
of,0.2827862501144409,0.14901293814182281,0.1719115972518921,0.2156001329421997,0.4249346852302551,0.3056609630584717,0.5116966962814331,0.26409703493118286,0.733189046382904,0.3280848264694214,1.0,0.27289092540740967,0.1826142966747284
my,0.2353120893239975,0.1814705729484558,0.2192668318748474,0.16278092563152313,0.1911909580230713,0.27651846408843994,0.26471394300460815,0.15970881283283234,0.26636773347854614,0.43633636832237244,0.2089746594429016,0.22278344631195068,0.4195883572101593
poor,0.30099374055862427,0.10229666531085968,0.15004777908325195,0.27667832374572754,0.23082002997398376,0.2086799591779709,0.31649142503738403,0.18982411921024323,0.21093174815177917,0.25578007102012634,0.23458099365234375,0.13567744195461273,0.12937016785144806
soul,0.2787841260433197,0.207681804895401,0.1514018028974533,0.21483969688415527,0.1587420552968979,0.29633232951164246,0.2859630286693573,0.1259593963623047,0.2054273635149002,0.21779531240463257,0.1792602837085724,0.3046906292438507,0.2029775083065033
.,0.3541337847709656,0.21717123687267303,0.24907569587230682,0.27494382858276367,0.41536515951156616,0.29907479882240295,0.588965117931366,0.24058549106121063,0.5934505462646484,0.2682068943977356,0.5352458953857422,0.21890506148338318,0.4130953550338745
'',0.024401003494858742,0.026679635047912598,-0.04572787508368492,-0.036055710166692734,-0.011389154009521008,0.0228438563644886,0.021612688899040222,-0.055717963725328445,0.041273195296525955,0.024165695533156395,0.13035868108272552,-0.024666670709848404,0.018684765323996544
